"","MIR34","MIR200","HA","MIR1199","HAS2","GRHL2","ZEB1","TGFB","MIR340","MIR190","ESRP1","CD44s","CD24","SNAIL1"
"HAS2",0.0797774158262504,0.0705703619355118,0.160372208436725,0.0541015813740183,0.0541015813740183,0.0541015813740183,-0.0583368754916654,0.00384149323765363,-0.0541015813740183,-0.0541015813740183,-0.0541015813740183,-0.0603722084367246,-0.0603722084367246,-0.0820664593137968
"ESRP1",0.0797774158262504,0.0705703619355118,0.0603722084367246,0.0541015813740183,0.0541015813740183,0.0541015813740183,-0.0583368754916654,0.00384149323765363,-0.0541015813740183,-0.0541015813740183,-0.0541015813740183,0.0396277915632754,-0.0603722084367246,-0.0820664593137968
"MIR340",0.0862511401217569,0.0695802629256108,0.0541015813740183,0.0583368754916654,0.0583368754916654,0.0583368754916654,-0.0546898696384461,0.00102098041714081,-0.0583368754916654,-0.0583368754916654,-0.0583368754916654,-0.0541015813740183,-0.0541015813740183,-0.0739929181467304
"MIR1199",0.0862511401217569,0.0695802629256108,0.0541015813740183,0.0583368754916654,0.0583368754916654,0.0583368754916654,-0.0546898696384461,0.00102098041714081,-0.0583368754916654,-0.0583368754916654,-0.0583368754916654,-0.0541015813740183,-0.0541015813740183,-0.0739929181467304
"HA",0.0862511401217569,0.0695802629256108,0.0541015813740183,0.0583368754916654,0.0583368754916654,0.0583368754916654,-0.0546898696384461,0.00102098041714081,-0.0583368754916654,-0.0583368754916654,-0.0583368754916654,-0.0541015813740183,-0.0541015813740183,-0.0739929181467304
"CD44s",0.0862511401217569,0.0695802629256108,0.0541015813740183,0.0583368754916654,0.0583368754916654,0.0583368754916654,-0.0546898696384461,0.00102098041714081,-0.0583368754916654,-0.0583368754916654,-0.0583368754916654,-0.0541015813740183,-0.0541015813740183,-0.0739929181467304
"CD24",0.0862511401217569,0.0695802629256108,0.0541015813740183,0.0583368754916654,0.0583368754916654,0.0583368754916654,-0.0546898696384461,0.00102098041714081,-0.0583368754916654,-0.0583368754916654,-0.0583368754916654,-0.0541015813740183,-0.0541015813740183,-0.0739929181467304
"ZEB1",-0.081009204637886,-0.0701562997919702,-0.0583368754916654,-0.0546898696384461,-0.0546898696384461,-0.0546898696384461,-0.0425042196858109,-0.0032863525854256,0.0546898696384461,0.0546898696384461,0.0546898696384461,0.0583368754916654,0.0583368754916654,0.0802130138405103
"TGFB",-0.0770718598878481,0.0900116514031073,0.0266476363479088,0.0113415138989292,0.0113415138989292,0.0113415138989292,-0.0230682691171456,-0.0821328054861896,-0.0113415138989292,-0.0113415138989292,-0.0113415138989292,-0.0266476363479088,-0.0266476363479088,0.0350148133922281
"SNAIL1",-0.0600769656500654,0.0880422859764114,0.0113415138989292,0.0230682691171456,0.0230682691171456,0.0230682691171456,-0.0138948677276659,-0.0895313735052826,-0.0230682691171456,-0.0230682691171456,-0.0230682691171456,-0.0113415138989292,-0.0113415138989292,-0.0443478573209737
"MIR190",0.0551683396792431,-0.087664845666471,-0.0073015873015873,-0.0266476363479088,-0.0266476363479088,-0.0266476363479088,0.0113415138989292,-0.0083130543864219,0.0266476363479088,0.0266476363479088,0.0266476363479088,0.0073015873015873,0.0073015873015873,-0.061401822864488
"GRHL2",0.00208270912861342,-0.015737598956203,-0.0156240185684714,-0.0108538537809606,-0.0108538537809606,-0.0108538537809606,0.0146636877112765,0.00195399836310834,0.0108538537809606,0.0108538537809606,0.0108538537809606,0.0156240185684714,-0.0843759814315286,-0.0602834448087265
"MIR34",0.0770718598878481,-0.0900116514031073,-0.0266476363479088,-0.0113415138989292,-0.0113415138989292,-0.0113415138989292,0.0230682691171456,0.0821328054861896,0.0113415138989292,0.0113415138989292,0.0113415138989292,0.0266476363479088,0.0266476363479088,-0.0350148133922281
"MIR200",0.00207200941587561,-0.175693599545491,-0.0561100315476667,-0.0649021432978722,-0.0649021432978722,-0.0649021432978722,0.0576856484525113,-4.11376825187028e-05,0.0649021432978722,0.0649021432978722,0.0649021432978722,0.0561100315476667,0.0561100315476667,-0.0381415836544636
