"","MIR34","MIR340","MIR1199","HAS2","GRHL2","HA","MIR200","SNAIL1","ZEB1","TGFB","CD44s","CD24","MIR190","ESRP1"
"MIR340",0.103840348274805,0.0946016081100155,0.0946016081100155,0.0946016081100155,0.0946016081100155,0.096483961051192,0.087155627199363,0.0796754480572199,-0.0957272272005153,0.00284737607557732,-0.096483961051192,-0.096483961051192,-0.0946016081100155,-0.0946016081100155
"CD24",0.103840348274805,0.0946016081100155,0.0946016081100155,0.0946016081100155,0.0946016081100155,0.096483961051192,0.087155627199363,0.0796754480572199,-0.0957272272005153,0.00284737607557732,-0.096483961051192,-0.096483961051192,-0.0946016081100155,-0.0946016081100155
"MIR200",0.20259891060921,0.0866113849914336,0.0866113849914336,0.0866113849914336,0.0866113849914336,0.086364877185353,-0.00986499992548249,0.11100725215296,-0.0866426252288594,0.00407550803417614,-0.086364877185353,-0.086364877185353,-0.0866113849914336,-0.0866113849914336
"MIR34",0.0951033174257026,0.0202693708424938,0.0202693708424938,0.0202693708424938,0.0202693708424938,0.0227183504343306,-0.0715510065771018,0.0595213463075627,-0.0213699401024559,0.0891548788624817,-0.0227183504343306,-0.0227183504343306,-0.0202693708424938,-0.0202693708424938
"SNAIL1",0.0957111462611025,0.0213699401024559,0.0213699401024559,0.0213699401024559,0.0213699401024559,0.0202693708424938,-0.0707486725143739,-0.0405798170712941,-0.0209304108241346,0.0894730968417976,-0.0202693708424938,-0.0202693708424938,-0.0213699401024559,-0.0213699401024559
"MIR190",0.0961463421975409,0.0227183504343306,0.0227183504343306,0.0227183504343306,0.0227183504343306,0.0175412387177093,-0.0694649570334251,0.05979198230215,-0.0202693708424938,-0.00999586423730595,-0.0175412387177093,-0.0175412387177093,-0.0227183504343306,-0.0227183504343306
"ZEB1",-0.104185970394621,-0.0957272272005153,-0.0957272272005153,-0.0957272272005153,-0.0957272272005153,-0.0946016081100155,-0.0882500972454459,-0.0801539169567414,-0.00485387856073327,-0.00335592901131472,0.0946016081100155,0.0946016081100155,0.0957272272005153,0.0957272272005153
"TGFB",-0.0951033174257026,-0.0202693708424938,-0.0202693708424938,-0.0202693708424938,-0.0202693708424938,-0.0227183504343306,0.0715510065771018,-0.0595213463075627,0.0213699401024559,-0.0891548788624817,0.0227183504343306,0.0227183504343306,0.0202693708424938,0.0202693708424938
"HAS2",-0.104221155586305,-0.096483961051192,-0.096483961051192,-0.096483961051192,-0.096483961051192,0.00714640198511166,-0.089211986681465,-0.0807146167222879,0.0946016081100155,-0.00387301710121835,0.0928535980148883,0.0928535980148883,0.096483961051192,0.096483961051192
"ESRP1",-0.104221155586305,-0.096483961051192,-0.096483961051192,-0.096483961051192,-0.096483961051192,-0.0928535980148883,-0.089211986681465,-0.0807146167222879,0.0946016081100155,-0.00387301710121835,0.192853598014888,0.0928535980148883,0.096483961051192,0.096483961051192
"MIR1199",-0.103840348274805,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.096483961051192,-0.087155627199363,-0.0796754480572199,0.0957272272005153,-0.00284737607557732,0.096483961051192,0.096483961051192,0.0946016081100155,0.0946016081100155
"HA",-0.103840348274805,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.096483961051192,-0.087155627199363,-0.0796754480572199,0.0957272272005153,-0.00284737607557732,0.096483961051192,0.096483961051192,0.0946016081100155,0.0946016081100155
"CD44s",-0.103840348274805,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.0946016081100155,-0.096483961051192,-0.087155627199363,-0.0796754480572199,0.0957272272005153,-0.00284737607557732,0.096483961051192,0.096483961051192,0.0946016081100155,0.0946016081100155
"GRHL2",-0.215433429019658,-0.192258399966392,-0.192258399966392,-0.192258399966392,-0.192258399966392,-0.192692051310712,-0.173883166628082,-0.103078783092918,0.192551464114878,-0.0114398466973775,0.192692051310712,0.0926920513107116,0.192258399966392,0.192258399966392
