"","MIR34","MIR200","MIR190","MIR1199","HAS2","GRHL2","SNAIL1","ZEB1","MIR340","ESRP1","HA","CD44s","CD24","TGFB"
"TGFB",-0.0299119880056939,-0.0299119880056939,0.253817007275208,0.253817007275208,0.253817007275208,0.253817007275208,0.226429160509065,-0.253323648641432,-0.253817007275208,-0.253817007275208,-0.256265986867045,-0.256265986867045,-0.256265986867045,-0.0341044350593568
"MIR34",-0.0299119880056939,-0.0299119880056939,0.253817007275208,0.253817007275208,0.253817007275208,0.253817007275208,0.226429160509065,-0.253323648641432,-0.253817007275208,-0.253817007275208,-0.256265986867045,-0.256265986867045,-0.256265986867045,-0.0341044350593568
"SNAIL1",-0.0300335537727739,-0.0300335537727739,0.253323648641432,0.253323648641432,0.253323648641432,0.253323648641432,0.125973925304209,-0.252628908814408,-0.253323648641432,-0.253323648641432,-0.253817007275208,-0.253817007275208,-0.253817007275208,-0.0325133451627776
"ESRP1",0.1078104014619,0.1078104014619,0.0883082328083925,0.0883082328083925,0.0883082328083925,0.0883082328083925,0.0506731284157366,-0.0934847033966278,-0.0883082328083925,-0.0883082328083925,-0.0998593879239041,0.000140612076095946,-0.0998593879239041,-0.110546451845865
"MIR1199",0.110171406793202,0.110171406793202,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0485148550344416,-0.0890272517982487,-0.0934847033966278,-0.0934847033966278,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.103110554409968
"HA",0.110171406793202,0.110171406793202,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0485148550344416,-0.0890272517982487,-0.0934847033966278,-0.0934847033966278,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.103110554409968
"CD44s",0.110171406793202,0.110171406793202,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0485148550344416,-0.0890272517982487,-0.0934847033966278,-0.0934847033966278,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.103110554409968
"CD24",0.110171406793202,0.110171406793202,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.0485148550344416,-0.0890272517982487,-0.0934847033966278,-0.0934847033966278,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.103110554409968
"ZEB1",-0.108097674074308,-0.108097674074308,-0.0890272517982487,-0.0890272517982487,-0.0890272517982487,-0.0890272517982487,-0.0503689220200876,-0.00800080730850874,0.0890272517982487,0.0890272517982487,0.0934847033966278,0.0934847033966278,0.0934847033966278,0.106577960789996
"GRHL2",0.00962982301851522,0.00962982301851522,0.00877275632332294,0.00877275632332294,0.00877275632332294,0.00877275632332294,0.0498986966730945,-0.00411629263071467,-0.00877275632332294,-0.00877275632332294,-0.0019210650830801,-0.0019210650830801,-0.10192106508308,-0.0062442169367242
"MIR340",-0.110171406793202,-0.110171406793202,-0.0934847033966278,-0.0934847033966278,-0.0934847033966278,-0.0934847033966278,-0.0485148550344416,0.0890272517982487,0.0934847033966278,0.0934847033966278,0.0883082328083925,0.0883082328083925,0.0883082328083925,0.103110554409968
"HAS2",-0.1078104014619,-0.1078104014619,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.0883082328083925,-0.0506731284157366,0.0934847033966278,0.0883082328083925,0.0883082328083925,-0.000140612076095946,0.0998593879239041,0.0998593879239041,0.110546451845865
"MIR200",-0.0331309941845447,-0.0331309941845447,-0.172093826062576,-0.172093826062576,-0.172093826062576,-0.172093826062576,-0.178045414496838,0.168251276859202,0.172093826062576,0.172093826062576,0.168889224583529,0.168889224583529,0.168889224583529,-0.052081985324468
"MIR190",0.0288689632338556,0.0288689632338556,-0.256265986867045,-0.256265986867045,-0.256265986867045,-0.256265986867045,-0.226970432498239,0.253817007275208,0.256265986867045,0.256265986867045,0.257628384687208,0.257628384687208,0.257628384687208,-0.065258622265484
