"","MIR34","MIR200","CD44s","CD24","MIR340","HAS2","ESRP1","ZEB1","TGFB","MIR190","MIR1199","GRHL2","SNAIL1","HA"
"GRHL2",0.176555883698093,0.176555883698093,0.145001557302776,0.0450015573027759,0.148557498326193,0.148557498326193,0.148557498326193,-0.148524935643028,-0.00931948263570628,-0.148557498326193,-0.148557498326193,-0.148557498326193,-0.0894688018926302,-0.145001557302776
"HAS2",0.0759462229717502,0.0759462229717502,0.0642431761786601,0.0642431761786601,0.0645732091819604,0.0645732091819604,0.0645732091819604,-0.0692790915349016,-0.00295330838171769,-0.0645732091819604,-0.0645732091819604,-0.0645732091819604,-0.0678128114282877,-0.16424317617866
"ESRP1",0.0759462229717502,0.0759462229717502,0.16424317617866,0.0642431761786601,0.0645732091819604,0.0645732091819604,0.0645732091819604,-0.0692790915349016,-0.00295330838171769,-0.0645732091819604,-0.0645732091819604,-0.0645732091819604,-0.0678128114282877,-0.0642431761786601
"MIR1199",0.0801351033982544,0.0801351033982544,0.0645732091819604,0.0645732091819604,0.0692790915349016,0.0692790915349016,0.0692790915349016,-0.0674330762264819,-0.00115843658684589,-0.0692790915349016,-0.0692790915349016,-0.0692790915349016,-0.064855177535402,-0.0645732091819604
"CD44s",0.0801351033982544,0.0801351033982544,0.0645732091819604,0.0645732091819604,0.0692790915349016,0.0692790915349016,0.0692790915349016,-0.0674330762264819,-0.00115843658684589,-0.0692790915349016,-0.0692790915349016,-0.0692790915349016,-0.064855177535402,-0.0645732091819604
"MIR200",-0.0109069596200278,-0.0109069596200278,0.0593692602892315,0.0593692602892315,0.0650389398290836,0.0650389398290836,0.0650389398290836,-0.0621335977484837,-0.000236978533169308,-0.0650389398290836,-0.0650389398290836,-0.0650389398290836,0.0423034511484762,-0.0593692602892315
"ZEB1",-0.0778885596194525,-0.0778885596194525,-0.0692790915349016,-0.0692790915349016,-0.0674330762264819,-0.0674330762264819,-0.0674330762264819,-0.0330152053607669,0.00185191786285144,0.0674330762264819,0.0674330762264819,0.0674330762264819,0.0680250339947322,0.0692790915349016
"SNAIL1",-0.0660765097464182,-0.0660765097464182,0.0103019784965152,0.0103019784965152,0.0157289234680522,0.0157289234680522,0.0157289234680522,-0.0114045225039234,0.0890207943036224,-0.0157289234680522,-0.0157289234680522,-0.0157289234680522,-0.0460857351923349,-0.0103019784965152
"MIR190",-0.0633872911242544,-0.0633872911242544,0.00770619358854653,0.00770619358854653,0.0156081009454948,0.0156081009454948,0.0156081009454948,-0.0103019784965152,-0.00909016648158557,-0.0156081009454948,-0.0156081009454948,-0.0156081009454948,0.0591360199991329,-0.00770619358854653
"TGFB",0.0765554788687133,0.0765554788687133,-0.0156081009454948,-0.0156081009454948,-0.0103019784965152,-0.0103019784965152,-0.0103019784965152,0.0157289234680522,-0.0830542071914505,0.0103019784965152,0.0103019784965152,0.0103019784965152,-0.0396502283888488,0.0156081009454948
"MIR34",0.0765554788687133,0.0765554788687133,-0.0156081009454948,-0.0156081009454948,-0.0103019784965152,-0.0103019784965152,-0.0103019784965152,0.0157289234680522,-0.0830542071914505,0.0103019784965152,0.0103019784965152,0.0103019784965152,-0.0396502283888488,0.0156081009454948
"MIR340",-0.0801351033982544,-0.0801351033982544,-0.0645732091819604,-0.0645732091819604,-0.0692790915349016,-0.0692790915349016,-0.0692790915349016,0.0674330762264819,0.00115843658684589,0.0692790915349016,0.0692790915349016,0.0692790915349016,0.064855177535402,0.0645732091819604
"HA",-0.0801351033982544,-0.0801351033982544,-0.0645732091819604,-0.0645732091819604,-0.0692790915349016,-0.0692790915349016,-0.0692790915349016,0.0674330762264819,0.00115843658684589,0.0692790915349016,0.0692790915349016,0.0692790915349016,0.064855177535402,0.0645732091819604
"CD24",-0.0801351033982544,-0.0801351033982544,-0.0645732091819604,-0.0645732091819604,-0.0692790915349016,-0.0692790915349016,-0.0692790915349016,0.0674330762264819,0.00115843658684589,0.0692790915349016,0.0692790915349016,0.0692790915349016,0.064855177535402,0.0645732091819604
