"","TGFB","SNAIL1","MIR340","MIR190","MIR1199","HAS2","ESRP1","HA","CD44s","CD24","MIR34","ZEB1","GRHL2","MIR200"
"MIR200",-0.0799443174417871,-0.00226341531067232,0.10642142384034,0.10642142384034,0.10642142384034,0.10642142384034,0.10642142384034,0.106996608721194,0.106996608721194,0.106996608721194,0.168341232545276,-0.107327390725688,-0.10642142384034,-0.0307451039135193
"MIR340",0.105822744180981,0.0992607862873965,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0628157612873166,-0.0963897167559472,-0.0958944443561273,-0.111395789199
"HA",0.105822744180981,0.0992607862873965,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0628157612873166,-0.0963897167559472,-0.0958944443561273,-0.111395789199
"CD44s",0.105822744180981,0.0992607862873965,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0628157612873166,-0.0963897167559472,-0.0958944443561273,-0.111395789199
"CD24",0.105822744180981,0.0992607862873965,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0958944443561273,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0628157612873166,-0.0963897167559472,-0.0958944443561273,-0.111395789199
"HAS2",0.105822744180981,0.0958235360875564,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.195277088502895,0.095277088502895,0.095277088502895,0.0644151519956181,-0.0958944443561273,-0.0982473855325979,-0.112842856982702
"ESRP1",0.105822744180981,0.0958235360875564,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.0982473855325979,0.095277088502895,0.195277088502895,0.095277088502895,0.0644151519956181,-0.0958944443561273,-0.0982473855325979,-0.112842856982702
"ZEB1",-0.104019692863367,-0.0973469106893104,-0.0963897167559472,-0.0963897167559472,-0.0963897167559472,-0.0963897167559472,-0.0963897167559472,-0.0958944443561273,-0.0958944443561273,-0.0958944443561273,-0.0618941023011414,-0.00322841374380372,0.0963897167559472,0.112951088738171
"GRHL2",-0.00434432132000837,0.075382166449218,-0.00984998864016442,-0.00984998864016442,-0.00984998864016442,-0.00984998864016442,-0.00984998864016442,-0.00733481084311325,-0.00733481084311325,-0.107334810843113,-0.0251267560018452,0.00884054546204655,0.00984998864016442,0.00092099647900954
"TGFB",0.0156290853518554,0.00412439731498937,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0776785555275698,-0.0776785555275698,-0.0776785555275698,-0.0898573795833281,0.0773521023656599,0.0795152902214473,-0.0129334522309681
"MIR34",0.0156290853518554,0.00412439731498937,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0776785555275698,-0.0776785555275698,-0.0776785555275698,-0.0898573795833281,0.0773521023656599,0.0795152902214473,-0.0129334522309681
"SNAIL1",0.0156290853518554,-0.0985564322247173,-0.0773521023656599,-0.0773521023656599,-0.0773521023656599,-0.0773521023656599,-0.0773521023656599,-0.0795152902214473,-0.0795152902214473,-0.0795152902214473,-0.0885687824522802,0.0779617720097829,0.0773521023656599,-0.0144165545893439
"MIR190",0.120724626753129,0.0038537613204021,-0.0776785555275698,-0.0776785555275698,-0.0776785555275698,-0.0776785555275698,-0.0776785555275698,-0.0741363211951447,-0.0741363211951447,-0.0741363211951447,-0.0863371709783737,0.0795152902214473,0.0776785555275698,-0.0117600493626499
"MIR1199",-0.105822744180981,-0.0992607862873965,-0.0958944443561273,-0.0958944443561273,-0.0958944443561273,-0.0958944443561273,-0.0958944443561273,-0.0982473855325979,-0.0982473855325979,-0.0982473855325979,-0.0628157612873166,0.0963897167559472,0.0958944443561273,0.111395789199
