"","MIR200","HA","MIR340","MIR1199","HAS2","ESRP1","MIR34","TGFB","ZEB1","SNAIL1","MIR190","GRHL2","CD44s","CD24"
"TGFB",0.343273065258501,0.339857510064274,0.341694244758152,0.341694244758152,0.341694244758152,0.341694244758152,0.0275406489415218,-0.137678320473712,-0.350536749501985,-0.226457664059343,-0.341694244758152,-0.341694244758152,-0.339857510064274,-0.339857510064274
"MIR34",0.343273065258501,0.339857510064274,0.341694244758152,0.341694244758152,0.341694244758152,0.341694244758152,0.0275406489415218,-0.137678320473712,-0.350536749501985,-0.226457664059343,-0.341694244758152,-0.341694244758152,-0.339857510064274,-0.339857510064274
"MIR340",0.302585991484465,0.234334160463193,0.279040042816134,0.279040042816134,0.279040042816134,0.279040042816134,0.184458770046731,-0.0319461870748044,-0.252340357989479,-0.210529767251111,-0.279040042816134,-0.279040042816134,-0.234334160463193,-0.234334160463193
"MIR1199",0.302585991484465,0.234334160463193,0.279040042816134,0.279040042816134,0.279040042816134,0.279040042816134,0.184458770046731,-0.0319461870748044,-0.252340357989479,-0.210529767251111,-0.279040042816134,-0.279040042816134,-0.234334160463193,-0.234334160463193
"CD44s",0.302585991484465,0.234334160463193,0.279040042816134,0.279040042816134,0.279040042816134,0.279040042816134,0.184458770046731,-0.0319461870748044,-0.252340357989479,-0.210529767251111,-0.279040042816134,-0.279040042816134,-0.234334160463193,-0.234334160463193
"CD24",0.302585991484465,0.234334160463193,0.279040042816134,0.279040042816134,0.279040042816134,0.279040042816134,0.184458770046731,-0.0319461870748044,-0.252340357989479,-0.210529767251111,-0.279040042816134,-0.279040042816134,-0.234334160463193,-0.234334160463193
"MIR200",0.0699143174003071,0.122919185330144,0.149459859118148,0.149459859118148,0.149459859118148,0.149459859118148,0.221662074678772,-0.0134194176411696,-0.130372074050981,0.0369608271498543,-0.149459859118148,-0.149459859118148,-0.122919185330144,-0.122919185330144
"GRHL2",-0.119359515291197,-0.0690531895403477,-0.110770448863852,-0.110770448863852,-0.110770448863852,-0.110770448863852,-0.0586212612991101,0.0149353684251539,0.0790869581442163,0.126229353313939,0.110770448863852,0.110770448863852,0.0690531895403477,0.169053189540348
"ZEB1",-0.284210415447599,-0.279040042816134,-0.252340357989479,-0.252340357989479,-0.252340357989479,-0.252340357989479,-0.168675359908482,0.0348588084340277,0.182906521031153,0.218843164380298,0.252340357989479,0.252340357989479,0.279040042816134,0.279040042816134
"HA",-0.302585991484465,-0.234334160463193,-0.279040042816134,-0.279040042816134,-0.279040042816134,-0.279040042816134,-0.184458770046731,0.0319461870748044,0.252340357989479,0.210529767251111,0.279040042816134,0.279040042816134,0.234334160463193,0.234334160463193
"HAS2",-0.268846463685531,-0.167667493796526,-0.234334160463193,-0.234334160463193,-0.234334160463193,-0.234334160463193,-0.160315586497606,0.0327154178440352,0.279040042816134,0.214126889553269,0.234334160463193,0.234334160463193,0.267667493796526,0.267667493796526
"ESRP1",-0.268846463685531,-0.267667493796526,-0.234334160463193,-0.234334160463193,-0.234334160463193,-0.234334160463193,-0.160315586497606,0.0327154178440352,0.279040042816134,0.214126889553269,0.234334160463193,0.234334160463193,0.167667493796526,0.267667493796526
"MIR190",-0.341578150004264,-0.32432617491441,-0.339857510064274,-0.339857510064274,-0.339857510064274,-0.339857510064274,-0.0268887584591228,0.0357674924482344,0.341694244758152,0.224021940108057,0.339857510064274,0.339857510064274,0.32432617491441,0.32432617491441
"SNAIL1",-0.349813303527405,-0.341694244758152,-0.350536749501985,-0.350536749501985,-0.350536749501985,-0.350536749501985,-0.0323303401644734,0.137996538453028,0.34975693949206,0.127165807711341,0.350536749501985,0.350536749501985,0.341694244758152,0.341694244758152
