"","MIR34","MIR200","MIR340","HAS2","GRHL2","CD24","TGFB","ZEB1","HA","CD44s","MIR190","MIR1199","ESRP1","SNAIL1"
"TGFB",0.50482061699689,0.50482061699689,0.398533573889744,0.398533573889744,0.398533573889744,0.387309084093825,-0.215520534497663,-0.407072473320484,-0.387309084093825,-0.387309084093825,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.528254804139948
"MIR34",0.50482061699689,0.50482061699689,0.398533573889744,0.398533573889744,0.398533573889744,0.387309084093825,-0.215520534497663,-0.407072473320484,-0.387309084093825,-0.387309084093825,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.528254804139948
"GRHL2",0.377427675216798,0.377427675216798,0.345228384438103,0.345228384438103,0.345228384438103,0.438029772122405,-0.0416933552999361,-0.349819722764381,-0.338029772122405,-0.338029772122405,-0.345228384438103,-0.345228384438103,-0.345228384438103,-0.268224936696382
"HA",0.25413033124366,0.25413033124366,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,-0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.244745388721314
"CD44s",0.25413033124366,0.25413033124366,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,-0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.244745388721314
"CD24",0.25413033124366,0.25413033124366,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,-0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.244745388721314
"ESRP1",0.245676408928351,0.245676408928351,0.209431901006478,0.209431901006478,0.209431901006478,0.203821339950372,-0.0366369864714862,-0.217196606888831,-0.203821339950372,-0.103821339950372,-0.209431901006478,-0.209431901006478,-0.209431901006478,-0.239549545395974
"MIR200",-0.0165591311927299,-0.0165591311927299,0.0809838465761649,0.0809838465761649,0.0809838465761649,0.0805730002326974,0.00611743304155731,-0.0798904382662618,-0.0805730002326974,-0.0805730002326974,-0.0809838465761649,-0.0809838465761649,-0.0809838465761649,0.120867243664635
"ZEB1",-0.258162589308176,-0.258162589308176,-0.22057346416033,-0.22057346416033,-0.22057346416033,-0.217196606888831,0.0407687123507849,0.124309144054071,0.217196606888831,0.217196606888831,0.22057346416033,0.22057346416033,0.22057346416033,0.249530077716529
"HAS2",-0.245676408928351,-0.245676408928351,-0.209431901006478,-0.209431901006478,-0.209431901006478,-0.203821339950372,0.0366369864714862,0.217196606888831,0.103821339950372,0.203821339950372,0.209431901006478,0.209431901006478,0.209431901006478,0.239549545395974
"MIR340",-0.25413033124366,-0.25413033124366,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.209431901006478,0.0386882685227682,0.22057346416033,0.209431901006478,0.209431901006478,0.217196606888831,0.217196606888831,0.217196606888831,0.244745388721314
"MIR1199",-0.25413033124366,-0.25413033124366,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.209431901006478,0.0386882685227682,0.22057346416033,0.209431901006478,0.209431901006478,0.217196606888831,0.217196606888831,0.217196606888831,0.244745388721314
"MIR190",-0.49204356354187,-0.49204356354187,-0.387309084093825,-0.387309084093825,-0.387309084093825,-0.370687830687831,0.110637307321442,0.398533573889744,0.370687830687831,0.370687830687831,0.387309084093825,0.387309084093825,0.387309084093825,0.516752774369989
"SNAIL1",-0.514424312596209,-0.514424312596209,-0.407072473320484,-0.407072473320484,-0.407072473320484,-0.398533573889744,0.218941377775308,0.412956494304462,0.398533573889744,0.398533573889744,0.407072473320484,0.407072473320484,0.407072473320484,0.436347874448496
