"","MIR34","SNAIL1","MIR190","MIR1199","HAS2","GRHL2","ZEB1","TGFB","MIR340","ESRP1","HA","CD44s","CD24","MIR200"
"MIR34",0.151474071563847,0.0971881142950142,0.105757044567751,0.105757044567751,0.105757044567751,0.105757044567751,-0.105794995231888,-0.0990416042707466,-0.105757044567751,-0.105757044567751,-0.105757044567751,-0.105757044567751,-0.105757044567751,0.0448670514325145
"MIR190",0.151865205853287,0.0962408883139587,0.105757044567751,0.105757044567751,0.105757044567751,0.105757044567751,-0.105757044567751,-0.19861697582064,-0.105757044567751,-0.105757044567751,-0.104394646747588,-0.104394646747588,-0.104394646747588,0.0452581857219538
"SNAIL1",0.151838768865087,-0.0032165392204132,0.105794995231888,0.105794995231888,0.105794995231888,0.105794995231888,-0.10569574668517,-0.0988029407862597,-0.105794995231888,-0.105794995231888,-0.105757044567751,-0.105757044567751,-0.105757044567751,0.0451831224269224
"MIR200",0.210534775051867,0.126039938997538,0.0915552965312944,0.0915552965312944,0.0915552965312944,0.0915552965312944,-0.0913366148693138,-0.206550207378042,-0.0915552965312944,-0.0915552965312944,-0.0914731272626009,-0.0914731272626009,-0.0914731272626009,0.0116402449915114
"ESRP1",0.0832884257190583,0.0818640420096442,0.0561199420190158,0.0561199420190158,0.0561199420190158,0.0561199420190158,-0.0556493537837217,-0.00387301710121835,-0.0561199420190158,-0.0561199420190158,-0.0557899090157155,0.0442100909842845,-0.0557899090157155,-0.0674406823907379
"MIR1199",0.0838215559551589,0.0809847454468944,0.0556493537837217,0.0556493537837217,0.0556493537837217,0.0556493537837217,-0.0553341804383817,-0.00310378633198758,-0.0556493537837217,-0.0556493537837217,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,-0.0662982604562367
"HA",0.0838215559551589,0.0809847454468944,0.0556493537837217,0.0556493537837217,0.0556493537837217,0.0556493537837217,-0.0553341804383817,-0.00310378633198758,-0.0556493537837217,-0.0556493537837217,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,-0.0662982604562367
"CD44s",0.0838215559551589,0.0809847454468944,0.0556493537837217,0.0556493537837217,0.0556493537837217,0.0556493537837217,-0.0553341804383817,-0.00310378633198758,-0.0556493537837217,-0.0556493537837217,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,-0.0662982604562367
"CD24",0.0838215559551589,0.0809847454468944,0.0556493537837217,0.0556493537837217,0.0556493537837217,0.0556493537837217,-0.0553341804383817,-0.00310378633198758,-0.0556493537837217,-0.0556493537837217,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,-0.0662982604562367
"ZEB1",-0.0833031227754354,-0.0813435971215355,-0.0553341804383817,-0.0553341804383817,-0.0553341804383817,-0.0553341804383817,-0.0447156286268681,0.00361233926772498,0.0553341804383817,0.0553341804383817,0.0556493537837217,0.0556493537837217,0.0556493537837217,0.0664134678295086
"MIR340",-0.0838215559551589,-0.0809847454468944,-0.0556493537837217,-0.0556493537837217,-0.0556493537837217,-0.0556493537837217,0.0553341804383817,0.00310378633198758,0.0556493537837217,0.0556493537837217,0.0561199420190158,0.0561199420190158,0.0561199420190158,0.0662982604562367
"HAS2",-0.0832884257190583,-0.0818640420096442,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,-0.0561199420190158,0.0556493537837217,0.00387301710121835,0.0561199420190158,0.0561199420190158,-0.0442100909842845,0.0557899090157155,0.0557899090157155,0.0674406823907379
"TGFB",-0.151474071563847,-0.0971881142950142,-0.105757044567751,-0.105757044567751,-0.105757044567751,-0.105757044567751,0.105794995231888,0.0990416042707466,0.105757044567751,0.105757044567751,0.105757044567751,0.105757044567751,0.105757044567751,-0.0448670514325145
"GRHL2",-0.202491430859419,-0.104353322806353,-0.172339835964243,-0.172339835964243,-0.172339835964243,-0.172339835964243,0.171981646449427,0.0116231647542061,0.172339835964243,0.172339835964243,0.172600026770834,0.172600026770834,0.0726000267708343,0.160115295142138
