"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","MIR200","TGFB","ZEB1","SNAIL1","MIR34","CD24","MIR190"
"GRHL2",0.225873488742211,0.225873488742211,0.225873488742211,0.225873488742211,0.225873488742211,0.225960219011075,0.225960219011075,0.196421307798571,0.0110814931864816,-0.226752681187669,-0.0999635187016001,-0.196421307798571,-0.325960219011075,-0.225873488742211
"HA",0.1445241479045,0.1445241479045,0.1445241479045,0.1445241479045,0.1445241479045,0.143112383198618,0.143112383198618,0.114264149848045,0.00420378730195261,-0.1451995193588,-0.074371214282019,-0.114264149848045,-0.143112383198618,-0.1445241479045
"HAS2",0.143112383198618,0.143112383198618,0.143112383198618,0.143112383198618,0.143112383198618,0.247402812241522,0.147402812241522,0.114340311310345,0.0036909667891321,-0.1445241479045,-0.0773288481749046,-0.114340311310345,-0.147402812241522,-0.143112383198618
"MIR200",0.13477373912639,0.13477373912639,0.13477373912639,0.13477373912639,0.13477373912639,0.13452723132031,0.13452723132031,0.194198386894481,-0.189952571321848,-0.136804354559068,0.0267393624504047,-0.194198386894481,-0.13452723132031,-0.13477373912639
"TGFB",0.020437732465072,0.020437732465072,0.020437732465072,0.020437732465072,0.020437732465072,0.0255397732813985,0.0255397732813985,-0.0497409218655784,0.0723805265669886,-0.0233599336035919,-0.0276127644031578,0.0497409218655784,-0.0255397732813985,-0.020437732465072
"MIR190",-0.0255397732813985,-0.0255397732813985,-0.0255397732813985,-0.0255397732813985,-0.0255397732813985,-0.0230874572051043,-0.0230874572051043,0.0441346637169473,-0.175565239942785,0.020437732465072,0.0268008564193959,-0.0441346637169473,0.0230874572051043,0.0255397732813985
"SNAIL1",-0.0233599336035919,-0.0233599336035919,-0.0233599336035919,-0.0233599336035919,-0.0233599336035919,-0.020437732465072,-0.020437732465072,0.0481605668935385,-0.0738125074739099,0.0231472581463397,-0.0756244637202615,-0.0481605668935385,0.020437732465072,0.0233599336035919
"MIR34",-0.020437732465072,-0.020437732465072,-0.020437732465072,-0.020437732465072,-0.020437732465072,-0.0255397732813985,-0.0255397732813985,0.0497409218655784,-0.0723805265669886,0.0233599336035919,0.0276127644031578,-0.0497409218655784,0.0255397732813985,0.020437732465072
"ZEB1",-0.1451995193588,-0.1451995193588,-0.1451995193588,-0.1451995193588,-0.1451995193588,-0.1445241479045,-0.1445241479045,-0.115761845700579,-0.00480480440782409,0.0441535289885525,0.0755673865308228,0.115761845700579,0.1445241479045,0.1451995193588
"ESRP1",-0.143112383198618,-0.143112383198618,-0.143112383198618,-0.143112383198618,-0.143112383198618,-0.147402812241522,-0.0474028122415219,-0.114340311310345,-0.0036909667891321,0.1445241479045,0.0773288481749046,0.114340311310345,0.147402812241522,0.143112383198618
"MIR340",-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.143112383198618,-0.143112383198618,-0.114264149848045,-0.00420378730195261,0.1451995193588,0.074371214282019,0.114264149848045,0.143112383198618,0.1445241479045
"MIR1199",-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.143112383198618,-0.143112383198618,-0.114264149848045,-0.00420378730195261,0.1451995193588,0.074371214282019,0.114264149848045,0.143112383198618,0.1445241479045
"CD44s",-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.143112383198618,-0.143112383198618,-0.114264149848045,-0.00420378730195261,0.1451995193588,0.074371214282019,0.114264149848045,0.143112383198618,0.1445241479045
"CD24",-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.1445241479045,-0.143112383198618,-0.143112383198618,-0.114264149848045,-0.00420378730195261,0.1451995193588,0.074371214282019,0.114264149848045,0.143112383198618,0.1445241479045
