"","HA","CD24","MIR340","MIR1199","HAS2","ESRP1","MIR200","SNAIL1","TGFB","ZEB1","MIR190","GRHL2","CD44s","MIR34"
"HAS2",0.207146401985112,0.107146401985112,0.103516038948808,0.103516038948808,0.103516038948808,0.103516038948808,0.0957362430392397,0.0869322473906521,-0.00515919073465886,-0.106339568360573,-0.103516038948808,-0.103516038948808,-0.107146401985112,-0.11083061469299
"MIR340",0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.106339568360573,0.0947461440293387,0.0809370435537217,-0.00285149842696655,-0.104133354943193,-0.106339568360573,-0.106339568360573,-0.103516038948808,-0.115476463893294
"MIR1199",0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.106339568360573,0.0947461440293387,0.0809370435537217,-0.00285149842696655,-0.104133354943193,-0.106339568360573,-0.106339568360573,-0.103516038948808,-0.115476463893294
"HA",0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.106339568360573,0.0947461440293387,0.0809370435537217,-0.00285149842696655,-0.104133354943193,-0.106339568360573,-0.106339568360573,-0.103516038948808,-0.115476463893294
"CD44s",0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.106339568360573,0.0947461440293387,0.0809370435537217,-0.00285149842696655,-0.104133354943193,-0.106339568360573,-0.106339568360573,-0.103516038948808,-0.115476463893294
"CD24",0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.106339568360573,0.0947461440293387,0.0809370435537217,-0.00285149842696655,-0.104133354943193,-0.106339568360573,-0.106339568360573,-0.103516038948808,-0.115476463893294
"MIR34",0.0300003816240393,0.0300003816240393,0.0185718101954678,0.0185718101954678,0.0185718101954678,0.0185718101954678,0.0934346120663152,-0.0354117493435281,0.08219668225877,-0.0272625122827544,-0.0185718101954678,-0.0185718101954678,-0.0300003816240393,0.0720414035171575
"GRHL2",0.00139896481778259,-0.0986010351822174,0.00443452422801676,0.00443452422801676,0.00443452422801676,0.00443452422801676,-0.00630286943094374,0.0641726514612716,-0.00286876286450616,-0.00205744835696498,-0.00443452422801676,-0.00443452422801676,-0.00139896481778259,-0.012732562467933
"ZEB1",-0.106339568360573,-0.106339568360573,-0.104133354943193,-0.104133354943193,-0.104133354943193,-0.104133354943193,-0.095494991955606,-0.0855423067116164,0.00456208557444691,0.00581026013993899,0.104133354943193,0.104133354943193,0.106339568360573,0.111905035321866
"MIR190",-0.0150140056022409,-0.0150140056022409,-0.0300003816240393,-0.0300003816240393,-0.0300003816240393,-0.0300003816240393,-0.0895232691719215,0.0592277168672087,0.0088861202890007,0.0185718101954678,0.0300003816240393,0.0300003816240393,0.0150140056022409,-0.0535277138170271
"SNAIL1",-0.0185718101954678,-0.0185718101954678,-0.0272625122827544,-0.0272625122827544,-0.0272625122827544,-0.0272625122827544,-0.0904440941961475,-0.0463788424622382,-0.0890383688140604,0.0206128596526679,0.0272625122827544,0.0272625122827544,0.0185718101954678,-0.0579154613824626
"TGFB",-0.0300003816240393,-0.0300003816240393,-0.0185718101954678,-0.0185718101954678,-0.0185718101954678,-0.0185718101954678,-0.0934346120663152,0.0354117493435281,-0.08219668225877,0.0272625122827544,0.0185718101954678,0.0185718101954678,0.0300003816240393,-0.0720414035171575
"MIR200",-0.0915770552713595,-0.0915770552713595,-0.0980684274981467,-0.0980684274981467,-0.0980684274981467,-0.0980684274981467,-0.192264693142526,0.032831521087647,0.00145444750276488,0.0930387492725922,0.0980684274981467,0.0980684274981467,0.0915770552713595,0.0171374560790003
"ESRP1",-0.107146401985112,-0.107146401985112,-0.103516038948808,-0.103516038948808,-0.103516038948808,-0.103516038948808,-0.0957362430392397,-0.0869322473906521,0.00515919073465886,0.106339568360573,0.103516038948808,0.103516038948808,0.00714640198511166,0.11083061469299
