"","ZEB1","SNAIL1","MIR34","MIR200","MIR340","MIR1199","ESRP1","HA","TGFB","CD44s","CD24","MIR190","HAS2","GRHL2"
"GRHL2",-0.122195029645224,0.0891265966264193,0.157349357254668,0.157349357254668,0.120794834269125,0.120794834269125,0.120794834269125,0.122963090990721,-0.00926754991742796,-0.122963090990721,-0.0229630909907214,-0.120794834269125,-0.120794834269125,-0.120794834269125
"TGFB",-0.0820943453021145,-0.06482052052081,-0.0456252572303969,-0.0456252572303969,0.0822840986227976,0.0822840986227976,0.0822840986227976,0.0839167516840221,0.0904577161525802,-0.0839167516840221,-0.0839167516840221,-0.0822840986227976,-0.0822840986227976,-0.0822840986227976
"ZEB1",-0.0698150699386083,-0.0651538608432738,-0.0560381746747724,-0.0560381746747724,-0.0294377940826436,-0.0294377940826436,-0.0294377940826436,-0.027321630192504,0.00162090266321014,0.027321630192504,0.027321630192504,0.0294377940826436,0.0294377940826436,0.0294377940826436
"MIR340",-0.0294377940826436,0.0648548177810729,0.0551165156885973,0.0551165156885973,0.027321630192504,0.027321630192504,0.027321630192504,0.0277922184277981,-0.00166713474827717,-0.0277922184277981,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504
"HA",-0.0294377940826436,0.0648548177810729,0.0551165156885973,0.0551165156885973,0.027321630192504,0.027321630192504,0.027321630192504,0.0277922184277981,-0.00166713474827717,-0.0277922184277981,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504
"CD44s",-0.0294377940826436,0.0648548177810729,0.0551165156885973,0.0551165156885973,0.027321630192504,0.027321630192504,0.027321630192504,0.0277922184277981,-0.00166713474827717,-0.0277922184277981,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504
"CD24",-0.0294377940826436,0.0648548177810729,0.0551165156885973,0.0551165156885973,0.027321630192504,0.027321630192504,0.027321630192504,0.0277922184277981,-0.00166713474827717,-0.0277922184277981,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504
"HAS2",0.027321630192504,-0.066053858548459,-0.0554973230000977,-0.0554973230000977,-0.0277922184277981,-0.0277922184277981,-0.0277922184277981,-0.134722911497105,0.00166713474827717,0.034722911497105,0.034722911497105,0.0277922184277981,0.0277922184277981,0.0277922184277981
"ESRP1",0.027321630192504,-0.066053858548459,-0.0554973230000977,-0.0554973230000977,-0.0277922184277981,-0.0277922184277981,-0.0277922184277981,-0.034722911497105,0.00166713474827717,-0.065277088502895,0.034722911497105,0.0277922184277981,0.0277922184277981,0.0277922184277981
"MIR1199",0.0294377940826436,-0.0648548177810729,-0.0551165156885973,-0.0551165156885973,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.0277922184277981,0.00166713474827717,0.0277922184277981,0.0277922184277981,0.027321630192504,0.027321630192504,0.027321630192504
"MIR200",0.0628829120111133,0.0466120792118735,0.0173756703590472,0.0173756703590472,-0.0619144646509134,-0.0619144646509134,-0.0619144646509134,-0.0623253109943809,-0.199091195222553,0.0623253109943809,0.0623253109943809,0.0619144646509134,0.0619144646509134,0.0619144646509134
"MIR34",0.0820943453021145,0.06482052052081,0.0456252572303969,0.0456252572303969,-0.0822840986227976,-0.0822840986227976,-0.0822840986227976,-0.0839167516840221,-0.0904577161525802,0.0839167516840221,0.0839167516840221,0.0822840986227976,0.0822840986227976,0.0822840986227976
"MIR190",0.0822840986227976,0.0654971105072782,0.0440607200726394,0.0440607200726394,-0.0839167516840221,-0.0839167516840221,-0.0839167516840221,-0.0841892312480548,-0.191519287277846,0.0841892312480548,0.0841892312480548,0.0839167516840221,0.0839167516840221,0.0839167516840221
"SNAIL1",0.0825338745804357,-0.0345724992060489,0.0455036914633169,0.0455036914633169,-0.0820943453021145,-0.0820943453021145,-0.0820943453021145,-0.0822840986227976,-0.090775934131896,0.0822840986227976,0.0822840986227976,0.0820943453021145,0.0820943453021145,0.0820943453021145
