"","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","MIR34","HA","CD44s","CD24","SNAIL1"
"ESRP1",0.116176494611567,0.100995258334766,0.100995258334766,0.100995258334766,0.100995258334766,0.100995258334766,0.100995258334766,-0.100759964217119,-0.0150391994467084,-0.0658700049488063,-0.0920843672456576,-0.192084367245658,-0.0920843672456576,-0.101668634982108
"MIR1199",0.115338718526266,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,-0.09774330505458,-0.0147827891902982,-0.0664031351849068,-0.100995258334766,-0.100995258334766,-0.100995258334766,-0.103027547851812
"HA",0.115338718526266,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,0.100759964217119,-0.09774330505458,-0.0147827891902982,-0.0664031351849068,-0.100995258334766,-0.100995258334766,-0.100995258334766,-0.103027547851812
"TGFB",0.161299374450549,0.0639887792840418,0.0639887792840418,0.0639887792840418,0.0639887792840418,0.0639887792840418,0.0639887792840418,-0.0643303352612714,-0.121648243915603,0.102671544734686,-0.061335718059552,-0.061335718059552,-0.061335718059552,-0.154940969682626
"MIR190",0.158952568713912,0.061335718059552,0.061335718059552,0.061335718059552,0.061335718059552,0.061335718059552,0.061335718059552,-0.0639887792840418,-0.0205866727903374,0.103714569506524,-0.0632430750077809,-0.0632430750077809,-0.0632430750077809,-0.155346923674507
"GRHL2",-0.00159617047599816,0.00664691473472261,0.00664691473472261,0.00664691473472261,0.00664691473472261,0.00664691473472261,0.00664691473472261,-0.00876348914045364,0.00677872395935439,-0.0229728253797312,-0.00413173693767144,-0.00413173693767144,-0.104131736937671,0.0767827129103841
"ZEB1",-0.113898626360367,-0.09774330505458,-0.09774330505458,-0.09774330505458,-0.09774330505458,-0.09774330505458,-0.09774330505458,-0.00131032270567234,0.0143667004246949,0.0639837803461971,0.100759964217119,0.100759964217119,0.100759964217119,0.103805059813535
"SNAIL1",-0.161372313910797,-0.0643303352612714,-0.0643303352612714,-0.0643303352612714,-0.0643303352612714,-0.0643303352612714,-0.0643303352612714,0.0632669579750102,0.122046016389748,-0.102306847433446,0.0639887792840418,0.0639887792840418,0.0639887792840418,0.0549409696826258
"MIR34",-0.161299374450549,-0.0639887792840418,-0.0639887792840418,-0.0639887792840418,-0.0639887792840418,-0.0639887792840418,-0.0639887792840418,0.0643303352612714,0.121648243915603,-0.102671544734686,0.061335718059552,0.061335718059552,0.061335718059552,0.154940969682626
"MIR340",-0.115338718526266,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,0.09774330505458,0.0147827891902982,0.0664031351849068,0.100995258334766,0.100995258334766,0.100995258334766,0.103027547851812
"CD44s",-0.115338718526266,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,0.09774330505458,0.0147827891902982,0.0664031351849068,0.100995258334766,0.100995258334766,0.100995258334766,0.103027547851812
"CD24",-0.115338718526266,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,-0.100759964217119,0.09774330505458,0.0147827891902982,0.0664031351849068,0.100995258334766,0.100995258334766,0.100995258334766,0.103027547851812
"HAS2",-0.116176494611567,-0.100995258334766,-0.100995258334766,-0.100995258334766,-0.100995258334766,-0.100995258334766,-0.100995258334766,0.100759964217119,0.0150391994467084,0.0658700049488063,-0.00791563275434243,0.0920843672456576,0.0920843672456576,0.101668634982108
"MIR200",-0.224159587670009,-0.104959442413385,-0.104959442413385,-0.104959442413385,-0.104959442413385,-0.104959442413385,-0.104959442413385,0.103678592678927,0.0149132854887985,-0.0260542938619685,0.105698965831626,0.105698965831626,0.105698965831626,0.185195802415692
