"","SNAIL1","MIR190","MIR1199","HAS2","GRHL2","CD44s","CD24","TGFB","ZEB1","HA","MIR340","ESRP1","MIR34","MIR200"
"SNAIL1",0.396066875213471,0.30096995773884,0.30096995773884,0.30096995773884,0.30096995773884,0.298579065898233,0.298579065898233,0.212284665125193,-0.30248704266724,-0.298579065898233,-0.30096995773884,-0.30096995773884,-0.436340909854448,-0.436340909854448
"MIR190",0.486978119064442,0.294701514877825,0.294701514877825,0.294701514877825,0.294701514877825,0.288434484905073,0.288434484905073,0.107402958098555,-0.298579065898233,-0.288434484905073,-0.294701514877825,-0.294701514877825,-0.427209244460497,-0.427209244460497
"MIR340",0.184279145749993,0.123744749748658,0.123744749748658,0.123744749748658,0.123744749748658,0.122568279160422,0.122568279160422,0.028962829249854,-0.124600220257437,-0.122568279160422,-0.123744749748658,-0.123744749748658,-0.165950174166348,-0.165950174166348
"MIR1199",0.184279145749993,0.123744749748658,0.123744749748658,0.123744749748658,0.123744749748658,0.122568279160422,0.122568279160422,0.028962829249854,-0.124600220257437,-0.122568279160422,-0.123744749748658,-0.123744749748658,-0.165950174166348,-0.165950174166348
"HA",0.184279145749993,0.123744749748658,0.123744749748658,0.123744749748658,0.123744749748658,0.122568279160422,0.122568279160422,0.028962829249854,-0.124600220257437,-0.122568279160422,-0.123744749748658,-0.123744749748658,-0.165950174166348,-0.165950174166348
"CD44s",0.184279145749993,0.123744749748658,0.123744749748658,0.123744749748658,0.123744749748658,0.122568279160422,0.122568279160422,0.028962829249854,-0.124600220257437,-0.122568279160422,-0.123744749748658,-0.123744749748658,-0.165950174166348,-0.165950174166348
"ZEB1",-0.185475317998797,-0.124600220257437,-0.124600220257437,-0.124600220257437,-0.124600220257437,-0.123744749748658,-0.123744749748658,-0.0296563105258596,0.025148119975186,0.123744749748658,0.124600220257437,0.124600220257437,0.167159851585702,0.167159851585702
"MIR200",0.151059523549091,-0.0365996067724845,-0.0365996067724845,-0.0365996067724845,-0.0365996067724845,-0.0376678072655001,-0.0376678072655001,0.0119673907261373,0.0360060422613942,0.0376678072655001,0.0365996067724845,0.0365996067724845,-0.0587571815203169,-0.0587571815203169
"HAS2",-0.182440616573334,-0.122568279160422,-0.122568279160422,-0.122568279160422,-0.122568279160422,-0.120918114143921,-0.120918114143921,-0.027937188224213,0.123744749748658,0.0209181141439206,0.122568279160422,0.122568279160422,0.164046137608846,0.164046137608846
"ESRP1",-0.182440616573334,-0.122568279160422,-0.122568279160422,-0.122568279160422,-0.122568279160422,-0.220918114143921,-0.120918114143921,-0.027937188224213,0.123744749748658,0.120918114143921,0.122568279160422,0.122568279160422,0.164046137608846,0.164046137608846
"CD24",-0.184279145749993,-0.123744749748658,-0.123744749748658,-0.123744749748658,-0.123744749748658,-0.122568279160422,-0.122568279160422,-0.028962829249854,0.124600220257437,0.122568279160422,0.123744749748658,0.123744749748658,0.165950174166348,0.165950174166348
"GRHL2",-0.209131647563674,-0.224511070502321,-0.224511070502321,-0.224511070502321,-0.224511070502321,-0.223210116469364,-0.123210116469364,-0.0317490061641128,0.225455388314109,0.223210116469364,0.224511070502321,0.224511070502321,0.271878648882472,0.271878648882472
"TGFB",-0.492526156953481,-0.298579065898233,-0.298579065898233,-0.298579065898233,-0.298579065898233,-0.294701514877825,-0.294701514877825,-0.210375357249298,0.30096995773884,0.294701514877825,0.298579065898233,0.298579065898233,0.432815502609128,0.432815502609128
"MIR34",-0.492526156953481,-0.298579065898233,-0.298579065898233,-0.298579065898233,-0.298579065898233,-0.294701514877825,-0.294701514877825,-0.210375357249298,0.30096995773884,0.294701514877825,0.298579065898233,0.298579065898233,0.432815502609128,0.432815502609128
