"","MIR34","MIR340","MIR1199","HAS2","GRHL2","MIR200","SNAIL1","TGFB","ZEB1","MIR190","ESRP1","HA","CD44s","CD24"
"ESRP1",0.214171042916881,0.205904396891302,0.205904396891302,0.205904396891302,0.205904396891302,0.17401521157348,0.150594661786663,0.0153587367910235,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.225376344086022,-0.125376344086022,-0.225376344086022
"MIR340",0.234810799200201,0.224963220420714,0.224963220420714,0.224963220420714,0.224963220420714,0.178051769075384,0.135966364424553,0.00997412140640815,-0.214652549551736,-0.224963220420714,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.205904396891302
"MIR1199",0.234810799200201,0.224963220420714,0.224963220420714,0.224963220420714,0.224963220420714,0.178051769075384,0.135966364424553,0.00997412140640815,-0.214652549551736,-0.224963220420714,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.205904396891302
"HA",0.234810799200201,0.224963220420714,0.224963220420714,0.224963220420714,0.224963220420714,0.178051769075384,0.135966364424553,0.00997412140640815,-0.214652549551736,-0.224963220420714,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.205904396891302
"CD44s",0.234810799200201,0.224963220420714,0.224963220420714,0.224963220420714,0.224963220420714,0.178051769075384,0.135966364424553,0.00997412140640815,-0.214652549551736,-0.224963220420714,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.205904396891302
"CD24",0.234810799200201,0.224963220420714,0.224963220420714,0.224963220420714,0.224963220420714,0.178051769075384,0.135966364424553,0.00997412140640815,-0.214652549551736,-0.224963220420714,-0.224963220420714,-0.205904396891302,-0.205904396891302,-0.205904396891302
"MIR200",0.0851269702317972,0.198295850297869,0.198295850297869,0.198295850297869,0.198295850297869,0.251498955897287,-0.0108757513671489,-0.193259930470111,-0.200263985255695,-0.198295850297869,-0.198295850297869,-0.197391988342241,-0.197391988342241,-0.197391988342241
"TGFB",0.122354669993561,0.0510870578930937,0.0510870578930937,0.0510870578930937,0.0510870578930937,-0.0626362299238834,0.105482395106941,0.101213559712965,-0.073667703054384,-0.0510870578930937,-0.0510870578930937,-0.0808829762604406,-0.0808829762604406,-0.0808829762604406
"MIR34",0.122354669993561,0.0510870578930937,0.0510870578930937,0.0510870578930937,0.0510870578930937,-0.0626362299238834,0.105482395106941,0.101213559712965,-0.073667703054384,-0.0510870578930937,-0.0510870578930937,-0.0808829762604406,-0.0808829762604406,-0.0808829762604406
"GRHL2",0.0866687728013164,0.077436109095235,0.077436109095235,0.077436109095235,0.077436109095235,0.0466829610541127,0.0876710185097622,0.00579228786803862,-0.0647040999776837,-0.077436109095235,-0.077436109095235,-0.0582687196763278,-0.0582687196763278,-0.158268719676328
"SNAIL1",0.145184721051183,0.073667703054384,0.073667703054384,0.073667703054384,0.073667703054384,-0.0565336284164679,-0.0127270130872928,0.0952469726007928,-0.0576886870328329,-0.073667703054384,-0.073667703054384,-0.0510870578930937,-0.0510870578930937,-0.0510870578930937
"MIR190",-0.151168229315595,-0.0808829762604406,-0.0808829762604406,-0.0808829762604406,-0.0808829762604406,0.0533793850738182,-0.0822076995724347,-0.194207190286213,0.0510870578930937,0.0808829762604406,0.0808829762604406,0.0397385620915033,0.0397385620915033,0.0397385620915033
"ZEB1",-0.222944439753197,-0.214652549551736,-0.214652549551736,-0.214652549551736,-0.214652549551736,-0.176726884282757,-0.148286938587232,-0.0150134186787151,0.123501960144464,0.214652549551736,0.214652549551736,0.224963220420714,0.224963220420714,0.224963220420714
"HAS2",-0.214171042916881,-0.205904396891302,-0.205904396891302,-0.205904396891302,-0.205904396891302,-0.17401521157348,-0.150594661786663,-0.0153587367910235,0.224963220420714,0.205904396891302,0.205904396891302,0.125376344086022,0.225376344086022,0.225376344086022
