"","CD44s","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HAS2","HA","CD24"
"HAS2",0.093697270471464,0.103268227567174,0.103268227567174,0.103268227567174,0.103268227567174,0.103268227567174,0.0889221531951832,0.0889221531951832,0.0556972092478907,0.00273973420606672,-0.101856462861291,-0.103268227567174,0.00630272952853598,-0.093697270471464
"ESRP1",0.193697270471464,0.103268227567174,0.103268227567174,0.103268227567174,0.103268227567174,0.103268227567174,0.0889221531951832,0.0889221531951832,0.0556972092478907,0.00273973420606672,-0.101856462861291,-0.103268227567174,-0.093697270471464,-0.093697270471464
"MIR340",0.103268227567174,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.087779731260682,0.087779731260682,0.0586548431407764,0.000944862411194924,-0.0985696551170319,-0.101856462861291,-0.103268227567174,-0.103268227567174
"HA",0.103268227567174,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.087779731260682,0.087779731260682,0.0586548431407764,0.000944862411194924,-0.0985696551170319,-0.101856462861291,-0.103268227567174,-0.103268227567174
"CD44s",0.103268227567174,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.101856462861291,0.087779731260682,0.087779731260682,0.0586548431407764,0.000944862411194924,-0.0985696551170319,-0.101856462861291,-0.103268227567174,-0.103268227567174
"MIR34",0.0708340350975389,0.0749156677506001,0.0749156677506001,0.0749156677506001,0.0749156677506001,0.0749156677506001,-0.0197386122083216,-0.0197386122083216,0.0123606625078212,0.0709691289627067,-0.0748777170864635,-0.0749156677506001,-0.0708340350975389,-0.0708340350975389
"SNAIL1",0.0749156677506001,0.0748777170864635,0.0748777170864635,0.0748777170864635,0.0748777170864635,0.0748777170864635,-0.0196656727480736,-0.0196656727480736,-0.0862230501881828,0.0702531385092461,-0.0732755619751633,-0.0748777170864635,-0.0749156677506001,-0.0749156677506001
"GRHL2",0.00290474307264077,0.00646068409605794,0.00646068409605794,0.00646068409605794,0.00646068409605794,0.00646068409605794,0.0156177952894517,0.0156177952894517,-0.0559890935967515,-0.00161586162322542,-0.0084470077691286,-0.00646068409605794,-0.00290474307264077,-0.102904743072641
"ZEB1",-0.101856462861291,-0.0985696551170319,-0.0985696551170319,-0.0985696551170319,-0.0985696551170319,-0.0985696551170319,-0.0846115284957051,-0.0846115284957051,-0.0575184795044128,-0.00108355866639603,0.000113736139778035,0.0985696551170319,0.101856462861291,0.101856462861291
"TGFB",-0.0708340350975389,-0.0749156677506001,-0.0749156677506001,-0.0749156677506001,-0.0749156677506001,-0.0749156677506001,0.0197386122083216,0.0197386122083216,-0.0123606625078212,-0.0709691289627067,0.0748777170864635,0.0749156677506001,0.0708340350975389,0.0708340350975389
"MIR190",-0.0738313103018985,-0.0708340350975389,-0.0708340350975389,-0.0708340350975389,-0.0708340350975389,-0.0708340350975389,0.0235195770062355,0.0235195770062355,-0.0126312985024085,0.0296678137124525,0.0749156677506001,0.0708340350975389,0.0738313103018985,0.0738313103018985
"MIR200",-0.0828077194508341,-0.0827255501821406,-0.0827255501821406,-0.0827255501821406,-0.0827255501821406,-0.0827255501821406,-0.16664298809611,-0.16664298809611,0.0293488141452812,-0.00887059866617535,0.0791954033530247,0.0827255501821406,0.0828077194508341,0.0828077194508341
"MIR1199",-0.103268227567174,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.087779731260682,-0.087779731260682,-0.0586548431407764,-0.000944862411194924,0.0985696551170319,0.101856462861291,0.103268227567174,0.103268227567174
"CD24",-0.103268227567174,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.101856462861291,-0.087779731260682,-0.087779731260682,-0.0586548431407764,-0.000944862411194924,0.0985696551170319,0.101856462861291,0.103268227567174,0.103268227567174
