"","MIR200","TGFB","HA","MIR340","MIR190","HAS2","GRHL2","ESRP1","SNAIL1","MIR34","ZEB1","MIR1199","CD44s","CD24"
"GRHL2",0.311945201790648,0.302182429331678,0.289265768066031,0.289352498334895,0.289352498334895,0.289352498334895,0.289352498334895,0.289352498334895,0.176443340865797,0.220623046227516,-0.28918968491907,-0.289352498334895,-0.289265768066031,-0.389265768066031
"HAS2",0.189459250824401,0.178540607512614,0.262564102564103,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.150642037306966,0.108420353847657,-0.162894135567403,-0.162894135567403,-0.162564102564103,-0.162564102564103
"MIR340",0.189840058135901,0.179053428025435,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.150082484948853,0.108039546536156,-0.162669011749303,-0.162894135567403,-0.162894135567403,-0.162894135567403
"HA",0.189840058135901,0.179053428025435,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.150082484948853,0.108039546536156,-0.162669011749303,-0.162894135567403,-0.162894135567403,-0.162894135567403
"CD44s",0.189840058135901,0.179053428025435,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.162894135567403,0.150082484948853,0.108039546536156,-0.162669011749303,-0.162894135567403,-0.162894135567403,-0.162894135567403
"ZEB1",-0.189494436016085,-0.17928458845077,-0.162894135567403,-0.162669011749303,-0.162669011749303,-0.162669011749303,-0.162669011749303,-0.162669011749303,-0.150261910786173,-0.108097150222792,0.0627188208145528,0.162669011749303,0.162894135567403,0.162894135567403
"MIR190",-0.0197306725661053,0.0790947478098737,-0.125658263305322,-0.125930742869355,-0.125930742869355,-0.125930742869355,-0.125930742869355,-0.125930742869355,-0.00997358914600609,-0.110951756036139,0.125522579604049,0.125930742869355,0.125658263305322,0.125658263305322
"SNAIL1",-0.0192313494988187,-0.021250832861931,-0.125522579604049,-0.125788234253005,-0.125788234253005,-0.125788234253005,-0.125788234253005,-0.125788234253005,-0.11080192420076,-0.11126995086533,0.125688985706287,0.125788234253005,0.125522579604049,0.125522579604049
"TGFB",-0.0188180258907468,-0.0219668233153917,-0.125930742869355,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.0106501791324743,-0.111342890325578,0.125788234253005,0.125522579604049,0.125930742869355,0.125930742869355
"MIR34",-0.0188180258907468,-0.0219668233153917,-0.125930742869355,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.125522579604049,-0.0106501791324743,-0.111342890325578,0.125788234253005,0.125522579604049,0.125930742869355,0.125930742869355
"MIR1199",-0.189840058135901,-0.179053428025435,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.150082484948853,-0.108039546536156,0.162669011749303,0.162894135567403,0.162894135567403,0.162894135567403
"CD24",-0.189840058135901,-0.179053428025435,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.150082484948853,-0.108039546536156,0.162669011749303,0.162894135567403,0.162894135567403,0.162894135567403
"ESRP1",-0.189459250824401,-0.178540607512614,-0.162564102564103,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.162894135567403,-0.150642037306966,-0.108420353847657,0.162894135567403,0.162894135567403,0.0625641025641026,0.162564102564103
"MIR200",-0.0976094502210499,0.0108093151114011,-0.176716082443552,-0.176798251712245,-0.176798251712245,-0.176798251712245,-0.176798251712245,-0.176798251712245,-0.0334854574298818,-0.210073854345451,0.176517089575413,0.176798251712245,0.176716082443552,0.176716082443552
