"","SNAIL1","HA","CD24","MIR340","MIR190","GRHL2","ESRP1","ZEB1","MIR200","TGFB","MIR1199","HAS2","CD44s","MIR34"
"TGFB",-0.027179634454707,0.0801706622703577,0.0801706622703577,0.0793543357397455,0.0793543357397455,0.0793543357397455,0.0793543357397455,-0.0800753983583413,0.111696004357827,-0.132278252126002,-0.0793543357397455,-0.0793543357397455,-0.0801706622703577,0.0357005774313194
"MIR34",-0.027179634454707,0.0801706622703577,0.0801706622703577,0.0793543357397455,0.0793543357397455,0.0793543357397455,0.0793543357397455,-0.0800753983583413,0.111696004357827,-0.132278252126002,-0.0793543357397455,-0.0793543357397455,-0.0801706622703577,0.0357005774313194
"MIR1199",0.103080296511389,0.0590860624523991,0.0590860624523991,0.058615474217105,0.058615474217105,0.058615474217105,0.058615474217105,-0.0581202018172851,0.0414529886597226,-0.0485576329708162,-0.058615474217105,-0.058615474217105,-0.0590860624523991,-0.0911452668116881
"HA",0.103080296511389,0.0590860624523991,0.0590860624523991,0.058615474217105,0.058615474217105,0.058615474217105,0.058615474217105,-0.0581202018172851,0.0414529886597226,-0.0485576329708162,-0.058615474217105,-0.058615474217105,-0.0590860624523991,-0.0911452668116881
"CD44s",0.103080296511389,0.0590860624523991,0.0590860624523991,0.058615474217105,0.058615474217105,0.058615474217105,0.058615474217105,-0.0581202018172851,0.0414529886597226,-0.0485576329708162,-0.058615474217105,-0.058615474217105,-0.0590860624523991,-0.0911452668116881
"CD24",0.103080296511389,0.0590860624523991,0.0590860624523991,0.058615474217105,0.058615474217105,0.058615474217105,0.058615474217105,-0.0581202018172851,0.0414529886597226,-0.0485576329708162,-0.058615474217105,-0.058615474217105,-0.0590860624523991,-0.0911452668116881
"MIR200",0.115012987121181,0.0529776953800025,0.0529776953800025,0.0520738334243739,0.0520738334243739,0.0520738334243739,0.0520738334243739,-0.0519801127120965,-0.0466088283030684,-0.050399799618994,-0.0520738334243739,-0.0520738334243739,-0.0529776953800025,-0.176956504820385
"ZEB1",-0.102960679286509,-0.058615474217105,-0.058615474217105,-0.0581202018172851,-0.0581202018172851,-0.0581202018172851,-0.0581202018172851,-0.0417635770304652,-0.0409345554799991,0.048234008375347,0.0581202018172851,0.0581202018172851,0.058615474217105,0.0910300594384162
"GRHL2",-0.0765932763612065,0.0199669553095096,0.11996695530951,0.0207475277292841,0.0207475277292841,0.0207475277292841,0.0207475277292841,-0.0209754665114397,0.0328771082364944,-0.0271083482707712,-0.0207475277292841,-0.0207475277292841,-0.0199669553095096,-0.00765395609080068
"MIR340",-0.103080296511389,-0.0590860624523991,-0.0590860624523991,-0.058615474217105,-0.058615474217105,-0.058615474217105,-0.058615474217105,0.0581202018172851,-0.0414529886597226,0.0485576329708162,0.058615474217105,0.058615474217105,0.0590860624523991,0.0911452668116881
"HAS2",-0.102520744153276,-0.157435897435897,-0.0574358974358974,-0.0590860624523991,-0.0590860624523991,-0.0590860624523991,-0.0590860624523991,0.058615474217105,-0.0416814730466229,0.0475319919451752,0.0590860624523991,0.0590860624523991,0.0574358974358974,0.0915260741231884
"ESRP1",-0.102520744153276,-0.0574358974358974,-0.0574358974358974,-0.0590860624523991,-0.0590860624523991,-0.0590860624523991,-0.0590860624523991,0.058615474217105,-0.0416814730466229,0.0475319919451752,0.0590860624523991,0.0590860624523991,-0.0425641025641026,0.0915260741231884
"MIR190",0.0374638022490236,-0.0782633053221289,-0.0782633053221289,-0.0801706622703577,-0.0801706622703577,-0.0801706622703577,-0.0801706622703577,0.0793543357397455,-0.107002392884555,0.0354629655017983,0.0801706622703577,0.0801706622703577,0.0782633053221289,-0.0299639411862086
"SNAIL1",-0.0659918374724554,-0.0793543357397455,-0.0793543357397455,-0.0800753983583413,-0.0800753983583413,-0.0800753983583413,-0.0800753983583413,0.0793806585313173,-0.108462354953499,0.134823995960529,0.0800753983583413,0.0800753983583413,0.0793543357397455,-0.0315430281971837
