"","MIR200","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","ZEB1","ESRP1","HA","CD24","TGFB","SNAIL1"
"TGFB",-0.0817593179565783,0.102794081604788,0.101977755074176,0.101977755074176,0.101977755074176,0.101977755074176,0.101977755074176,0.183584995559063,-0.102622916364499,-0.101977755074176,-0.102794081604788,-0.102794081604788,0.053743096280212,0.157490357995926
"SNAIL1",-0.0814918732690023,0.101977755074176,0.102622916364499,0.102622916364499,0.102622916364499,0.102622916364499,0.102622916364499,0.184144198087631,-0.102353527451979,-0.102622916364499,-0.101977755074176,-0.101977755074176,0.0545386412285016,0.0575409396853542
"HAS2",0.191551042372352,0.0968899917287014,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0243359710951276,-0.0951877979799148,-0.0925995626857971,-0.196889991728701,-0.0968899917287014,-0.157507455871367,-0.265592663916936
"ESRP1",0.191551042372352,-0.00311000827129859,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0925995626857971,0.0243359710951276,-0.0951877979799148,-0.0925995626857971,-0.0968899917287014,-0.0968899917287014,-0.157507455871367,-0.265592663916936
"MIR340",0.192693464306853,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0265446535018298,-0.093972129362175,-0.0951877979799148,-0.0925995626857971,-0.0925995626857971,-0.153917712281624,-0.265192983661141
"CD24",0.192693464306853,0.0925995626857971,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0951877979799148,0.0265446535018298,-0.093972129362175,-0.0951877979799148,-0.0925995626857971,-0.0925995626857971,-0.153917712281624,-0.265192983661141
"MIR200",0.259258480227027,0.082629099384687,0.0840259769524766,0.0840259769524766,0.0840259769524766,0.0840259769524766,0.0840259769524766,-0.0695866702546996,-0.0834324124413863,-0.0840259769524766,-0.082629099384687,-0.082629099384687,-0.329929031108928,-0.285570880919375
"GRHL2",0.0500916623705208,0.00493824078928666,0.00797380019952084,0.00797380019952084,0.00797380019952084,0.00797380019952084,0.00797380019952084,-0.0250936830013898,-0.00637822872443129,-0.00797380019952084,-0.00493824078928666,-0.104938240789287,-0.0306207799426274,-0.153708567202024
"ZEB1",-0.191771805320678,-0.0951877979799148,-0.093972129362175,-0.093972129362175,-0.093972129362175,-0.093972129362175,-0.093972129362175,-0.0259110129488344,-0.00511470444157728,0.093972129362175,0.0951877979799148,0.0951877979799148,0.155628299429104,0.26507336643626
"MIR1199",-0.192693464306853,-0.0925995626857971,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0265446535018298,0.093972129362175,0.0951877979799148,0.0925995626857971,0.0925995626857971,0.153917712281624,0.265192983661141
"HA",-0.192693464306853,-0.0925995626857971,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0265446535018298,0.093972129362175,0.0951877979799148,0.0925995626857971,0.0925995626857971,0.153917712281624,0.265192983661141
"CD44s",-0.192693464306853,-0.0925995626857971,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0951877979799148,-0.0265446535018298,0.093972129362175,0.0951877979799148,0.0925995626857971,0.0925995626857971,0.153917712281624,0.265192983661141
"MIR190",0.0809770493776995,-0.101431683784625,-0.102794081604788,-0.102794081604788,-0.102794081604788,-0.102794081604788,-0.102794081604788,-0.183845751752023,0.101977755074176,0.102794081604788,0.101431683784625,0.101431683784625,-0.154592353180424,-0.157084404004045
"MIR34",0.0817593179565783,-0.102794081604788,-0.101977755074176,-0.101977755074176,-0.101977755074176,-0.101977755074176,-0.101977755074176,-0.183584995559063,0.102622916364499,0.101977755074176,0.102794081604788,0.102794081604788,-0.053743096280212,-0.157490357995926
