"","HA","CD24","MIR340","MIR190","ESRP1","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR1199","HAS2","GRHL2","CD44s"
"MIR340",0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.0973709281625678,0.0731510294429662,-0.00340303266915712,-0.107157985881253,-0.0973709281625678,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.107473159226593
"MIR1199",0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.0973709281625678,0.0731510294429662,-0.00340303266915712,-0.107157985881253,-0.0973709281625678,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.107473159226593
"HA",0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.0973709281625678,0.0731510294429662,-0.00340303266915712,-0.107157985881253,-0.0973709281625678,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.107473159226593
"CD44s",0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.0973709281625678,0.0731510294429662,-0.00340303266915712,-0.107157985881253,-0.0973709281625678,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.107473159226593
"CD24",0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.107473159226593,0.0973709281625678,0.0731510294429662,-0.00340303266915712,-0.107157985881253,-0.0973709281625678,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.107473159226593
"TGFB",0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0683345769290255,-0.015303882552952,0.0711258344476476,-0.0197186722295688,-0.0683345769290255,-0.0201361295350717,-0.0201361295350717,-0.0201361295350717,-0.0201361295350717
"MIR34",0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0683345769290255,-0.015303882552952,0.0711258344476476,-0.0197186722295688,-0.0683345769290255,-0.0201361295350717,-0.0201361295350717,-0.0201361295350717,-0.0201361295350717
"ZEB1",-0.107473159226593,-0.107473159226593,-0.107157985881253,-0.107157985881253,-0.107157985881253,-0.0970829097293881,-0.0729117949932054,0.00354172892435823,0.00724100099000249,0.0970829097293881,0.107157985881253,0.107157985881253,0.107157985881253,0.107473159226593
"SNAIL1",-0.0201361295350717,-0.0201361295350717,-0.0197186722295688,-0.0197186722295688,-0.0197186722295688,-0.0680185059346175,-0.0843926273104774,-0.0708871709631607,0.0198462775039202,0.0680185059346175,0.0197186722295688,0.0197186722295688,0.0197186722295688,0.0201361295350717
"MIR190",-0.0187737317149082,-0.0187737317149082,-0.0201361295350717,-0.0201361295350717,-0.0201361295350717,-0.0687257112184649,0.0154392005502457,-0.170701205997541,0.0201361295350717,0.0687257112184649,0.0201361295350717,0.0201361295350717,0.0201361295350717,0.0187737317149082
"HAS2",-0.205822994210091,-0.105822994210091,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.097599412549468,-0.072911221289489,0.00365944292556738,0.107473159226593,0.097599412549468,0.107473159226593,0.107473159226593,0.107473159226593,0.105822994210091
"ESRP1",-0.105822994210091,-0.105822994210091,-0.107473159226593,-0.107473159226593,-0.107473159226593,-0.097599412549468,-0.072911221289489,0.00365944292556738,0.107473159226593,0.097599412549468,0.107473159226593,0.107473159226593,0.107473159226593,0.00582299421009099
"MIR200",-0.113715170727427,-0.113715170727427,-0.11330432438396,-0.11330432438396,-0.11330432438396,-0.00948063759611138,-0.0905038139691107,0.196177742843399,0.113085642721979,0.00948063759611138,0.11330432438396,0.11330432438396,0.11330432438396,0.113715170727427
"GRHL2",-0.208890333902437,-0.308890333902437,-0.209323985246756,-0.209323985246756,-0.209323985246756,-0.18699960561751,-0.0975497376259659,0.0107166828555696,0.2090960464646,0.18699960561751,0.209323985246756,0.209323985246756,0.209323985246756,0.208890333902437
