"","MIR200","ZEB1","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","TGFB","ESRP1","HA","CD24","MIR34","SNAIL1"
"TGFB",0.144679968488346,-0.125431251636924,0.127251721760457,0.119700701352294,0.119700701352294,0.119700701352294,0.119700701352294,0.119700701352294,0.087660411254642,-0.119700701352294,-0.127251721760457,-0.127251721760457,0.0225542232058806,0.0543845442133521
"MIR34",0.144679968488346,-0.125431251636924,0.127251721760457,0.119700701352294,0.119700701352294,0.119700701352294,0.119700701352294,0.119700701352294,0.087660411254642,-0.119700701352294,-0.127251721760457,-0.127251721760457,0.0225542232058806,0.0543845442133521
"SNAIL1",0.14611444453989,-0.121418774676765,0.119700701352294,0.125431251636924,0.125431251636924,0.125431251636924,0.125431251636924,0.125431251636924,0.0896492736253659,-0.125431251636924,-0.119700701352294,-0.119700701352294,0.0166461269257931,-0.0407596136015189
"MIR200",0.198062481561291,-0.0868030349226545,0.0832364625414373,0.0956440221141571,0.0956440221141571,0.0956440221141571,0.0956440221141571,0.0956440221141571,0.197680881377211,-0.0956440221141571,-0.0832364625414373,-0.0832364625414373,-0.0224750977303781,0.0311434550877329
"ZEB1",-0.0661840679382334,-0.0591659533050079,-0.0423909930038399,-0.0329808174072617,-0.0329808174072617,-0.0329808174072617,-0.0329808174072617,-0.0329808174072617,0.00581571430814215,0.0329808174072617,0.0423909930038399,0.0423909930038399,0.0838191997999715,0.0983851185058955
"ESRP1",0.0641060357819514,-0.0423909930038399,-0.0542349048800662,0.0282733459450163,0.0282733459450163,0.0282733459450163,0.0282733459450163,0.0282733459450163,-0.00733354922403532,-0.0282733459450163,-0.0457650951199338,-0.0457650951199338,-0.0796576515111476,-0.100924044303057
"MIR340",0.0681425932838555,-0.0329808174072617,0.0282733459450163,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,-0.00271816460865071,-0.0423909930038399,-0.0282733459450163,-0.0282733459450163,-0.0938998449612619,-0.0896530610896275
"HA",0.0681425932838555,-0.0329808174072617,0.0282733459450163,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,-0.00271816460865071,-0.0423909930038399,-0.0282733459450163,-0.0282733459450163,-0.0938998449612619,-0.0896530610896275
"CD24",0.0681425932838555,-0.0329808174072617,0.0282733459450163,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0423909930038399,-0.00271816460865071,-0.0423909930038399,-0.0282733459450163,-0.0282733459450163,-0.0938998449612619,-0.0896530610896275
"GRHL2",-0.0074570627774774,0.0158480859056391,-0.0201392996577668,-0.0051349631443236,-0.0051349631443236,-0.0051349631443236,-0.0051349631443236,-0.0051349631443236,-0.00248008419709083,0.0051349631443236,0.0201392996577668,-0.0798607003422332,-0.0159543401921271,-0.0669065285702932
"MIR1199",-0.0681425932838555,0.0329808174072617,-0.0282733459450163,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,0.00271816460865071,0.0423909930038399,0.0282733459450163,0.0282733459450163,0.0938998449612619,0.0896530610896275
"CD44s",-0.0681425932838555,0.0329808174072617,-0.0282733459450163,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,0.00271816460865071,0.0423909930038399,0.0282733459450163,0.0282733459450163,0.0938998449612619,0.0896530610896275
"HAS2",-0.0641060357819514,0.0423909930038399,-0.0457650951199338,-0.0282733459450163,-0.0282733459450163,-0.0282733459450163,-0.0282733459450163,-0.0282733459450163,0.00733354922403532,0.0282733459450163,-0.0542349048800662,0.0457650951199338,0.0796576515111476,0.100924044303057
"MIR190",-0.146244505646104,0.119700701352294,-0.118804855275444,-0.127251721760457,-0.127251721760457,-0.127251721760457,-0.127251721760457,-0.127251721760457,-0.190208181955279,0.127251721760457,0.118804855275444,0.118804855275444,-0.0144707812241335,-0.0606091720888595
