"","HA","MIR34","TGFB","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","SNAIL1","ZEB1","CD44s","CD24"
"MIR340",0.188605508193499,0.212315250551534,0.171369080292383,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.189529636575273,-0.0304084808842751,-0.194547717585135,-0.188605508193499,-0.188605508193499
"MIR1199",0.188605508193499,0.212315250551534,0.171369080292383,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.189529636575273,-0.0304084808842751,-0.194547717585135,-0.188605508193499,-0.188605508193499
"CD44s",0.188605508193499,0.212315250551534,0.171369080292383,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.189529636575273,-0.0304084808842751,-0.194547717585135,-0.188605508193499,-0.188605508193499
"CD24",0.188605508193499,0.212315250551534,0.171369080292383,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.215664331722911,0.189529636575273,-0.0304084808842751,-0.194547717585135,-0.188605508193499,-0.188605508193499
"MIR34",0.153920169339307,0.0250489156686536,0.177301839668515,0.145756904033185,0.145756904033185,0.145756904033185,0.145756904033185,0.145756904033185,0.145756904033185,0.129285827257136,-0.0122469109991817,-0.152853678226733,-0.153920169339307,-0.153920169339307
"MIR200",0.147398206322503,0.242062849150256,0.14380173570966,0.16276385956819,0.16276385956819,0.16276385956819,0.16276385956819,0.16276385956819,0.16276385956819,0.0587737619106587,0.046496422945173,-0.150611407209552,-0.147398206322503,-0.147398206322503
"GRHL2",0.0477879624107615,0.0610168017394645,0.0435970494522282,0.0759752997915074,0.0759752997915074,0.0759752997915074,0.0759752997915074,0.0759752997915074,0.0759752997915074,0.0705132326469609,-0.0349368672132937,-0.0532139842591075,-0.0477879624107615,-0.147787962410762
"ZEB1",-0.215664331722911,-0.207591748247386,-0.199062099247538,-0.194547717585135,-0.194547717585135,-0.194547717585135,-0.194547717585135,-0.194547717585135,-0.194547717585135,-0.167237009847163,0.0499060885397775,0.111798257183342,0.215664331722911,0.215664331722911
"MIR190",-0.142203548085901,-0.0267438309228909,-0.0656245572905956,-0.153920169339307,-0.153920169339307,-0.153920169339307,-0.153920169339307,-0.153920169339307,-0.153920169339307,-0.138021159721282,0.00453378515344425,0.145756904033185,0.142203548085901,0.142203548085901
"SNAIL1",-0.145756904033185,-0.0268237758680215,-0.168789508721816,-0.152853678226733,-0.152853678226733,-0.152853678226733,-0.152853678226733,-0.152853678226733,-0.152853678226733,-0.136604086435351,-0.0940758001793716,0.147338294701992,0.145756904033185,0.145756904033185
"TGFB",-0.153920169339307,-0.0250489156686536,-0.177301839668515,-0.145756904033185,-0.145756904033185,-0.145756904033185,-0.145756904033185,-0.145756904033185,-0.145756904033185,-0.129285827257136,0.0122469109991817,0.152853678226733,0.153920169339307,0.153920169339307
"HA",-0.188605508193499,-0.212315250551534,-0.171369080292383,-0.215664331722911,-0.215664331722911,-0.215664331722911,-0.215664331722911,-0.215664331722911,-0.215664331722911,-0.189529636575273,0.0304084808842751,0.194547717585135,0.188605508193499,0.188605508193499
"HAS2",-0.119958643507031,-0.205384557482227,-0.204189593112896,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.161426056986545,0.0547889764877923,0.215664331722911,0.219958643507031,0.219958643507031
"ESRP1",-0.219958643507031,-0.205384557482227,-0.204189593112896,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.188605508193499,-0.161426056986545,0.0547889764877923,0.215664331722911,0.119958643507031,0.219958643507031
