"","ZEB1","SNAIL1","MIR34","MIR200","HA","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR340","TGFB","CD44s"
"ZEB1",-0.0947962651504942,-0.0475808036431585,-0.0364950014914771,-0.0364950014914771,-0.0066116512103699,-0.0066116512103699,-6.98904176877207e-06,-6.98904176877207e-06,-6.98904176877207e-06,-6.98904176877207e-06,-6.98904176877207e-06,6.98904176877207e-06,0.000330575888727318,0.0066116512103699
"HAS2",-0.0066116512103699,-0.0517196456795772,-0.0323506509522048,-0.0323506509522048,-0.0815384615384615,0.0184615384615385,0.00167047473978167,0.00167047473978167,0.00167047473978167,0.00167047473978167,0.00167047473978167,-0.00167047473978167,0.000570271468228722,-0.0184615384615385
"ESRP1",-0.0066116512103699,-0.0517196456795772,-0.0323506509522048,-0.0323506509522048,0.0184615384615385,0.0184615384615385,0.00167047473978167,0.00167047473978167,0.00167047473978167,0.00167047473978167,0.00167047473978167,-0.00167047473978167,0.000570271468228722,0.0815384615384615
"TGFB",-0.0010058046833629,-0.0036333629272728,0.0499002307518528,0.0499002307518528,-0.00217027046967742,-0.00217027046967742,-0.00252360708134298,-0.00252360708134298,-0.00252360708134298,-0.00252360708134298,-0.00252360708134298,0.00252360708134298,-0.0664489580634507,0.00217027046967742
"MIR340",-6.98904176877207e-06,0.0466836744565556,0.0304466143947029,0.0304466143947029,0.00167047473978167,0.00167047473978167,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,0.0066116512103699,0.000455369557412303,-0.00167047473978167
"HA",-6.98904176877207e-06,0.0466836744565556,0.0304466143947029,0.0304466143947029,0.00167047473978167,0.00167047473978167,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,0.0066116512103699,0.000455369557412303,-0.00167047473978167
"CD24",-6.98904176877207e-06,0.0466836744565556,0.0304466143947029,0.0304466143947029,0.00167047473978167,0.00167047473978167,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,-0.0066116512103699,0.0066116512103699,0.000455369557412303,-0.00167047473978167
"MIR1199",6.98904176877207e-06,-0.0466836744565556,-0.0304466143947029,-0.0304466143947029,-0.00167047473978167,-0.00167047473978167,0.0066116512103699,0.0066116512103699,0.0066116512103699,0.0066116512103699,0.0066116512103699,-0.0066116512103699,-0.000455369557412303,0.00167047473978167
"CD44s",6.98904176877207e-06,-0.0466836744565556,-0.0304466143947029,-0.0304466143947029,-0.00167047473978167,-0.00167047473978167,0.0066116512103699,0.0066116512103699,0.0066116512103699,0.0066116512103699,0.0066116512103699,-0.0066116512103699,-0.000455369557412303,0.00167047473978167
"MIR34",0.0010058046833629,0.0036333629272728,-0.0499002307518528,-0.0499002307518528,0.00217027046967742,0.00217027046967742,0.00252360708134298,0.00252360708134298,0.00252360708134298,0.00252360708134298,0.00252360708134298,-0.00252360708134298,0.0664489580634507,-0.00217027046967742
"MIR190",0.00252360708134298,-0.0022801829543364,0.0515951460060901,0.0515951460060901,-0.00898225957049486,-0.00898225957049486,0.00217027046967742,0.00217027046967742,0.00217027046967742,0.00217027046967742,0.00217027046967742,-0.00217027046967742,0.0320648423611778,0.00898225957049486
"SNAIL1",0.00337359144077109,-0.0958608201784429,-0.0526476170878606,-0.0526476170878606,-0.00252360708134298,-0.00252360708134298,-0.0010058046833629,-0.0010058046833629,-0.0010058046833629,-0.0010058046833629,-0.0010058046833629,0.0010058046833629,0.0672445030117403,0.00252360708134298
"MIR200",0.0153009302521966,0.0318685993222094,-0.135314726919999,-0.135314726919999,0.0176510072746554,0.0176510072746554,-0.0121456662721904,-0.0121456662721904,-0.0121456662721904,-0.0121456662721904,-0.0121456662721904,0.0121456662721904,-0.00902347929141083,-0.0176510072746554
"GRHL2",0.0337650420920267,0.0479773694480183,-0.0361581578816956,-0.0361581578816956,0.0415672643186421,-0.0584327356813579,-0.0399193892102292,-0.0399193892102292,-0.0399193892102292,-0.0399193892102292,-0.0399193892102292,0.0399193892102292,0.00228891852950018,-0.0415672643186421
