"","SNAIL1","MIR200","MIR340","MIR190","HAS2","GRHL2","ESRP1","ZEB1","MIR1199","HA","CD44s","CD24","TGFB","MIR34"
"SNAIL1",0.567677602508586,0.405685499631579,0.1284892154981,0.1284892154981,0.1284892154981,0.1284892154981,0.1284892154981,-0.128588464044818,-0.1284892154981,-0.126857336940226,-0.126857336940226,-0.126857336940226,-0.33605438920627,-0.405685499631579
"MIR190",0.638203467274093,0.386500709838919,0.121347132858593,0.121347132858593,0.121347132858593,0.121347132858593,0.121347132858593,-0.126857336940226,-0.121347132858593,-0.119439775910364,-0.119439775910364,-0.119439775910364,-0.41708646942963,-0.386500709838919
"HAS2",0.295762240498593,0.194747282560823,0.117150824263568,0.117150824263568,0.117150824263568,0.117150824263568,0.117150824263568,-0.119503765440038,-0.117150824263568,-0.205599669148056,-0.105599669148056,-0.105599669148056,-0.15063040562615,-0.194747282560823
"ESRP1",0.295762240498593,0.194747282560823,0.117150824263568,0.117150824263568,0.117150824263568,0.117150824263568,0.117150824263568,-0.119503765440038,-0.117150824263568,-0.105599669148056,-0.205599669148056,-0.105599669148056,-0.15063040562615,-0.194747282560823
"MIR1199",0.303675909563341,0.198631517138127,0.119503765440038,0.119503765440038,0.119503765440038,0.119503765440038,0.119503765440038,-0.116036858641299,-0.119503765440038,-0.117150824263568,-0.117150824263568,-0.117150824263568,-0.163450918446663,-0.198631517138127
"CD24",0.303675909563341,0.198631517138127,0.119503765440038,0.119503765440038,0.119503765440038,0.119503765440038,0.119503765440038,-0.116036858641299,-0.119503765440038,-0.117150824263568,-0.117150824263568,-0.117150824263568,-0.163450918446663,-0.198631517138127
"GRHL2",0.173166134189659,0.0394339236989705,0.0027885750073503,0.0027885750073503,0.0027885750073503,0.0027885750073503,0.0027885750073503,0.000370005259663703,-0.0027885750073503,-0.0040895290403078,-0.0040895290403078,-0.104089529040308,-0.0245696989603839,-0.0394339236989705
"ZEB1",-0.311151986118365,-0.199265157691122,-0.116036858641299,-0.116036858641299,-0.116036858641299,-0.116036858641299,-0.116036858641299,0.0170828490115465,0.116036858641299,0.119503765440038,0.119503765440038,0.119503765440038,0.166733396486422,0.199265157691122
"MIR200",0.126050957967318,0.0248654574579044,-0.0811335846535692,-0.0811335846535692,-0.0811335846535692,-0.0811335846535692,-0.0811335846535692,0.0770411135507888,0.0811335846535692,0.0800653841605536,0.0800653841605536,0.0800653841605536,-0.122465900613748,-0.0248654574579044
"MIR340",-0.303675909563341,-0.198631517138127,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,0.116036858641299,0.119503765440038,0.117150824263568,0.117150824263568,0.117150824263568,0.163450918446663,0.198631517138127
"HA",-0.303675909563341,-0.198631517138127,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,0.116036858641299,0.119503765440038,0.117150824263568,0.117150824263568,0.117150824263568,0.163450918446663,0.198631517138127
"CD44s",-0.303675909563341,-0.198631517138127,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,-0.119503765440038,0.116036858641299,0.119503765440038,0.117150824263568,0.117150824263568,0.117150824263568,0.163450918446663,0.198631517138127
"TGFB",-0.654576944946623,-0.39875625090802,-0.126857336940226,-0.126857336940226,-0.126857336940226,-0.126857336940226,-0.126857336940226,0.1284892154981,0.126857336940226,0.121347132858593,0.121347132858593,0.121347132858593,0.326428295331966,0.39875625090802
"MIR34",-0.654576944946623,-0.39875625090802,-0.126857336940226,-0.126857336940226,-0.126857336940226,-0.126857336940226,-0.126857336940226,0.1284892154981,0.126857336940226,0.121347132858593,0.121347132858593,0.121347132858593,0.326428295331966,0.39875625090802
