"","CD44s","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR34","ZEB1","MIR200","MIR340","MIR190","HA","CD24","SNAIL1"
"ESRP1",0.193920595533499,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0790469237485504,0.0692589282711369,-0.0942506285367991,-0.0692589282711369,-0.0942506285367991,-0.0942506285367991,-0.0939205955334988,-0.0939205955334988,-0.108123261469132
"MIR340",0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0795597442613709,0.0694874126580372,-0.0941155542459391,-0.0694874126580372,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.108842685929563
"HA",0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0795597442613709,0.0694874126580372,-0.0941155542459391,-0.0694874126580372,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.108842685929563
"CD44s",0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0795597442613709,0.0694874126580372,-0.0941155542459391,-0.0694874126580372,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.108842685929563
"CD24",0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0795597442613709,0.0694874126580372,-0.0941155542459391,-0.0694874126580372,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.108842685929563
"TGFB",0.0149951109720303,0.0143828660740712,0.0143828660740712,0.0143828660740712,0.0143828660740712,-0.0592452204703385,-0.0470652183952643,-0.0144208167382078,0.0470652183952643,-0.0143828660740712,-0.0143828660740712,-0.0149951109720303,-0.0149951109720303,-0.0121384409327738
"MIR34",0.0149951109720303,0.0143828660740712,0.0143828660740712,0.0143828660740712,0.0143828660740712,-0.0592452204703385,-0.0470652183952643,-0.0144208167382078,0.0470652183952643,-0.0143828660740712,-0.0143828660740712,-0.0149951109720303,-0.0149951109720303,-0.0121384409327738
"ZEB1",-0.0942506285367991,-0.0941155542459391,-0.0941155542459391,-0.0941155542459391,-0.0941155542459391,-0.079698440516572,-0.0691417905382215,-0.00570181251481134,0.0691417905382215,0.0941155542459391,0.0941155542459391,0.0942506285367991,0.0942506285367991,0.108782877317123
"GRHL2",-0.0022514531376059,-0.00233818340646974,-0.00233818340646974,-0.00233818340646974,-0.00233818340646974,-0.00908886289787034,-0.0150218721037998,0.00243587145596502,0.0150218721037998,0.00233818340646974,0.00233818340646974,0.0022514531376059,-0.0977485468623941,-0.0794040060446617
"SNAIL1",-0.0143828660740712,-0.0144208167382078,-0.0144208167382078,-0.0144208167382078,-0.0144208167382078,0.0595634384496544,0.0469922789350163,0.0143215681914901,-0.0469922789350163,0.0144208167382078,0.0144208167382078,0.0143828660740712,0.0143828660740712,-0.0874063238623703
"MIR190",-0.0125427948957361,-0.0149951109720303,-0.0149951109720303,-0.0149951109720303,-0.0149951109720303,-0.0388439515041838,0.0469348402987845,0.0143828660740712,-0.0469348402987845,0.0149951109720303,0.0149951109720303,0.0125427948957361,0.0125427948957361,0.0122737589300675
"MIR200",-0.0859082561807868,-0.0866477795990284,-0.0866477795990284,-0.0866477795990284,-0.0866477795990284,-0.0887898030580707,0.0093514448501637,0.0863666174621962,-0.0093514448501637,0.0866477795990284,0.0866477795990284,0.0859082561807868,0.0859082561807868,0.1100975710276
"MIR1199",-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0795597442613709,-0.0694874126580372,0.0941155542459391,0.0694874126580372,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.0942506285367991,0.108842685929563
"HAS2",-0.0939205955334988,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0942506285367991,-0.0790469237485504,-0.0692589282711369,0.0942506285367991,0.0692589282711369,0.0942506285367991,0.0942506285367991,-0.00607940446650124,0.0939205955334988,0.108123261469132
