"","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","HA","CD44s","CD24","TGFB","MIR200","SNAIL1"
"MIR200",0.0362986784846651,0.112288834343839,0.112288834343839,0.112288834343839,0.112288834343839,0.112288834343839,0.112288834343839,-0.112320074581264,-0.112371003612532,-0.112371003612532,-0.112371003612532,0.0739613535955811,-0.0362986784846651,-0.00303283277716518
"SNAIL1",-0.0210718177655678,0.11052471824236,0.11052471824236,0.11052471824236,0.11052471824236,0.11052471824236,0.11052471824236,-0.110538896606177,-0.110562668906497,-0.110562668906497,-0.110562668906497,0.0111919497996255,0.0210718177655678,-0.0557143084474912
"TGFB",-0.0209988783053198,0.110562668906497,0.110562668906497,0.110562668906497,0.110562668906497,0.110562668906497,0.110562668906497,-0.11052471824236,-0.11076675053915,-0.11076675053915,-0.11076675053915,0.0109532863151386,0.0209988783053198,0.0441339464842235
"MIR340",0.125618233945945,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,-0.0858633296152977,-0.0854929612067906,-0.0854929612067906,-0.0854929612067906,-0.109361472753756,-0.125618233945945,-0.135585040144373
"MIR1199",0.125618233945945,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,-0.0858633296152977,-0.0854929612067906,-0.0854929612067906,-0.0854929612067906,-0.109361472753756,-0.125618233945945,-0.135585040144373
"CD24",0.125618233945945,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.0857282553244377,-0.0858633296152977,-0.0854929612067906,-0.0854929612067906,-0.0854929612067906,-0.109361472753756,-0.125618233945945,-0.135585040144373
"HAS2",0.125846718332845,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,-0.0857282553244377,-0.185822994210091,-0.085822994210091,-0.085822994210091,-0.109617883010166,-0.125846718332845,-0.13582484829785
"ESRP1",0.125846718332845,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.0854929612067906,-0.0857282553244377,-0.085822994210091,-0.185822994210091,-0.085822994210091,-0.109617883010166,-0.125846718332845,-0.13582484829785
"ZEB1",-0.125618233945945,-0.0858633296152977,-0.0858633296152977,-0.0858633296152977,-0.0858633296152977,-0.0858633296152977,-0.0858633296152977,-0.0140204492324526,0.0857282553244377,0.0857282553244377,0.0857282553244377,0.109315240668689,0.125618233945945,0.135525231531933
"HA",-0.125618233945945,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,0.0858633296152977,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.109361472753756,0.125618233945945,0.135585040144373
"CD44s",-0.125618233945945,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,-0.0857282553244377,0.0858633296152977,0.0854929612067906,0.0854929612067906,0.0854929612067906,0.109361472753756,0.125618233945945,0.135585040144373
"MIR34",0.0209988783053198,-0.110562668906497,-0.110562668906497,-0.110562668906497,-0.110562668906497,-0.110562668906497,-0.110562668906497,0.11052471824236,0.11076675053915,0.11076675053915,0.11076675053915,-0.0109532863151386,-0.0209988783053198,-0.0441339464842235
"MIR190",0.0207381221123602,-0.11076675053915,-0.11076675053915,-0.11076675053915,-0.11076675053915,-0.11076675053915,-0.11076675053915,0.110562668906497,0.111584189231248,0.111584189231248,0.111584189231248,-0.110528657865032,-0.0207381221123602,-0.0439986284869299
"GRHL2",-0.229983544565641,-0.18412558426286,-0.18412558426286,-0.18412558426286,-0.18412558426286,-0.18412558426286,-0.18412558426286,0.184288397678686,0.184038853993997,0.184038853993997,0.0840388539939966,0.210839852171767,0.229983544565641,0.161673987204975
