"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","MIR200","HA","CD44s","CD24","MIR34","SNAIL1"
"MIR34",0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.154692608349866,-0.450725625966695,-0.423350035838754,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.0747101023164678,0.213814510861005
"MIR190",0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.0604250924262989,-0.446361299590984,-0.429217050180344,-0.427015250544662,-0.427015250544662,-0.427015250544662,-0.0688430879748772,0.227075674595782
"SNAIL1",0.450725625966695,0.450725625966695,0.450725625966695,0.450725625966695,0.450725625966695,0.450725625966695,0.151112656082563,-0.445663950084092,-0.421380670412058,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.0822714930288432,0.107947034887307
"GRHL2",0.374141972737883,0.374141972737883,0.374141972737883,0.374141972737883,0.374141972737883,0.374141972737883,-0.0484711905341401,-0.361084336788681,-0.244333839452598,-0.368157584186278,-0.368157584186278,-0.468157584186278,-0.416708276139736,-0.297615366462018
"MIR340",0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,-0.0442754974781644,-0.166830684011509,-0.106538635154145,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.266613405983303,-0.272044582040695
"MIR1199",0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,-0.0442754974781644,-0.166830684011509,-0.106538635154145,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.266613405983303,-0.272044582040695
"HA",0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,-0.0442754974781644,-0.166830684011509,-0.106538635154145,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.266613405983303,-0.272044582040695
"CD44s",0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,0.193260220256444,-0.0442754974781644,-0.166830684011509,-0.106538635154145,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.266613405983303,-0.272044582040695
"MIR200",-0.0574114408523557,-0.0574114408523557,-0.0574114408523557,-0.0574114408523557,-0.0574114408523557,-0.0574114408523557,0.0493084005582136,0.0390734214834085,-0.09538882921493,0.0479619749526022,0.0479619749526022,0.0479619749526022,0.267764240702769,0.327793534809053
"ZEB1",-0.166830684011509,-0.166830684011509,-0.166830684011509,-0.166830684011509,-0.166830684011509,-0.166830684011509,0.0474655113477899,0.0811258857382235,0.0916192803154352,0.193260220256444,0.193260220256444,0.193260220256444,0.247719396766713,0.277546974385192
"CD24",-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.193260220256444,0.0442754974781644,0.166830684011509,0.106538635154145,0.171377867315268,0.171377867315268,0.171377867315268,0.266613405983303,0.272044582040695
"HAS2",-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,0.0440190872217541,0.193260220256444,0.097627744065036,0.109991728701406,0.209991728701406,0.209991728701406,0.247192233096784,0.277560169570671
"ESRP1",-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.171377867315268,0.0440190872217541,0.193260220256444,0.097627744065036,0.209991728701406,0.109991728701406,0.209991728701406,0.247192233096784,0.277560169570671
"TGFB",-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.154692608349866,0.450725625966695,0.423350035838754,0.446361299590984,0.446361299590984,0.446361299590984,0.0747101023164678,-0.213814510861005
