"","MIR34","HA","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","TGFB","CD44s","CD24","SNAIL1"
"MIR1199",0.15631804132469,0.097029539182206,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.0742208515225295,-0.0983440503986692,-0.0832041505244645,-0.097029539182206,-0.097029539182206,-0.156686377164108
"CD44s",0.15631804132469,0.097029539182206,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.0742208515225295,-0.0983440503986692,-0.0832041505244645,-0.097029539182206,-0.097029539182206,-0.156686377164108
"CD24",0.15631804132469,0.097029539182206,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.102441303888088,0.0742208515225295,-0.0983440503986692,-0.0832041505244645,-0.097029539182206,-0.097029539182206,-0.156686377164108
"MIR200",0.244483727695209,0.0917893363545851,0.104854250076853,0.104854250076853,0.104854250076853,0.104854250076853,0.104854250076853,0.104854250076853,-0.0115154348419108,-0.0947011729134666,-0.0843563316248061,-0.0917893363545851,-0.0917893363545851,-0.162010321545827
"MIR34",0.0997811036779487,0.0438309625999961,0.0199534115795879,0.0199534115795879,0.0199534115795879,0.0199534115795879,0.0199534115795879,0.0199534115795879,-0.0773253711919497,-0.0380558783727568,0.0576255516957821,-0.0438309625999961,-0.0438309625999961,-0.065782431177914
"MIR190",0.11151513236113,0.0130407718643013,0.0438309625999961,0.0438309625999961,0.0438309625999961,0.0438309625999961,0.0438309625999961,0.0438309625999961,-0.0585509252988598,-0.0199534115795879,-0.0149859132723708,-0.0130407718643013,-0.0130407718643013,-0.072548331042596
"GRHL2",0.036412981239218,0.00624766374143758,0.0127524339062251,0.0127524339062251,0.0127524339062251,0.0127524339062251,0.0127524339062251,0.0127524339062251,-0.004534871513804,-0.00829134631260737,0.00115298328313911,-0.00624766374143758,-0.106247663741438,-0.10188484289332
"ZEB1",-0.153437856992892,-0.102441303888088,-0.0983440503986692,-0.0983440503986692,-0.0983440503986692,-0.0983440503986692,-0.0983440503986692,-0.0983440503986692,-0.0718591003704558,0.00118316711791213,0.0875037344356989,0.102441303888088,0.102441303888088,0.156686377164108
"SNAIL1",-0.10894716251578,-0.0199534115795879,-0.0380558783727568,-0.0380558783727568,-0.0380558783727568,-0.0380558783727568,-0.0380558783727568,-0.0380558783727568,0.0632966816709188,0.0244304707447971,-0.07838927484614,0.0199534115795879,0.0199534115795879,-0.029715798462956
"TGFB",-0.0997811036779487,-0.0438309625999961,-0.0199534115795879,-0.0199534115795879,-0.0199534115795879,-0.0199534115795879,-0.0199534115795879,-0.0199534115795879,0.0773253711919497,0.0380558783727568,-0.0576255516957821,0.0438309625999961,0.0438309625999961,0.065782431177914
"MIR340",-0.15631804132469,-0.097029539182206,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.0742208515225295,0.0983440503986692,0.0832041505244645,0.097029539182206,0.097029539182206,0.156686377164108
"HA",-0.15631804132469,-0.097029539182206,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.102441303888088,-0.0742208515225295,0.0983440503986692,0.0832041505244645,0.097029539182206,0.097029539182206,0.156686377164108
"HAS2",-0.152890775521186,-0.00660049627791563,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.0706412627944259,0.102441303888088,0.0901272274475414,0.106600496277916,0.106600496277916,0.15740580162454
"ESRP1",-0.152890775521186,-0.106600496277916,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.0706412627944259,0.102441303888088,0.0901272274475414,0.00660049627791563,0.106600496277916,0.15740580162454
