"","MIR34","TGFB","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","ZEB1","HA","CD24","SNAIL1","MIR200"
"MIR340",0.1716858497573,0.162193684675243,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,-0.151779780503236,-0.151284508103416,-0.151284508103416,-0.154648286180129,-0.1716858497573
"MIR1199",0.1716858497573,0.162193684675243,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,-0.151779780503236,-0.151284508103416,-0.151284508103416,-0.154648286180129,-0.1716858497573
"CD44s",0.1716858497573,0.162193684675243,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,-0.151779780503236,-0.151284508103416,-0.151284508103416,-0.154648286180129,-0.1716858497573
"CD24",0.1716858497573,0.162193684675243,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,-0.151779780503236,-0.151284508103416,-0.151284508103416,-0.154648286180129,-0.1716858497573
"HAS2",0.171152719521199,0.162706505188064,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.152274607113317,-0.151284508103416,-0.252274607113317,-0.152274607113317,-0.154248605924334,-0.171152719521199
"ESRP1",0.171152719521199,0.162706505188064,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.252274607113317,-0.151284508103416,-0.152274607113317,-0.152274607113317,-0.154248605924334,-0.171152719521199
"MIR200",0.0422859590518432,-0.0614821776995164,0.13913527849219,0.13913527849219,0.13913527849219,0.13913527849219,0.13913527849219,0.13913527849219,0.139710463373044,-0.139978764902687,-0.139710463373044,-0.139710463373044,0.0035785011263238,-0.0422859590518432
"TGFB",0.117714097952754,0.124006416013571,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0348734322672454,-0.0341895458094364,-0.0348734322672454,-0.0348734322672454,-0.0959939278475224,-0.117714097952754
"MIR34",0.117714097952754,0.124006416013571,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0332407792060209,0.0348734322672454,-0.0341895458094364,-0.0348734322672454,-0.0348734322672454,-0.0959939278475224,-0.117714097952754
"MIR190",0.117714097952754,0.223581787563465,0.0348734322672454,0.0348734322672454,0.0348734322672454,0.0348734322672454,0.0348734322672454,0.0348734322672454,0.0329660753190165,-0.0332407792060209,-0.0329660753190165,-0.0329660753190165,-0.0969411538285778,-0.117714097952754
"SNAIL1",-0.11798154264033,-0.123369980054939,-0.0341895458094364,-0.0341895458094364,-0.0341895458094364,-0.0341895458094364,-0.0341895458094364,-0.0341895458094364,-0.0332407792060209,0.0338634434416497,0.0332407792060209,0.0332407792060209,-0.00355083694762178,0.11798154264033
"ZEB1",-0.172146679250387,-0.162517309270712,-0.151779780503236,-0.151779780503236,-0.151779780503236,-0.151779780503236,-0.151779780503236,-0.151779780503236,-0.151284508103416,0.0516967653944859,0.151284508103416,0.151284508103416,0.154588477567689,0.172146679250387
"HA",-0.1716858497573,-0.162193684675243,-0.151284508103416,-0.151284508103416,-0.151284508103416,-0.151284508103416,-0.151284508103416,-0.151284508103416,-0.151284508103416,0.151779780503236,0.151284508103416,0.151284508103416,0.154648286180129,0.1716858497573
"GRHL2",-0.270440275190023,-0.25537591323044,-0.235148288047493,-0.235148288047493,-0.235148288047493,-0.235148288047493,-0.235148288047493,-0.235148288047493,-0.235408478854085,0.235506477562309,0.235408478854085,0.135408478854085,0.180716847840059,0.270440275190023
