"","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","CD24","MIR34","SNAIL1","TGFB","ZEB1","MIR200","HA","GRHL2"
"MIR340",0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.2667585517857,0.2667585517857,0.244039961179223,0.120117171219562,0.00894742554379399,-0.279198629122352,-0.244039961179223,-0.2667585517857,-0.278523257668053
"MIR1199",0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.2667585517857,0.2667585517857,0.244039961179223,0.120117171219562,0.00894742554379399,-0.279198629122352,-0.244039961179223,-0.2667585517857,-0.278523257668053
"CD44s",0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.2667585517857,0.2667585517857,0.244039961179223,0.120117171219562,0.00894742554379399,-0.279198629122352,-0.244039961179223,-0.2667585517857,-0.278523257668053
"CD24",0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.278523257668053,0.2667585517857,0.2667585517857,0.244039961179223,0.120117171219562,0.00894742554379399,-0.279198629122352,-0.244039961179223,-0.2667585517857,-0.278523257668053
"HAS2",0.2667585517857,0.2667585517857,0.2667585517857,0.2667585517857,0.2667585517857,0.263788254755997,0.263788254755997,0.231625642824311,0.127071607670401,0.0112551178514863,-0.278523257668053,-0.231625642824311,-0.363788254755997,-0.2667585517857
"ESRP1",0.2667585517857,0.2667585517857,0.2667585517857,0.2667585517857,0.2667585517857,0.363788254755997,0.263788254755997,0.231625642824311,0.127071607670401,0.0112551178514863,-0.278523257668053,-0.231625642824311,-0.263788254755997,-0.2667585517857
"GRHL2",0.081766376824858,0.081766376824858,0.081766376824858,0.081766376824858,0.081766376824858,0.0738739223582491,-0.0261260776417509,0.0772363272230675,0.0823339722779732,0.00582809037279357,-0.0789985487558251,-0.0772363272230675,-0.0738739223582491,-0.081766376824858
"TGFB",0.0465593067381358,0.0465593067381358,0.0465593067381358,0.0465593067381358,0.0465593067381358,0.0618654291871154,0.0618654291871154,-0.0542707828422422,-0.0279057791000799,-0.0805537771984576,-0.0600317925066367,0.0542707828422422,-0.0618654291871154,-0.0465593067381358
"MIR190",-0.0618654291871154,-0.0618654291871154,-0.0618654291871154,-0.0618654291871154,-0.0618654291871154,-0.0397945845004669,-0.0397945845004669,0.0317153721512383,0.0561872405344507,-0.00925513999899462,0.0465593067381358,-0.0317153721512383,0.0397945845004669,0.0618654291871154
"SNAIL1",-0.0600317925066367,-0.0600317925066367,-0.0600317925066367,-0.0600317925066367,-0.0600317925066367,-0.0465593067381358,-0.0465593067381358,0.0354767152516757,-0.0503440944456965,0.0883501176916955,0.0505181103855535,-0.0354767152516757,0.0465593067381358,0.0600317925066367
"MIR34",-0.0465593067381358,-0.0465593067381358,-0.0465593067381358,-0.0465593067381358,-0.0465593067381358,-0.0618654291871154,-0.0618654291871154,0.0542707828422422,0.0279057791000799,0.0805537771984576,0.0600317925066367,-0.0542707828422422,0.0618654291871154,0.0465593067381358
"ZEB1",-0.279198629122352,-0.279198629122352,-0.279198629122352,-0.279198629122352,-0.279198629122352,-0.278523257668053,-0.278523257668053,-0.241966228460329,-0.128131525286547,-0.0118600469030173,0.185457968322087,0.241966228460329,0.278523257668053,0.279198629122352
"MIR200",-0.23058505413902,-0.23058505413902,-0.23058505413902,-0.23058505413902,-0.23058505413902,-0.215712416505495,-0.215712416505495,-0.111891315139834,0.00675705339742976,-0.00589109536709874,0.226367622086536,0.111891315139834,0.215712416505495,0.23058505413902
"HA",-0.278523257668053,-0.278523257668053,-0.278523257668053,-0.278523257668053,-0.278523257668053,-0.2667585517857,-0.2667585517857,-0.244039961179223,-0.120117171219562,-0.00894742554379399,0.279198629122352,0.244039961179223,0.2667585517857,0.278523257668053
