"","ZEB1","MIR200","GRHL2","ESRP1","HA","CD24","CD44s","MIR340","MIR190","MIR1199","HAS2","MIR34","TGFB","SNAIL1"
"SNAIL1",-0.170715586514144,-0.0446447635435739,-0.169198501585745,-0.169198501585745,-0.16475827388176,-0.16475827388176,0.16475827388176,0.169198501585745,0.169198501585745,0.169198501585745,0.169198501585745,0.206021586937918,0.0108878300895799,0.0384708578083479
"TGFB",-0.169198501585745,-0.0460792395951178,-0.16475827388176,-0.16475827388176,-0.159656233065433,-0.159656233065433,0.159656233065433,0.16475827388176,0.16475827388176,0.16475827388176,0.16475827388176,0.201766785090118,0.0127971379654749,0.139128419770917
"GRHL2",-0.125941100416489,0.199562238394304,-0.12467115577305,-0.12467115577305,-0.117472543457352,-0.0174725434573518,0.117472543457352,0.12467115577305,0.12467115577305,0.12467115577305,0.12467115577305,0.0983045493287534,-0.16374950773652,-0.20023489935507
"ZEB1",-0.108174280159538,-0.0903898979763859,-0.00576684200579378,-0.00576684200579378,-0.0051815200787339,-0.0051815200787339,0.0051815200787339,0.00576684200579378,0.00576684200579378,0.00576684200579378,0.00576684200579378,0.0139769469575771,0.0532238571488766,0.179809359714374
"CD44s",-0.00576684200579378,-0.0890650131837591,-0.0051815200787339,-0.0051815200787339,-0.0112991671375574,-0.0112991671375574,0.0112991671375574,0.0051815200787339,0.0051815200787339,0.0051815200787339,0.0051815200787339,0.0119032142386831,0.048739344897374,0.175084479331599
"HAS2",-0.0051815200787339,-0.0856377473802557,-0.0112991671375574,-0.0112991671375574,-0.121530190239868,-0.0215301902398677,0.0215301902398677,0.0112991671375574,0.0112991671375574,0.0112991671375574,0.0112991671375574,0.0163967405143876,0.0436111397691689,0.170368252313214
"ESRP1",0.0051815200787339,0.0856377473802557,0.0112991671375574,0.0112991671375574,0.0215301902398677,0.0215301902398677,-0.121530190239868,-0.0112991671375574,-0.0112991671375574,-0.0112991671375574,-0.0112991671375574,-0.0163967405143876,-0.0436111397691689,-0.170368252313214
"MIR340",0.00576684200579378,0.0890650131837591,0.0051815200787339,0.0051815200787339,0.0112991671375574,0.0112991671375574,-0.0112991671375574,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0119032142386831,-0.048739344897374,-0.175084479331599
"MIR1199",0.00576684200579378,0.0890650131837591,0.0051815200787339,0.0051815200787339,0.0112991671375574,0.0112991671375574,-0.0112991671375574,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0119032142386831,-0.048739344897374,-0.175084479331599
"HA",0.00576684200579378,0.0890650131837591,0.0051815200787339,0.0051815200787339,0.0112991671375574,0.0112991671375574,-0.0112991671375574,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0119032142386831,-0.048739344897374,-0.175084479331599
"CD24",0.00576684200579378,0.0890650131837591,0.0051815200787339,0.0051815200787339,0.0112991671375574,0.0112991671375574,-0.0112991671375574,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0051815200787339,-0.0119032142386831,-0.048739344897374,-0.175084479331599
"MIR200",0.0706441956476711,-0.0131496319515513,0.0694883068629164,0.0694883068629164,0.0651333356221604,0.0651333356221604,-0.0651333356221604,-0.0694883068629164,-0.0694883068629164,-0.0694883068629164,-0.0694883068629164,-0.157187503905636,-0.104767570378792,-0.0355958734395345
"MIR190",0.16475827388176,0.045948861498638,0.159656233065433,0.159656233065433,0.159383753501401,0.159383753501401,-0.159383753501401,-0.159656233065433,-0.159656233065433,-0.159656233065433,-0.159656233065433,-0.195117502169649,-0.110886309939997,-0.135204197849402
"MIR34",0.169198501585745,0.0460792395951178,0.16475827388176,0.16475827388176,0.159656233065433,0.159656233065433,-0.159656233065433,-0.16475827388176,-0.16475827388176,-0.16475827388176,-0.16475827388176,-0.201766785090118,-0.0127971379654749,-0.139128419770917
