"","MIR34","HA","CD44s","MIR340","MIR190","MIR1199","GRHL2","TGFB","MIR200","SNAIL1","ZEB1","HAS2","ESRP1","CD24"
"GRHL2",0.499015359319283,0.493621264289582,0.493621264289582,0.515217101236677,0.515217101236677,0.515217101236677,0.515217101236677,0.401356209868351,0.346834405853508,-0.273834930154656,-0.52169707518653,-0.515217101236677,-0.515217101236677,-0.593621264289582
"HAS2",0.334189685022093,0.229048800661704,0.329048800661704,0.326078503632001,0.326078503632001,0.326078503632001,0.326078503632001,0.25747225422372,0.20159703904432,-0.245315941227165,-0.356431444808471,-0.326078503632001,-0.326078503632001,-0.329048800661704
"ESRP1",0.334189685022093,0.329048800661704,0.229048800661704,0.326078503632001,0.326078503632001,0.326078503632001,0.326078503632001,0.25747225422372,0.20159703904432,-0.245315941227165,-0.356431444808471,-0.326078503632001,-0.326078503632001,-0.329048800661704
"MIR340",0.358180545646617,0.326078503632001,0.326078503632001,0.356431444808471,0.356431444808471,0.356431444808471,0.356431444808471,0.253113279864746,0.216905492966635,-0.250351912450186,-0.353774983754892,-0.356431444808471,-0.356431444808471,-0.326078503632001
"MIR1199",0.358180545646617,0.326078503632001,0.326078503632001,0.356431444808471,0.356431444808471,0.356431444808471,0.356431444808471,0.253113279864746,0.216905492966635,-0.250351912450186,-0.353774983754892,-0.356431444808471,-0.356431444808471,-0.326078503632001
"MIR200",0.39447125896803,0.264758502038963,0.264758502038963,0.301981180757123,0.301981180757123,0.301981180757123,0.301981180757123,0.209417706763424,0.0947256811369484,-0.227593384587994,-0.288141755577492,-0.301981180757123,-0.301981180757123,-0.264758502038963
"TGFB",0.125301772730979,0.0947892884068553,0.0947892884068553,0.0556056149374676,0.0556056149374676,0.0556056149374676,0.0556056149374676,-0.0216808525058979,-0.0598738620154975,-0.0806985072140274,-0.09063407793557,-0.0556056149374676,-0.0556056149374676,-0.0947892884068553
"MIR34",0.125301772730979,0.0947892884068553,0.0947892884068553,0.0556056149374676,0.0556056149374676,0.0556056149374676,0.0556056149374676,-0.0216808525058979,-0.0598738620154975,-0.0806985072140274,-0.09063407793557,-0.0556056149374676,-0.0556056149374676,-0.0947892884068553
"MIR190",0.147335671036064,0.0416557734204793,0.0416557734204793,0.0947892884068553,0.0947892884068553,0.0947892884068553,0.0947892884068553,0.034794731358221,-0.0318425712723424,-0.0835401851571938,-0.0556056149374676,-0.0947892884068553,-0.0947892884068553,-0.0416557734204793
"SNAIL1",-0.146721660890473,-0.0556056149374676,-0.0556056149374676,-0.09063407793557,-0.09063407793557,-0.09063407793557,-0.09063407793557,0.0540595319012837,0.0364116689690594,-0.0164183364885523,0.0648436341527826,0.09063407793557,0.09063407793557,0.0556056149374676
"ZEB1",-0.358295753019889,-0.356431444808471,-0.356431444808471,-0.353774983754892,-0.353774983754892,-0.353774983754892,-0.353774983754892,-0.274333806910516,-0.213391668081843,0.256871051206167,0.271158347527099,0.353774983754892,0.353774983754892,0.356431444808471
"HA",-0.358180545646617,-0.326078503632001,-0.326078503632001,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.253113279864746,-0.216905492966635,0.250351912450186,0.353774983754892,0.356431444808471,0.356431444808471,0.326078503632001
"CD44s",-0.358180545646617,-0.326078503632001,-0.326078503632001,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.253113279864746,-0.216905492966635,0.250351912450186,0.353774983754892,0.356431444808471,0.356431444808471,0.326078503632001
"CD24",-0.358180545646617,-0.326078503632001,-0.326078503632001,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.356431444808471,-0.253113279864746,-0.216905492966635,0.250351912450186,0.353774983754892,0.356431444808471,0.356431444808471,0.326078503632001
