"","MIR190","MIR1199","GRHL2","CD44s","CD24","TGFB","MIR34","MIR200","SNAIL1","ZEB1","HA","MIR340","HAS2","ESRP1"
"MIR34",0.417398453174791,0.417398453174791,0.417398453174791,0.406786208276832,0.406786208276832,0.487617847842646,0.482994494394885,0.482994494394885,-0.426987961166839,-0.423888016742153,-0.406786208276832,-0.417398453174791,-0.417398453174791,-0.417398453174791
"GRHL2",0.363952641684498,0.363952641684498,0.363952641684498,0.36039670066108,0.460396700661081,0.344921045746412,0.337223412749777,0.337223412749777,-0.104212613148127,-0.365873839991238,-0.36039670066108,-0.363952641684498,-0.363952641684498,-0.363952641684498
"MIR340",0.254447324545621,0.254447324545621,0.254447324545621,0.251623795133856,0.251623795133856,0.226024887465686,0.213705581251982,0.213705581251982,-0.0805027020739429,-0.25602319127232,-0.251623795133856,-0.254447324545621,-0.254447324545621,-0.254447324545621
"MIR1199",0.254447324545621,0.254447324545621,0.254447324545621,0.251623795133856,0.251623795133856,0.226024887465686,0.213705581251982,0.213705581251982,-0.0805027020739429,-0.25602319127232,-0.251623795133856,-0.254447324545621,-0.254447324545621,-0.254447324545621
"HA",0.254447324545621,0.254447324545621,0.254447324545621,0.251623795133856,0.251623795133856,0.226024887465686,0.213705581251982,0.213705581251982,-0.0805027020739429,-0.25602319127232,-0.251623795133856,-0.254447324545621,-0.254447324545621,-0.254447324545621
"CD44s",0.254447324545621,0.254447324545621,0.254447324545621,0.251623795133856,0.251623795133856,0.226024887465686,0.213705581251982,0.213705581251982,-0.0805027020739429,-0.25602319127232,-0.251623795133856,-0.254447324545621,-0.254447324545621,-0.254447324545621
"CD24",0.254447324545621,0.254447324545621,0.254447324545621,0.251623795133856,0.251623795133856,0.226024887465686,0.213705581251982,0.213705581251982,-0.0805027020739429,-0.25602319127232,-0.251623795133856,-0.254447324545621,-0.254447324545621,-0.254447324545621
"HAS2",0.251623795133856,0.251623795133856,0.251623795133856,0.24601323407775,0.24601323407775,0.222178733619532,0.21225851346828,0.21225851346828,-0.0815418707390108,-0.254447324545621,-0.14601323407775,-0.251623795133856,-0.251623795133856,-0.251623795133856
"MIR200",0.0987404292759466,0.0987404292759466,0.0987404292759466,0.101780692217606,0.101780692217606,0.077187146228643,-0.039733434232006,-0.039733434232006,0.197073182966339,-0.0965848528935661,-0.101780692217606,-0.0987404292759466,-0.0987404292759466,-0.0987404292759466
"ZEB1",-0.25602319127232,-0.25602319127232,-0.25602319127232,-0.254447324545621,-0.254447324545621,-0.228012867123568,-0.214339221804977,-0.214339221804977,0.0797849987246606,0.156803533294568,0.254447324545621,0.25602319127232,0.25602319127232,0.25602319127232
"ESRP1",-0.251623795133856,-0.251623795133856,-0.251623795133856,-0.34601323407775,-0.24601323407775,-0.222178733619532,-0.21225851346828,-0.21225851346828,0.0815418707390108,0.254447324545621,0.24601323407775,0.251623795133856,0.251623795133856,0.251623795133856
"MIR190",-0.406786208276832,-0.406786208276832,-0.406786208276832,-0.390164954870837,-0.390164954870837,-0.373817423214196,-0.475823699088497,-0.475823699088497,0.427123279164133,0.417398453174791,0.390164954870837,0.406786208276832,0.406786208276832,0.406786208276832
"TGFB",-0.417398453174791,-0.417398453174791,-0.417398453174791,-0.406786208276832,-0.406786208276832,-0.487617847842646,-0.482994494394885,-0.482994494394885,0.426987961166839,0.423888016742153,0.406786208276832,0.417398453174791,0.417398453174791,0.417398453174791
"SNAIL1",-0.423888016742153,-0.423888016742153,-0.423888016742153,-0.417398453174791,-0.417398453174791,-0.496130178789344,-0.487103417322189,-0.487103417322189,0.326431562583126,0.427758710064144,0.417398453174791,0.423888016742153,0.423888016742153,0.423888016742153
