"","MIR200","SNAIL1","TGFB","MIR1199","HAS2","ESRP1","MIR34","ZEB1","HA","CD44s","CD24","MIR340","MIR190","GRHL2"
"GRHL2",0.231063483499965,0.142180283316817,0.216535190581486,0.195624215400169,0.195624215400169,0.195624215400169,0.163264601459432,-0.195787028815994,-0.196231327282216,-0.196231327282216,-0.0962313272822156,-0.195624215400169,-0.195624215400169,-0.195624215400169
"MIR1199",0.126418721356469,0.115887570614651,0.113725624301092,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0670023192266904,-0.0949928558028836,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637
"HA",0.126418721356469,0.115887570614651,0.113725624301092,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0670023192266904,-0.0949928558028836,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637
"CD24",0.126418721356469,0.115887570614651,0.113725624301092,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0670023192266904,-0.0949928558028836,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637
"ESRP1",0.126342559894169,0.115168146154219,0.115007675583144,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0679924182365914,-0.0944975834030637,-0.0955334987593052,-0.195533498759305,-0.0955334987593052,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049
"SNAIL1",0.0733934348102235,-0.0706292558748654,0.0870235865888373,0.0176925539584834,0.0176925539584834,0.0176925539584834,-0.0530714854205731,-0.0183589370578737,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.0176925539584834,-0.0176925539584834,-0.0176925539584834
"TGFB",0.0719589587586796,0.030837613118559,0.0892511124440482,0.017426899309527,0.017426899309527,0.017426899309527,-0.0519773935168532,-0.0176925539584834,-0.0198758789013638,-0.0198758789013638,-0.0198758789013638,-0.017426899309527,-0.017426899309527,-0.017426899309527
"MIR34",0.0719589587586796,0.030837613118559,0.0892511124440482,0.017426899309527,0.017426899309527,0.017426899309527,-0.0519773935168532,-0.0176925539584834,-0.0198758789013638,-0.0198758789013638,-0.0198758789013638,-0.017426899309527,-0.017426899309527,-0.017426899309527
"ZEB1",-0.126994758222829,-0.114930632815608,-0.113494463875757,-0.0949928558028836,-0.0949928558028836,-0.0949928558028836,-0.0670599229133263,-0.00495733513186652,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0949928558028836,0.0949928558028836,0.0949928558028836
"MIR190",-0.0740450083023563,-0.0273193451889243,-0.188189541318783,-0.0198758789013638,-0.0198758789013638,-0.0198758789013638,0.0509343687450148,0.017426899309527,0.0163336445689387,0.0163336445689387,0.0163336445689387,0.0198758789013638,0.0198758789013638,0.0198758789013638
"HAS2",-0.126342559894169,-0.115168146154219,-0.115007675583144,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0679924182365914,0.0944975834030637,-0.00446650124069479,0.0955334987593052,0.0955334987593052,0.0952034657560049,0.0952034657560049,0.0952034657560049
"MIR340",-0.126418721356469,-0.115887570614651,-0.113725624301092,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0670023192266904,0.0949928558028836,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0944975834030637,0.0944975834030637,0.0944975834030637
"CD44s",-0.126418721356469,-0.115887570614651,-0.113725624301092,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0670023192266904,0.0949928558028836,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0944975834030637,0.0944975834030637,0.0944975834030637
"MIR200",-0.028994677316067,0.0024999125241658,0.0811766058156719,-0.103982719838182,-0.103982719838182,-0.103982719838182,-0.167169677148981,0.105076128148086,0.105543935943359,0.105543935943359,0.105543935943359,0.103982719838182,0.103982719838182,0.103982719838182
