"","MIR200","MIR34","HA","CD24","MIR340","MIR190","MIR1199","GRHL2","ESRP1","ZEB1","TGFB","SNAIL1","HAS2","CD44s"
"TGFB",0.109683830712419,-0.00496227319343181,0.106324087006889,0.106324087006889,0.104283270680358,0.104283270680358,0.104283270680358,0.104283270680358,0.104283270680358,-0.10561154392514,-0.0717071683826946,-0.0183646368569096,-0.104283270680358,-0.106324087006889
"MIR34",0.109683830712419,-0.00496227319343181,0.106324087006889,0.106324087006889,0.104283270680358,0.104283270680358,0.104283270680358,0.104283270680358,0.104283270680358,-0.10561154392514,-0.0717071683826946,-0.0183646368569096,-0.104283270680358,-0.106324087006889
"MIR190",0.111639502159616,-0.00431038271103285,0.103871770930594,0.103871770930594,0.106324087006889,0.106324087006889,0.106324087006889,0.106324087006889,0.106324087006889,-0.104283270680358,0.0289297742924647,-0.0172820928785605,-0.106324087006889,-0.103871770930594
"HAS2",0.119501547903324,0.104869064835769,0.00660049627791563,0.106600496277916,0.0976896051888067,0.0976896051888067,0.0976896051888067,0.0976896051888067,0.0976896051888067,-0.102866075777042,-0.00451610391793861,-0.0830327366914095,-0.0976896051888067,-0.106600496277916
"MIR1199",0.124604365877429,0.10646845554407,0.0976896051888067,0.0976896051888067,0.102866075777042,0.102866075777042,0.102866075777042,0.102866075777042,0.102866075777042,-0.0992190699238227,-0.00272123212306681,-0.0795954864915694,-0.102866075777042,-0.0976896051888067
"CD44s",0.124604365877429,0.10646845554407,0.0976896051888067,0.0976896051888067,0.102866075777042,0.102866075777042,0.102866075777042,0.102866075777042,0.102866075777042,-0.0992190699238227,-0.00272123212306681,-0.0795954864915694,-0.102866075777042,-0.0976896051888067
"MIR200",0.0179945933280627,0.178794768456384,0.0860737231205869,0.0860737231205869,0.0889496475248597,0.0889496475248597,0.0889496475248597,0.0889496475248597,0.0889496475248597,-0.0870439930418856,-0.0102160062606212,0.0195344705912465,-0.0889496475248597,-0.0860737231205869
"GRHL2",0.0246325398099242,0.00740105217974236,0.00671604781637903,0.106716047816379,0.0128738969057112,0.0128738969057112,0.0128738969057112,0.0128738969057112,0.0128738969057112,-0.0088035615100746,-0.0029344555337813,-0.0642634814033956,-0.0128738969057112,-0.00671604781637903
"ZEB1",-0.121032937306,-0.105373985497987,-0.102866075777042,-0.102866075777042,-0.0992190699238227,-0.0992190699238227,-0.0992190699238227,-0.0992190699238227,-0.0992190699238227,0.00169292016456656,0.00378457007960865,0.0819280223767369,0.0992190699238227,0.102866075777042
"MIR340",-0.124604365877429,-0.10646845554407,-0.0976896051888067,-0.0976896051888067,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,0.0992190699238227,0.00272123212306681,0.0795954864915694,0.102866075777042,0.0976896051888067
"HA",-0.124604365877429,-0.10646845554407,-0.0976896051888067,-0.0976896051888067,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,0.0992190699238227,0.00272123212306681,0.0795954864915694,0.102866075777042,0.0976896051888067
"CD24",-0.124604365877429,-0.10646845554407,-0.0976896051888067,-0.0976896051888067,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,-0.102866075777042,0.0992190699238227,0.00272123212306681,0.0795954864915694,0.102866075777042,0.0976896051888067
"ESRP1",-0.119501547903324,-0.104869064835769,-0.106600496277916,-0.106600496277916,-0.0976896051888067,-0.0976896051888067,-0.0976896051888067,-0.0976896051888067,-0.0976896051888067,0.102866075777042,0.00451610391793861,0.0830327366914095,0.0976896051888067,0.00660049627791563
"SNAIL1",-0.110923801536635,0.00450032327852785,-0.104283270680358,-0.104283270680358,-0.10561154392514,-0.10561154392514,-0.10561154392514,-0.10561154392514,-0.10561154392514,0.104746663732314,0.0713093959085498,-0.0824446701739453,0.10561154392514,0.104283270680358
