"","MIR34","MIR200","CD24","ZEB1","MIR340","MIR190","GRHL2","ESRP1","TGFB","MIR1199","HAS2","HA","CD44s","SNAIL1"
"MIR200",0.205793993432141,0.205793993432141,0.0788959308469042,-0.0801281875086859,0.0839082562372082,0.0839082562372082,0.0839082562372082,0.0839082562372082,-0.206018763622506,-0.0839082562372082,-0.0839082562372082,-0.0788959308469042,-0.0788959308469042,-0.123129903248335
"HAS2",0.0844039411076037,0.0844039411076037,0.0603143093465674,-0.0554639890204172,0.0335816360792407,0.0335816360792407,0.0335816360792407,0.0335816360792407,-0.00797663604075558,-0.0335816360792407,-0.0335816360792407,0.0396856906534326,-0.0603143093465674,-0.105687485887829
"ZEB1",-0.0882234208932285,-0.0882234208932285,-0.0554639890204172,-0.0475607062737662,-0.0376792073905207,-0.0376792073905207,-0.0376792073905207,-0.0376792073905207,0.00677815814324855,0.0376792073905207,0.0376792073905207,0.0554639890204172,0.0554639890204172,0.103139380831204
"TGFB",-0.0814169459686486,-0.0814169459686486,0.045619235886907,-0.0407720066726406,0.0176600522134376,0.0176600522134376,0.0176600522134376,0.0176600522134376,0.0891988943831548,-0.0176600522134376,-0.0176600522134376,-0.045619235886907,-0.045619235886907,0.0604078301633866
"MIR340",0.105043697390924,0.105043697390924,0.0335816360792407,-0.0376792073905207,0.0554639890204172,0.0554639890204172,0.0554639890204172,0.0554639890204172,-0.00284843091255045,-0.0554639890204172,-0.0554639890204172,-0.0335816360792407,-0.0335816360792407,-0.0905795722187638
"MIR1199",0.105043697390924,0.105043697390924,0.0335816360792407,-0.0376792073905207,0.0554639890204172,0.0554639890204172,0.0554639890204172,0.0554639890204172,-0.00284843091255045,-0.0554639890204172,-0.0554639890204172,-0.0335816360792407,-0.0335816360792407,-0.0905795722187638
"HA",0.105043697390924,0.105043697390924,0.0335816360792407,-0.0376792073905207,0.0554639890204172,0.0554639890204172,0.0554639890204172,0.0554639890204172,-0.00284843091255045,-0.0554639890204172,-0.0554639890204172,-0.0335816360792407,-0.0335816360792407,-0.0905795722187638
"CD44s",0.105043697390924,0.105043697390924,0.0335816360792407,-0.0376792073905207,0.0554639890204172,0.0554639890204172,0.0554639890204172,0.0554639890204172,-0.00284843091255045,-0.0554639890204172,-0.0554639890204172,-0.0335816360792407,-0.0335816360792407,-0.0905795722187638
"SNAIL1",-0.0596566736613303,-0.0596566736613303,0.0176600522134376,-0.0217871775219246,0.0407720066726406,0.0407720066726406,0.0407720066726406,0.0407720066726406,0.0943699365470371,-0.0407720066726406,-0.0407720066726406,-0.0176600522134376,-0.0176600522134376,-0.0236083559772305
"MIR190",-0.0550805704797307,-0.0550805704797307,0.0115592903828198,-0.0176600522134376,0.045619235886907,0.045619235886907,0.045619235886907,0.045619235886907,0.195356006909694,-0.045619235886907,-0.045619235886907,-0.0115592903828198,-0.0115592903828198,0.0797583037763772
"GRHL2",0.0232257575948092,0.0232257575948092,0.0806356482150031,0.0151262889172723,0.00379263000164662,0.00379263000164662,0.00379263000164662,0.00379263000164662,-0.00241439152781569,-0.00379263000164662,-0.00379263000164662,0.0193643517849969,0.0193643517849969,-0.0662767809697316
"CD24",-0.105043697390924,-0.105043697390924,-0.0335816360792407,0.0376792073905207,-0.0554639890204172,-0.0554639890204172,-0.0554639890204172,-0.0554639890204172,0.00284843091255045,0.0554639890204172,0.0554639890204172,0.0335816360792407,0.0335816360792407,0.0905795722187638
"MIR34",0.0814169459686486,0.0814169459686486,-0.045619235886907,0.0407720066726406,-0.0176600522134376,-0.0176600522134376,-0.0176600522134376,-0.0176600522134376,-0.0891988943831548,0.0176600522134376,0.0176600522134376,0.045619235886907,0.045619235886907,-0.0604078301633866
"ESRP1",-0.0844039411076037,-0.0844039411076037,-0.0603143093465674,0.0554639890204172,-0.0335816360792407,-0.0335816360792407,-0.0335816360792407,-0.0335816360792407,0.00797663604075558,0.0335816360792407,0.0335816360792407,0.0603143093465674,-0.0396856906534326,0.105687485887829
