"","SNAIL1","MIR200","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR340","HA","TGFB","MIR34"
"MIR340",0.112812720384077,0.099246729895514,0.0629272207617784,0.0629272207617784,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,-0.0641138616495608,-0.0643389854676608,-0.0629272207617784,-0.0839157212814296,-0.099246729895514
"MIR1199",0.112812720384077,0.099246729895514,0.0629272207617784,0.0629272207617784,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,-0.0641138616495608,-0.0643389854676608,-0.0629272207617784,-0.0839157212814296,-0.099246729895514
"HA",0.112812720384077,0.099246729895514,0.0629272207617784,0.0629272207617784,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,-0.0641138616495608,-0.0643389854676608,-0.0629272207617784,-0.0839157212814296,-0.099246729895514
"CD24",0.112812720384077,0.099246729895514,0.0629272207617784,0.0629272207617784,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,0.0643389854676608,-0.0641138616495608,-0.0643389854676608,-0.0629272207617784,-0.0839157212814296,-0.099246729895514
"ZEB1",-0.113051954833838,-0.0991315225222421,-0.0643389854676608,-0.0643389854676608,-0.0641138616495608,-0.0641138616495608,-0.0641138616495608,-0.0641138616495608,-0.0641138616495608,-0.0361683897201885,0.0641138616495608,0.0643389854676608,0.0847016667275692,0.0991315225222421
"GRHL2",-0.081057479277037,0.00355754747148703,0.0182360500048014,0.118236050004801,0.0172820170472992,0.0172820170472992,0.0172820170472992,0.0172820170472992,0.0172820170472992,-0.0178355826611058,-0.0172820170472992,-0.0182360500048014,-0.0106954382803316,-0.00355754747148703
"SNAIL1",-0.0096714612520911,0.105527754244313,0.016141198229216,0.016141198229216,0.0165586555347188,0.0165586555347188,0.0165586555347188,0.0165586555347188,0.0165586555347188,-0.0162041964392985,-0.0165586555347188,-0.016141198229216,-0.109522982857293,-0.105527754244313
"MIR190",0.0907535207636885,0.105258185721954,0.0149828820417056,0.0149828820417056,0.0163452798618691,0.0163452798618691,0.0163452798618691,0.0163452798618691,0.0163452798618691,-0.016141198229216,-0.0163452798618691,-0.0149828820417056,-0.208939245417529,-0.105258185721954
"TGFB",-0.0896709767853394,-0.105649320011393,-0.0163452798618691,-0.0163452798618691,-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.016141198229216,0.0165586555347188,0.016141198229216,0.0163452798618691,0.109363873867635,0.105649320011393
"MIR34",-0.0896709767853394,-0.105649320011393,-0.0163452798618691,-0.0163452798618691,-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.016141198229216,0.0165586555347188,0.016141198229216,0.0163452798618691,0.109363873867635,0.105649320011393
"CD44s",-0.112812720384077,-0.099246729895514,-0.0629272207617784,-0.0629272207617784,-0.0643389854676608,-0.0643389854676608,-0.0643389854676608,-0.0643389854676608,-0.0643389854676608,0.0641138616495608,0.0643389854676608,0.0629272207617784,0.0839157212814296,0.099246729895514
"HAS2",-0.112732784332918,-0.0988659225840136,-0.0625971877584781,-0.0625971877584781,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,0.0643389854676608,0.0629272207617784,-0.0374028122415219,0.0834029007686091,0.0988659225840136
"ESRP1",-0.112732784332918,-0.0988659225840136,0.0374028122415219,-0.0625971877584781,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,-0.0629272207617784,0.0643389854676608,0.0629272207617784,0.0625971877584781,0.0834029007686091,0.0988659225840136
"MIR200",0.0282341090433347,0.00341493029209672,-0.0793736853549399,-0.0793736853549399,-0.0799488702357944,-0.0799488702357944,-0.0799488702357944,-0.0799488702357944,-0.0799488702357944,0.079855149523517,0.0799488702357944,0.0793736853549399,-0.112399011034917,-0.00341493029209672
