"","MIR34","MIR200","MIR340","MIR1199","HAS2","GRHL2","HA","CD44s","TGFB","ZEB1","CD24","MIR190","ESRP1","SNAIL1"
"MIR34",0.61403359232949,0.61403359232949,0.457956314829898,0.457956314829898,0.457956314829898,0.457956314829898,0.435507335238061,0.435507335238061,-0.25477753032866,-0.476286485607887,-0.435507335238061,-0.457956314829898,-0.457956314829898,-0.736484026957918
"MIR190",0.585480789200415,0.585480789200415,0.435507335238061,0.435507335238061,0.435507335238061,0.435507335238061,0.406896981014628,0.406896981014628,-0.343949504850953,-0.457956314829898,-0.406896981014628,-0.435507335238061,-0.435507335238061,-0.704548979596619
"MIR200",0.470280170433797,0.470280170433797,0.314435781349884,0.314435781349884,0.314435781349884,0.314435781349884,0.298577112492037,0.298577112492037,-0.274037034578618,-0.32533862421149,-0.298577112492037,-0.314435781349884,-0.314435781349884,-0.49253482297227
"MIR1199",0.268666758725,0.268666758725,0.223377943428557,0.223377943428557,0.223377943428557,0.223377943428557,0.213025002252086,0.213025002252086,-0.043730098264806,-0.229186137935536,-0.213025002252086,-0.223377943428557,-0.223377943428557,-0.280348271149542
"HA",0.268666758725,0.268666758725,0.223377943428557,0.223377943428557,0.223377943428557,0.223377943428557,0.213025002252086,0.213025002252086,-0.043730098264806,-0.229186137935536,-0.213025002252086,-0.223377943428557,-0.223377943428557,-0.280348271149542
"CD24",0.268666758725,0.268666758725,0.223377943428557,0.223377943428557,0.223377943428557,0.223377943428557,0.213025002252086,0.213025002252086,-0.043730098264806,-0.229186137935536,-0.213025002252086,-0.223377943428557,-0.223377943428557,-0.280348271149542
"HAS2",0.256252440370087,0.256252440370087,0.213025002252086,0.213025002252086,0.213025002252086,0.213025002252086,0.305434243176179,0.205434243176179,-0.0398839444186522,-0.223377943428557,-0.205434243176179,-0.213025002252086,-0.213025002252086,-0.268757543731477
"ESRP1",0.256252440370087,0.256252440370087,0.213025002252086,0.213025002252086,0.213025002252086,0.213025002252086,0.205434243176179,0.105434243176179,-0.0398839444186522,-0.223377943428557,-0.205434243176179,-0.213025002252086,-0.213025002252086,-0.268757543731477
"GRHL2",0.0882024030803058,0.0882024030803058,0.0624433554686994,0.0624433554686994,0.0624433554686994,0.0624433554686994,0.0568058879925503,0.0568058879925503,-0.0213841958332008,-0.0637784254784683,-0.15680588799255,-0.0624433554686994,-0.0624433554686994,-0.162800015710712
"ZEB1",-0.276558463794124,-0.276558463794124,-0.229186137935536,-0.229186137935536,-0.229186137935536,-0.229186137935536,-0.223377943428557,-0.223377943428557,0.0471975046448338,0.13537906504827,0.223377943428557,0.229186137935536,0.229186137935536,0.290455926651935
"MIR340",-0.268666758725,-0.268666758725,-0.223377943428557,-0.223377943428557,-0.223377943428557,-0.223377943428557,-0.213025002252086,-0.213025002252086,0.043730098264806,0.229186137935536,0.213025002252086,0.223377943428557,0.223377943428557,0.280348271149542
"CD44s",-0.268666758725,-0.268666758725,-0.223377943428557,-0.223377943428557,-0.223377943428557,-0.223377943428557,-0.213025002252086,-0.213025002252086,0.043730098264806,0.229186137935536,0.213025002252086,0.223377943428557,0.223377943428557,0.280348271149542
"TGFB",-0.61403359232949,-0.61403359232949,-0.457956314829898,-0.457956314829898,-0.457956314829898,-0.457956314829898,-0.435507335238061,-0.435507335238061,0.25477753032866,0.476286485607887,0.435507335238061,0.457956314829898,0.457956314829898,0.736484026957918
"SNAIL1",-0.637252653841768,-0.637252653841768,-0.476286485607887,-0.476286485607887,-0.476286485607887,-0.476286485607887,-0.457956314829898,-0.457956314829898,0.263448970265016,0.490819308520123,0.457956314829898,0.476286485607887,0.476286485607887,0.662078361808702
