"","MIR200","CD44s","CD24","MIR340","MIR190","MIR1199","SNAIL1","ZEB1","MIR34","HAS2","GRHL2","ESRP1","HA","TGFB"
"HAS2",0.123879735999603,0.110115798180314,0.110115798180314,0.10582536913741,0.10582536913741,0.10582536913741,0.0386793785561195,-0.109590075019763,-0.0877139237627584,-0.10582536913741,-0.10582536913741,-0.10582536913741,-0.0101157981803143,-0.119545702915289
"MIR340",0.121975699442101,0.10582536913741,0.10582536913741,0.109590075019763,0.109590075019763,0.109590075019763,0.0301262210820987,-0.106213217748264,-0.0944922939074651,-0.109590075019763,-0.109590075019763,-0.109590075019763,-0.10582536913741,-0.119802113171699
"HA",0.121975699442101,0.10582536913741,0.10582536913741,0.109590075019763,0.109590075019763,0.109590075019763,0.0301262210820987,-0.106213217748264,-0.0944922939074651,-0.109590075019763,-0.109590075019763,-0.109590075019763,-0.10582536913741,-0.119802113171699
"CD44s",0.121975699442101,0.10582536913741,0.10582536913741,0.109590075019763,0.109590075019763,0.109590075019763,0.0301262210820987,-0.106213217748264,-0.0944922939074651,-0.109590075019763,-0.109590075019763,-0.109590075019763,-0.10582536913741,-0.119802113171699
"CD24",0.121975699442101,0.10582536913741,0.10582536913741,0.109590075019763,0.109590075019763,0.109590075019763,0.0301262210820987,-0.106213217748264,-0.0944922939074651,-0.109590075019763,-0.109590075019763,-0.109590075019763,-0.10582536913741,-0.119802113171699
"MIR34",0.109189435199412,0.0344430451563005,0.0344430451563005,0.0264838614828311,0.0264838614828311,0.0264838614828311,-0.07062137870494,-0.0319867077826413,0.0784730176544491,-0.0264838614828311,-0.0264838614828311,-0.0264838614828311,-0.0344430451563005,-0.117337476110975
"MIR190",0.107103385655736,0.0227264239028945,0.0227264239028945,0.0344430451563005,0.0344430451563005,0.0344430451563005,-0.0855063584072404,-0.0264838614828311,0.0662174765853487,-0.0344430451563005,-0.0344430451563005,-0.0344430451563005,-0.0227264239028945,-0.214152762735179
"ZEB1",-0.122897358428276,-0.109590075019763,-0.109590075019763,-0.106213217748264,-0.106213217748264,-0.106213217748264,-0.0359276564887972,0.00872027403250737,0.0892503584235942,0.106213217748264,0.106213217748264,0.106213217748264,0.109590075019763,0.120125737767168
"SNAIL1",-0.107365948693212,-0.0264838614828311,-0.0264838614828311,-0.0319867077826413,-0.0319867077826413,-0.0319867077826413,-0.0183012313102345,0.0279175173672153,-0.0695987166576098,0.0319867077826413,0.0319867077826413,0.0319867077826413,0.0264838614828311,0.115507722729909
"TGFB",-0.109189435199412,-0.0344430451563005,-0.0344430451563005,-0.0264838614828311,-0.0264838614828311,-0.0264838614828311,0.07062137870494,0.0319867077826413,-0.0784730176544491,0.0264838614828311,0.0264838614828311,0.0264838614828311,0.0344430451563005,0.117337476110975
"MIR1199",-0.121975699442101,-0.10582536913741,-0.10582536913741,-0.109590075019763,-0.109590075019763,-0.109590075019763,-0.0301262210820987,0.106213217748264,0.0944922939074651,0.109590075019763,0.109590075019763,0.109590075019763,0.10582536913741,0.119802113171699
"ESRP1",-0.123879735999603,-0.210115798180314,-0.110115798180314,-0.10582536913741,-0.10582536913741,-0.10582536913741,-0.0386793785561195,0.109590075019763,0.0877139237627584,0.10582536913741,0.10582536913741,0.10582536913741,0.110115798180314,0.119545702915289
"MIR200",-0.00993747065224893,-0.114171791731994,-0.114171791731994,-0.113267929776365,-0.113267929776365,-0.113267929776365,-0.0893725261955518,0.113361650488642,0.198299623460792,0.113267929776365,0.113267929776365,0.113267929776365,0.114171791731994,-0.0883641010701765
"GRHL2",-0.204888968656257,-0.212719835589089,-0.312719835589089,-0.214367710697501,-0.214367710697501,-0.214367710697501,-0.0530504771551662,0.212967515321402,0.214994058177581,0.214367710697501,0.214367710697501,0.214367710697501,0.212719835589089,0.209337009065046
