"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","MIR34","SNAIL1","TGFB","ZEB1","MIR200","CD44s","CD24"
"GRHL2",0.234389678257404,0.234389678257404,0.234389678257404,0.234389678257404,0.234389678257404,0.234389678257404,0.234649869063996,0.203611015687774,0.0977470232541567,0.0107166828555696,-0.234487366306899,-0.203611015687774,-0.234649869063996,-0.334649869063996
"MIR1199",0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150991736890811,0.120712512543591,0.0732632506810945,0.00340303266915712,-0.150836322000857,-0.120712512543591,-0.150991736890811,-0.150991736890811
"HA",0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150991736890811,0.120712512543591,0.0732632506810945,0.00340303266915712,-0.150836322000857,-0.120712512543591,-0.150991736890811,-0.150991736890811
"CD44s",0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150991736890811,0.120712512543591,0.0732632506810945,0.00340303266915712,-0.150836322000857,-0.120712512543591,-0.150991736890811,-0.150991736890811
"HAS2",0.150991736890811,0.150991736890811,0.150991736890811,0.150991736890811,0.150991736890811,0.150991736890811,0.25066170388751,0.121397965704292,0.0733431867322535,0.00365944292556738,-0.150521148655517,-0.121397965704292,-0.15066170388751,-0.15066170388751
"MIR200",0.113826221984864,0.113826221984864,0.113826221984864,0.113826221984864,0.113826221984864,0.113826221984864,0.114401406865718,0.185452375968545,-0.0221264064355171,0.0104079735834223,-0.113919942697141,-0.185452375968545,-0.114401406865718,-0.114401406865718
"SNAIL1",0.097523906225348,0.097523906225348,0.097523906225348,0.097523906225348,0.097523906225348,0.097523906225348,0.0977895608743043,-0.00832422778527534,-0.083219420599442,0.0711151629104623,-0.0975664413167984,0.00832422778527534,-0.0977895608743043,-0.0977895608743043
"MIR34",0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0973813976089982,-0.00805678309769936,0.0166794160217012,0.0712742719001202,-0.097523906225348,0.00805678309769936,-0.0973813976089982,-0.0973813976089982
"ZEB1",-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150521148655517,-0.120942927290135,-0.0730838248437739,-0.00363419309449231,0.0509193371096063,0.120942927290135,0.150521148655517,0.150521148655517
"TGFB",-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0973813976089982,0.00805678309769936,-0.0166794160217012,-0.0712742719001202,0.097523906225348,-0.00805678309769936,0.0973813976089982,0.0973813976089982
"MIR190",-0.0973813976089982,-0.0973813976089982,-0.0973813976089982,-0.0973813976089982,-0.0973813976089982,-0.0973813976089982,-0.0965639589169001,0.00857829548361852,-0.0164087800271139,0.0287257280998798,0.0977895608743043,-0.00857829548361852,0.0965639589169001,0.0965639589169001
"ESRP1",-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.15066170388751,-0.121397965704292,-0.0733431867322535,-0.00365944292556738,0.150521148655517,0.121397965704292,0.0506617038875103,0.15066170388751
"MIR340",-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150991736890811,-0.120712512543591,-0.0732632506810945,-0.00340303266915712,0.150836322000857,0.120712512543591,0.150991736890811,0.150991736890811
"CD24",-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150991736890811,-0.120712512543591,-0.0732632506810945,-0.00340303266915712,0.150836322000857,0.120712512543591,0.150991736890811,0.150991736890811
