"","HA","CD44s","CD24","MIR340","MIR190","MIR34","MIR200","SNAIL1","ZEB1","TGFB","MIR1199","HAS2","GRHL2","ESRP1"
"MIR200",0.205637655783294,0.205637655783294,0.205637655783294,0.212293366547468,0.212293366547468,0.0439470886981375,0.0439470886981375,0.179235599581369,-0.211449880136971,-0.164262679315448,-0.212293366547468,-0.212293366547468,-0.212293366547468,-0.212293366547468
"HAS2",0.0919520264681555,0.191952026468156,0.191952026468156,0.190301861451654,0.190301861451654,0.174665443078318,0.174665443078318,-0.078130271745748,-0.196654802628124,-0.182932239932902,-0.190301861451654,-0.190301861451654,-0.190301861451654,-0.190301861451654
"MIR340",0.190301861451654,0.190301861451654,0.190301861451654,0.196654802628124,0.196654802628124,0.179920583977023,0.179920583977023,-0.0745331494435898,-0.195709282592105,-0.179855316855979,-0.196654802628124,-0.196654802628124,-0.196654802628124,-0.196654802628124
"CD44s",0.190301861451654,0.190301861451654,0.190301861451654,0.196654802628124,0.196654802628124,0.179920583977023,0.179920583977023,-0.0745331494435898,-0.195709282592105,-0.179855316855979,-0.196654802628124,-0.196654802628124,-0.196654802628124,-0.196654802628124
"CD24",0.190301861451654,0.190301861451654,0.190301861451654,0.196654802628124,0.196654802628124,0.179920583977023,0.179920583977023,-0.0745331494435898,-0.195709282592105,-0.179855316855979,-0.196654802628124,-0.196654802628124,-0.196654802628124,-0.196654802628124
"SNAIL1",0.166508164270855,0.166508164270855,0.166508164270855,0.169582168065922,0.169582168065922,-0.134385817663004,-0.134385817663004,0.267687288591799,-0.169199352242868,0.0668079110678508,-0.169582168065922,-0.169582168065922,-0.169582168065922,-0.169582168065922
"MIR190",0.159763460939932,0.159763460939932,0.159763460939932,0.167120409168814,0.167120409168814,-0.134837148403991,-0.134837148403991,0.367134791437447,-0.166508164270855,-0.0284669573125311,-0.167120409168814,-0.167120409168814,-0.167120409168814,-0.167120409168814
"GRHL2",0.0444056180763037,0.0444056180763037,-0.0555943819236963,0.0495227039392699,0.0495227039392699,0.0478861380077372,0.0478861380077372,-0.0619026840581076,-0.0470805027018879,-0.0430682594673025,-0.0495227039392699,-0.0495227039392699,-0.0495227039392699,-0.0495227039392699
"ZEB1",-0.196654802628124,-0.196654802628124,-0.196654802628124,-0.195709282592105,-0.195709282592105,-0.178019662318037,-0.178019662318037,0.0759685561421544,0.0984155751373479,0.185541863319224,0.195709282592105,0.195709282592105,0.195709282592105,0.195709282592105
"TGFB",-0.167120409168814,-0.167120409168814,-0.167120409168814,-0.166508164270855,-0.166508164270855,0.136792819851188,0.136792819851188,-0.365916929461804,0.169582168065922,-0.0653759301609296,0.166508164270855,0.166508164270855,0.166508164270855,0.166508164270855
"MIR34",-0.167120409168814,-0.167120409168814,-0.167120409168814,-0.166508164270855,-0.166508164270855,0.136792819851188,0.136792819851188,-0.365916929461804,0.169582168065922,-0.0653759301609296,0.166508164270855,0.166508164270855,0.166508164270855,0.166508164270855
"MIR1199",-0.190301861451654,-0.190301861451654,-0.190301861451654,-0.196654802628124,-0.196654802628124,-0.179920583977023,-0.179920583977023,0.0745331494435898,0.195709282592105,0.179855316855979,0.196654802628124,0.196654802628124,0.196654802628124,0.196654802628124
"HA",-0.190301861451654,-0.190301861451654,-0.190301861451654,-0.196654802628124,-0.196654802628124,-0.179920583977023,-0.179920583977023,0.0745331494435898,0.195709282592105,0.179855316855979,0.196654802628124,0.196654802628124,0.196654802628124,0.196654802628124
"ESRP1",-0.191952026468156,-0.291952026468155,-0.191952026468156,-0.190301861451654,-0.190301861451654,-0.174665443078318,-0.174665443078318,0.078130271745748,0.196654802628124,0.182932239932902,0.190301861451654,0.190301861451654,0.190301861451654,0.190301861451654
