"","ZEB1","MIR34","TGFB","MIR340","MIR190","MIR1199","HAS2","CD44s","CD24","HA","GRHL2","ESRP1","MIR200","SNAIL1"
"SNAIL1",-0.235640939181239,-0.141739014347191,-0.205127825621716,0.234946199354216,0.234946199354216,0.234946199354216,0.234946199354216,0.234376939392166,0.234376939392166,-0.234376939392166,-0.234946199354216,-0.234946199354216,0.141739014347191,0.363578468028256
"MIR190",-0.234376939392166,-0.139259389689025,-0.301148074014158,0.232948367963595,0.232948367963595,0.232948367963595,0.232948367963595,0.228316215375039,0.228316215375039,-0.228316215375039,-0.232948367963595,-0.232948367963595,0.139259389689025,0.457023998256462
"GRHL2",-0.107479603730376,0.174820510207075,0.0245406679297217,0.107381915680881,0.107381915680881,0.107381915680881,0.107381915680881,0.109723632940205,0.00972363294020469,-0.109723632940205,-0.107381915680881,-0.107381915680881,-0.174820510207075,-0.170666097776032
"MIR200",-0.100858040726785,-0.0259154486929849,-0.214775317434491,0.0999520738414362,0.0999520738414362,0.0999520738414362,0.0999520738414362,0.0995412274979687,0.0995412274979687,-0.0995412274979687,-0.0999520738414362,-0.0999520738414362,0.0259154486929849,0.166284097665158
"ZEB1",-0.0840642031626321,-0.0802084573903086,-0.0226083802183449,-0.0155207212936189,-0.0155207212936189,-0.0155207212936189,-0.0155207212936189,-0.0148453498393191,-0.0148453498393191,0.0148453498393191,0.0155207212936189,0.0155207212936189,0.0802084573903086,0.1453355070551
"MIR1199",-0.0155207212936189,0.0796324205239492,0.0221922914527416,0.0148453498393191,0.0148453498393191,0.0148453498393191,0.0148453498393191,0.0162571145452014,0.0162571145452014,-0.0162571145452014,-0.0148453498393191,-0.0148453498393191,-0.0796324205239492,-0.145036463992899
"HAS2",-0.0148453498393191,0.0798609049108494,0.0211666504271006,0.0162571145452014,0.0162571145452014,0.0162571145452014,0.0162571145452014,0.0212076095947064,0.0212076095947064,-0.121207609594706,-0.0162571145452014,-0.0162571145452014,-0.0798609049108494,-0.144636783737104
"ESRP1",-0.0148453498393191,0.0798609049108494,0.0211666504271006,0.0162571145452014,0.0162571145452014,0.0162571145452014,0.0162571145452014,-0.0787923904052936,0.0212076095947064,-0.0212076095947064,-0.0162571145452014,-0.0162571145452014,-0.0798609049108494,-0.144636783737104
"MIR340",0.0155207212936189,-0.0796324205239492,-0.0221922914527416,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0162571145452014,-0.0162571145452014,0.0162571145452014,0.0148453498393191,0.0148453498393191,0.0796324205239492,0.145036463992899
"HA",0.0155207212936189,-0.0796324205239492,-0.0221922914527416,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0162571145452014,-0.0162571145452014,0.0162571145452014,0.0148453498393191,0.0148453498393191,0.0796324205239492,0.145036463992899
"CD44s",0.0155207212936189,-0.0796324205239492,-0.0221922914527416,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0162571145452014,-0.0162571145452014,0.0162571145452014,0.0148453498393191,0.0148453498393191,0.0796324205239492,0.145036463992899
"CD24",0.0155207212936189,-0.0796324205239492,-0.0221922914527416,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0148453498393191,-0.0162571145452014,-0.0162571145452014,0.0162571145452014,0.0148453498393191,0.0148453498393191,0.0796324205239492,0.145036463992899
"TGFB",0.234946199354216,0.140693548750303,0.203695844714794,-0.234376939392166,-0.234376939392166,-0.234376939392166,-0.234376939392166,-0.232948367963595,-0.232948367963595,0.232948367963595,0.234376939392166,0.234376939392166,-0.140693548750303,-0.460948220177977
"MIR34",0.234946199354216,0.140693548750303,0.203695844714794,-0.234376939392166,-0.234376939392166,-0.234376939392166,-0.234376939392166,-0.232948367963595,-0.232948367963595,0.232948367963595,0.234376939392166,0.234376939392166,-0.140693548750303,-0.460948220177977
