"","MIR34","ZEB1","MIR200","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","TGFB","MIR340","SNAIL1"
"SNAIL1",-0.0625789264404567,-0.222423114973822,-0.285047830537883,0.221756731874432,0.221756731874432,0.221756731874432,0.221756731874432,0.221756731874432,-0.223085005119214,-0.223085005119214,-0.223085005119214,0.299469135790226,-0.221756731874432,0.131680895711499
"ZEB1",-0.120271576352059,-0.0835535668651527,-0.0251276386861276,-0.0146034977206019,-0.0146034977206019,-0.0146034977206019,-0.0146034977206019,-0.0146034977206019,0.0114967890308225,0.0114967890308225,0.0114967890308225,0.0125420605775516,0.0146034977206019,0.23447105734073
"MIR200",-0.201098993172655,-0.0173193297808698,-0.147319633933984,0.0209744375596889,0.0209744375596889,0.0209744375596889,0.0209744375596889,0.0209744375596889,-0.0259867629499929,-0.0259867629499929,-0.0259867629499929,0.0432722814728057,-0.0209744375596889,0.298515484465234
"HA",0.120271576352059,-0.0146034977206019,0.0291022930640078,0.0114967890308225,0.0114967890308225,0.0114967890308225,0.0114967890308225,0.0114967890308225,-0.00820267138376369,-0.00820267138376369,-0.00820267138376369,-0.0172115011693222,-0.0114967890308225,-0.236325124326376
"CD24",0.120271576352059,-0.0146034977206019,0.0291022930640078,0.0114967890308225,0.0114967890308225,0.0114967890308225,0.0114967890308225,0.0114967890308225,-0.00820267138376369,-0.00820267138376369,-0.00820267138376369,-0.0172115011693222,-0.0114967890308225,-0.236325124326376
"ESRP1",0.12156632121116,-0.0114967890308225,0.0346620798119133,0.00820267138376369,0.00820267138376369,0.00820267138376369,0.00820267138376369,0.00820267138376369,-0.0072125723738627,-0.107212572373863,-0.0072125723738627,-0.0202884242462453,-0.00820267138376369,-0.241840711856352
"HAS2",-0.12156632121116,0.0114967890308225,-0.0346620798119133,-0.00820267138376369,-0.00820267138376369,-0.00820267138376369,-0.00820267138376369,-0.00820267138376369,-0.0927874276261373,0.0072125723738627,0.0072125723738627,0.0202884242462453,0.00820267138376369,0.241840711856352
"MIR340",-0.120271576352059,0.0146034977206019,-0.0291022930640078,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,0.00820267138376369,0.00820267138376369,0.00820267138376369,0.0172115011693222,0.0114967890308225,0.236325124326376
"MIR1199",-0.120271576352059,0.0146034977206019,-0.0291022930640078,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,0.00820267138376369,0.00820267138376369,0.00820267138376369,0.0172115011693222,0.0114967890308225,0.236325124326376
"CD44s",-0.120271576352059,0.0146034977206019,-0.0291022930640078,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,-0.0114967890308225,0.00820267138376369,0.00820267138376369,0.00820267138376369,0.0172115011693222,0.0114967890308225,0.236325124326376
"GRHL2",-0.226024938898574,0.128525114570071,0.0743402619995606,-0.125366534303057,-0.125366534303057,-0.125366534303057,-0.125366534303057,-0.125366534303057,0.122677895968278,0.122677895968278,0.0226778959682783,-0.0915228542182511,0.125366534303057,0.264383811021853
"TGFB",0.0609013188547529,0.221756731874432,0.285072143691299,-0.223085005119214,-0.223085005119214,-0.223085005119214,-0.223085005119214,-0.223085005119214,0.227982964302887,0.227982964302887,0.227982964302887,-0.304083296490305,0.223085005119214,-0.227684942246653
"MIR34",0.0609013188547529,0.221756731874432,0.285072143691299,-0.223085005119214,-0.223085005119214,-0.223085005119214,-0.223085005119214,-0.223085005119214,0.227982964302887,0.227982964302887,0.227982964302887,-0.304083296490305,0.223085005119214,-0.227684942246653
"MIR190",0.0590760255040358,0.223085005119214,0.289504998971612,-0.227982964302887,-0.227982964302887,-0.227982964302887,-0.227982964302887,-0.227982964302887,0.236974789915966,0.236974789915966,0.236974789915966,-0.214274379292853,0.227982964302887,-0.225384536292661
