"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","TGFB","ZEB1","MIR34","MIR200","HA","CD44s","CD24"
"GRHL2",0.322144462919182,0.322144462919182,0.322144462919182,0.322144462919182,0.322144462919182,0.322144462919182,0.131161523571024,0.0163343944277624,-0.320809392909413,-0.319516671141562,-0.319516671141562,-0.316506995443033,-0.316506995443033,-0.416506995443032
"HAS2",0.182458868715656,0.182458868715656,0.182458868715656,0.182458868715656,0.182458868715656,0.182458868715656,0.117608118444121,0.00993742035448107,-0.192811809892126,-0.176887361005008,-0.176887361005008,-0.290049627791563,-0.190049627791563,-0.190049627791563
"MIR1199",0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.106017391026055,0.00609126650832722,-0.187003615385147,-0.189301679359921,-0.189301679359921,-0.182458868715656,-0.182458868715656,-0.182458868715656
"CD44s",0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.192811809892126,0.106017391026055,0.00609126650832722,-0.187003615385147,-0.189301679359921,-0.189301679359921,-0.182458868715656,-0.182458868715656,-0.182458868715656
"TGFB",0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,-0.0278703424917305,-0.0804899004258772,-0.0506477856834725,0.0642558145517119,0.0642558145517119,-0.0547665944973206,-0.0547665944973206,-0.0547665944973206
"MIR34",0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,0.0323176149054838,-0.0278703424917305,-0.0804899004258772,-0.0506477856834725,0.0642558145517119,0.0642558145517119,-0.0547665944973206,-0.0547665944973206,-0.0547665944973206
"MIR190",-0.0547665944973206,-0.0547665944973206,-0.0547665944973206,-0.0547665944973206,-0.0547665944973206,-0.0547665944973206,0.0598053898530296,-0.00868207409641582,0.0323176149054838,-0.0357030114226376,-0.0357030114226376,0.0261562402738873,0.0261562402738873,0.0261562402738873
"SNAIL1",-0.0506477856834725,-0.0506477856834725,-0.0506477856834725,-0.0506477856834725,-0.0506477856834725,-0.0506477856834725,-0.0465353226574855,0.0891613403622336,0.0361149627712365,-0.0410367530394338,-0.0410367530394338,0.0323176149054838,0.0323176149054838,0.0323176149054838
"ZEB1",-0.187003615385147,-0.187003615385147,-0.187003615385147,-0.187003615385147,-0.187003615385147,-0.187003615385147,-0.116125046528447,-0.00955867288835496,0.093196542497882,0.181409974290796,0.181409974290796,0.192811809892126,0.192811809892126,0.192811809892126
"MIR200",-0.170191609275863,-0.170191609275863,-0.170191609275863,-0.170191609275863,-0.170191609275863,-0.170191609275863,0.0174452377822093,-0.00376919387280473,0.159288766414258,0.0744584548417624,0.0744584548417624,0.154332940418016,0.154332940418016,0.154332940418016
"MIR340",-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.106017391026055,-0.00609126650832722,0.187003615385147,0.189301679359921,0.189301679359921,0.182458868715656,0.182458868715656,0.182458868715656
"HA",-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.106017391026055,-0.00609126650832722,0.187003615385147,0.189301679359921,0.189301679359921,0.182458868715656,0.182458868715656,0.182458868715656
"CD24",-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.192811809892126,-0.106017391026055,-0.00609126650832722,0.187003615385147,0.189301679359921,0.189301679359921,0.182458868715656,0.182458868715656,0.182458868715656
"ESRP1",-0.182458868715656,-0.182458868715656,-0.182458868715656,-0.182458868715656,-0.182458868715656,-0.182458868715656,-0.117608118444121,-0.00993742035448107,0.192811809892126,0.176887361005008,0.176887361005008,0.190049627791563,0.0900496277915633,0.190049627791563
