"","MIR340","HAS2","GRHL2","HA","CD44s","TGFB","SNAIL1","MIR34","MIR200","ZEB1","CD24","MIR190","MIR1199","ESRP1"
"SNAIL1",0.623971921193545,0.623971921193545,0.623971921193545,0.592207215311193,0.592207215311193,0.634390713048508,0.352739637902512,-0.620606631521303,-0.620606631521303,-0.648656452598621,-0.592207215311193,-0.623971921193545,-0.623971921193545,-0.623971921193545
"MIR190",0.554656194903029,0.554656194903029,0.554656194903029,0.505882352941176,0.505882352941176,0.463820302253419,0.446301458104113,-0.573097747076617,-0.573097747076617,-0.592207215311193,-0.505882352941176,-0.554656194903029,-0.554656194903029,-0.554656194903029
"MIR340",0.482681326664268,0.482681326664268,0.482681326664268,0.449740150193679,0.449740150193679,0.394643127819788,0.120115642901525,-0.385172405106252,-0.385172405106252,-0.502267098838964,-0.449740150193679,-0.482681326664268,-0.482681326664268,-0.482681326664268
"HA",0.482681326664268,0.482681326664268,0.482681326664268,0.449740150193679,0.449740150193679,0.394643127819788,0.120115642901525,-0.385172405106252,-0.385172405106252,-0.502267098838964,-0.449740150193679,-0.482681326664268,-0.482681326664268,-0.482681326664268
"CD44s",0.482681326664268,0.482681326664268,0.482681326664268,0.449740150193679,0.449740150193679,0.394643127819788,0.120115642901525,-0.385172405106252,-0.385172405106252,-0.502267098838964,-0.449740150193679,-0.482681326664268,-0.482681326664268,-0.482681326664268
"CD24",0.482681326664268,0.482681326664268,0.482681326664268,0.449740150193679,0.449740150193679,0.394643127819788,0.120115642901525,-0.385172405106252,-0.385172405106252,-0.502267098838964,-0.449740150193679,-0.482681326664268,-0.482681326664268,-0.482681326664268
"HAS2",0.449740150193679,0.449740150193679,0.449740150193679,0.521687344913151,0.421687344913151,0.374386717563377,0.122593660487457,-0.360724575707927,-0.360724575707927,-0.482681326664268,-0.421687344913151,-0.449740150193679,-0.449740150193679,-0.449740150193679
"GRHL2",0.18428881277777,0.18428881277777,0.18428881277777,0.167376410349322,0.167376410349322,0.149270663414584,0.0835658031935598,-0.151213405207792,-0.151213405207792,-0.189336028668359,-0.267376410349322,-0.18428881277777,-0.18428881277777,-0.18428881277777
"MIR200",-0.22224134903055,-0.22224134903055,-0.22224134903055,-0.213942252892505,-0.213942252892505,-0.170843795134064,0.177669462478679,0.0505081374283706,0.0505081374283706,0.224334444938078,0.213942252892505,0.22224134903055,0.22224134903055,0.22224134903055
"ZEB1",-0.502267098838964,-0.502267098838964,-0.502267098838964,-0.482681326664268,-0.482681326664268,-0.422428610945076,-0.124063011322578,0.396808349806713,0.396808349806713,0.422439770265163,0.482681326664268,0.502267098838964,0.502267098838964,0.502267098838964
"ESRP1",-0.449740150193679,-0.449740150193679,-0.449740150193679,-0.421687344913151,-0.521687344913151,-0.374386717563377,-0.122593660487457,0.360724575707927,0.360724575707927,0.482681326664268,0.421687344913151,0.449740150193679,0.449740150193679,0.449740150193679
"MIR1199",-0.482681326664268,-0.482681326664268,-0.482681326664268,-0.449740150193679,-0.449740150193679,-0.394643127819788,-0.120115642901525,0.385172405106252,0.385172405106252,0.502267098838964,0.449740150193679,0.482681326664268,0.482681326664268,0.482681326664268
"TGFB",-0.592207215311193,-0.592207215311193,-0.592207215311193,-0.554656194903029,-0.554656194903029,-0.604160005013504,-0.450766952014803,0.598651853986657,0.598651853986657,0.623971921193545,0.554656194903029,0.592207215311193,0.592207215311193,0.592207215311193
"MIR34",-0.592207215311193,-0.592207215311193,-0.592207215311193,-0.554656194903029,-0.554656194903029,-0.604160005013504,-0.450766952014803,0.598651853986657,0.598651853986657,0.623971921193545,0.554656194903029,0.592207215311193,0.592207215311193,0.592207215311193
