"","MIR34","MIR200","HA","CD44s","CD24","MIR340","MIR190","MIR1199","ZEB1","HAS2","GRHL2","ESRP1","TGFB","SNAIL1"
"MIR34",0.558535477540608,0.558535477540608,0.322147016844885,0.322147016844885,0.322147016844885,0.340106200518354,0.340106200518354,0.340106200518354,-0.353806390271675,-0.340106200518354,-0.340106200518354,-0.340106200518354,-0.489284935551698,-0.781546762911518
"MIR190",0.530113052508014,0.530113052508014,0.308795518207283,0.308795518207283,0.308795518207283,0.322147016844885,0.322147016844885,0.322147016844885,-0.340106200518354,-0.322147016844885,-0.322147016844885,-0.322147016844885,-0.566354999245966,-0.745687493628704
"MIR200",0.440580609598932,0.440580609598932,0.245643560957187,0.245643560957187,0.245643560957187,0.252463610258749,0.252463610258749,0.252463610258749,-0.256868483735787,-0.252463610258749,-0.252463610258749,-0.252463610258749,-0.494241847881797,-0.547534831206236
"HA",0.259293561864632,0.259293561864632,0.194901358622215,0.194901358622215,0.194901358622215,0.198901358622215,0.198901358622215,0.198901358622215,-0.197325491895515,-0.198901358622215,-0.198901358622215,-0.198901358622215,-0.228271364692303,-0.347196398792828
"CD44s",0.259293561864632,0.259293561864632,0.194901358622215,0.194901358622215,0.194901358622215,0.198901358622215,0.198901358622215,0.198901358622215,-0.197325491895515,-0.198901358622215,-0.198901358622215,-0.198901358622215,-0.228271364692303,-0.347196398792828
"CD24",0.259293561864632,0.259293561864632,0.194901358622215,0.194901358622215,0.194901358622215,0.198901358622215,0.198901358622215,0.198901358622215,-0.197325491895515,-0.198901358622215,-0.198901358622215,-0.198901358622215,-0.228271364692303,-0.347196398792828
"GRHL2",0.066275137901967,0.066275137901967,0.0374562021277537,0.0374562021277537,-0.0625437978722463,0.0339002611043365,0.0339002611043365,0.0339002611043365,-0.0316534359659451,-0.0339002611043365,-0.0339002611043365,-0.0339002611043365,-0.0543016861858229,-0.195727012112566
"ZEB1",-0.264420289975232,-0.264420289975232,-0.198901358622215,-0.198901358622215,-0.198901358622215,-0.197325491895515,-0.197325491895515,-0.197325491895515,0.104481394269747,0.197325491895515,0.197325491895515,0.197325491895515,0.234235303665951,0.362148551902876
"MIR340",-0.259293561864632,-0.259293561864632,-0.194901358622215,-0.194901358622215,-0.194901358622215,-0.198901358622215,-0.198901358622215,-0.198901358622215,0.197325491895515,0.198901358622215,0.198901358622215,0.198901358622215,0.228271364692303,0.347196398792828
"MIR1199",-0.259293561864632,-0.259293561864632,-0.194901358622215,-0.194901358622215,-0.194901358622215,-0.198901358622215,-0.198901358622215,-0.198901358622215,0.197325491895515,0.198901358622215,0.198901358622215,0.198901358622215,0.228271364692303,0.347196398792828
"HAS2",-0.252058222946125,-0.252058222946125,-0.27014888337469,-0.17014888337469,-0.17014888337469,-0.194901358622215,-0.194901358622215,-0.194901358622215,0.198901358622215,0.194901358622215,0.194901358622215,0.194901358622215,0.203655980076918,0.330170019895945
"ESRP1",-0.252058222946125,-0.252058222946125,-0.17014888337469,-0.27014888337469,-0.17014888337469,-0.194901358622215,-0.194901358622215,-0.194901358622215,0.198901358622215,0.194901358622215,0.194901358622215,0.194901358622215,0.203655980076918,0.330170019895945
"TGFB",-0.558535477540608,-0.558535477540608,-0.322147016844885,-0.322147016844885,-0.322147016844885,-0.340106200518354,-0.340106200518354,-0.340106200518354,0.353806390271675,0.340106200518354,0.340106200518354,0.340106200518354,0.489284935551698,0.781546762911518
"SNAIL1",-0.580198497234263,-0.580198497234263,-0.340106200518354,-0.340106200518354,-0.340106200518354,-0.353806390271675,-0.353806390271675,-0.353806390271675,0.362100733104512,0.353806390271675,0.353806390271675,0.353806390271675,0.51362861096936,0.711440541363719
