"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR200","SNAIL1","MIR34","ZEB1","TGFB","CD44s"
"MIR340",0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.478876741272142,0.46615299258457,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.449562650482359,-0.478876741272142
"MIR1199",0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.478876741272142,0.46615299258457,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.449562650482359,-0.478876741272142
"HA",0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.478876741272142,0.46615299258457,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.449562650482359,-0.478876741272142
"HAS2",0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.54620347394541,0.446203473945409,0.430128620916634,0.247323061445725,-0.294553718571477,-0.52546497656626,-0.42007547099518,-0.446203473945409
"ESRP1",0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.478876741272142,0.446203473945409,0.446203473945409,0.430128620916634,0.247323061445725,-0.294553718571477,-0.52546497656626,-0.42007547099518,-0.54620347394541
"MIR200",0.465186703622291,0.465186703622291,0.465186703622291,0.465186703622291,0.465186703622291,0.465186703622291,0.426813655142422,0.426813655142422,0.484988489083517,0.232251067745469,-0.196104304743876,-0.486898668633225,-0.584295297225929,-0.426813655142422
"SNAIL1",0.247595384622846,0.247595384622846,0.247595384622846,0.247595384622846,0.247595384622846,0.247595384622846,0.234806010808804,0.234806010808804,0.222380735236517,-0.016863099346893,-0.0590445020111963,-0.256286721642554,-0.254152088417024,-0.234806010808804
"MIR190",0.223989684278192,0.223989684278192,0.223989684278192,0.223989684278192,0.223989684278192,0.223989684278192,0.204643635231871,0.204643635231871,0.203181934474092,0.0737939355804822,-0.0480361591443807,-0.234806010808804,-0.329027056113845,-0.204643635231871
"GRHL2",0.208184979662133,0.208184979662133,0.208184979662133,0.208184979662133,0.208184979662133,0.208184979662133,0.182426089809574,0.282426089809574,0.189028092380573,0.154153524746605,-0.115376168952315,-0.214469577512995,-0.175048193118693,-0.182426089809574
"TGFB",-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.223989684278192,-0.223989684278192,-0.212047645034718,-0.0797479274614024,0.0529905268106128,0.247595384622846,0.24452599454272,0.223989684278192
"MIR34",-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.223989684278192,-0.223989684278192,-0.212047645034718,-0.0797479274614024,0.0529905268106128,0.247595384622846,0.24452599454272,0.223989684278192
"ZEB1",-0.551984562338435,-0.551984562338435,-0.551984562338435,-0.551984562338435,-0.551984562338435,-0.551984562338435,-0.52546497656626,-0.52546497656626,-0.488042393506229,-0.272295953945122,0.330888395552113,0.484044997337604,0.489738332405614,0.52546497656626
"CD44s",-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.478876741272142,-0.478876741272142,-0.46615299258457,-0.260992126193926,0.318849225045201,0.551984562338435,0.449562650482359,0.478876741272142
"CD24",-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.478876741272142,-0.478876741272142,-0.46615299258457,-0.260992126193926,0.318849225045201,0.551984562338435,0.449562650482359,0.478876741272142
