"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR34","ZEB1","MIR200","SNAIL1","MIR340","HA","CD44s","CD24"
"HAS2",0.166741845400421,0.166741845400421,0.166741845400421,0.166741845400421,0.166741845400421,0.139175278413031,0.114150959411781,-0.169565374812186,-0.114150959411781,-0.144187410819942,-0.166741845400421,-0.270372208436725,-0.170372208436725,-0.170372208436725
"CD44s",0.169565374812186,0.169565374812186,0.169565374812186,0.169565374812186,0.169565374812186,0.136098355336108,0.116054995969283,-0.167989508085486,-0.116054995969283,-0.144746963178056,-0.169565374812186,-0.166741845400421,-0.166741845400421,-0.166741845400421
"CD24",0.169565374812186,0.169565374812186,0.169565374812186,0.169565374812186,0.169565374812186,0.136098355336108,0.116054995969283,-0.167989508085486,-0.116054995969283,-0.144746963178056,-0.169565374812186,-0.166741845400421,-0.166741845400421,-0.166741845400421
"GRHL2",0.035895246633054,0.035895246633054,0.035895246633054,0.035895246633054,0.035895246633054,0.0205170959993312,0.0121385897448225,-0.0339740483263135,-0.0121385897448225,-0.0964273933935994,-0.035895246633054,-0.0328596872228198,-0.0328596872228198,-0.13285968722282
"TGFB",0.0271202601537133,0.0271202601537133,0.0271202601537133,0.0271202601537133,0.0271202601537133,-0.0481102459245557,-0.0412919269122135,-0.0295111519943205,0.0412919269122135,-0.0161243200646692,-0.0271202601537133,-0.0309978111741215,-0.0309978111741215,-0.0309978111741215
"MIR34",0.0271202601537133,0.0271202601537133,0.0271202601537133,0.0271202601537133,0.0271202601537133,-0.0481102459245557,-0.0412919269122135,-0.0295111519943205,0.0412919269122135,-0.0161243200646692,-0.0271202601537133,-0.0309978111741215,-0.0309978111741215,-0.0309978111741215
"MIR190",0.0309978111741215,0.0309978111741215,0.0309978111741215,0.0309978111741215,0.0309978111741215,0.0467942126741705,-0.0386843649826177,-0.0271202601537133,0.0386843649826177,-0.0165302740565502,-0.0309978111741215,-0.0247307812013694,-0.0247307812013694,-0.0247307812013694
"SNAIL1",-0.0295111519943205,-0.0295111519943205,-0.0295111519943205,-0.0295111519943205,-0.0295111519943205,0.051212871222885,0.0396143193265097,0.0279940670659213,-0.0396143193265097,-0.0835216081093318,0.0295111519943205,0.0271202601537133,0.0271202601537133,0.0271202601537133
"ZEB1",-0.167989508085486,-0.167989508085486,-0.167989508085486,-0.167989508085486,-0.167989508085486,-0.138363727504393,-0.114845318549928,0.0691019105427332,0.114845318549928,0.144567537340735,0.167989508085486,0.169565374812186,0.169565374812186,0.169565374812186
"MIR200",-0.148408680126293,-0.148408680126293,-0.148408680126293,-0.148408680126293,-0.148408680126293,-0.132530811062414,-0.0260749030163768,0.146128142794209,0.0260749030163768,0.134200400084371,0.148408680126293,0.144546724497698,0.144546724497698,0.144546724497698
"MIR340",-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.136098355336108,-0.116054995969283,0.167989508085486,0.116054995969283,0.144746963178056,0.169565374812186,0.166741845400421,0.166741845400421,0.166741845400421
"MIR1199",-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.136098355336108,-0.116054995969283,0.167989508085486,0.116054995969283,0.144746963178056,0.169565374812186,0.166741845400421,0.166741845400421,0.166741845400421
"HA",-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.169565374812186,-0.136098355336108,-0.116054995969283,0.167989508085486,0.116054995969283,0.144746963178056,0.169565374812186,0.166741845400421,0.166741845400421,0.166741845400421
"ESRP1",-0.166741845400421,-0.166741845400421,-0.166741845400421,-0.166741845400421,-0.166741845400421,-0.139175278413031,-0.114150959411781,0.169565374812186,0.114150959411781,0.144187410819942,0.166741845400421,0.170372208436725,0.0703722084367246,0.170372208436725
