"","MIR34","MIR190","MIR1199","HAS2","ESRP1","CD24","TGFB","MIR200","ZEB1","HA","CD44s","MIR340","GRHL2","SNAIL1"
"TGFB",0.13371649788138,0.0837765466465121,0.0837765466465121,0.0837765466465121,0.0837765466465121,0.0862255262383488,-0.0352635987303353,-0.0522353314536456,-0.0860156358305728,-0.0862255262383488,-0.0862255262383488,-0.0837765466465121,-0.0837765466465121,-0.0726811819956355
"MIR34",0.13371649788138,0.0837765466465121,0.0837765466465121,0.0837765466465121,0.0837765466465121,0.0862255262383488,-0.0352635987303353,-0.0522353314536456,-0.0860156358305728,-0.0862255262383488,-0.0862255262383488,-0.0837765466465121,-0.0837765466465121,-0.0726811819956355
"MIR190",0.129544398794026,0.0862255262383488,0.0862255262383488,0.0862255262383488,0.0862255262383488,0.0875879240585123,0.0615516878938686,-0.0449341580507773,-0.0837765466465121,-0.0875879240585123,-0.0875879240585123,-0.0862255262383488,-0.0862255262383488,-0.0832359857845395
"MIR340",0.103939387267263,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0680107117411493,0.0542369722306359,0.0495858319229491,-0.0740426528381644,-0.0680107117411493,-0.0680107117411493,-0.0731871823293846,-0.0731871823293846,-0.107775683293176
"MIR1199",0.103939387267263,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0680107117411493,0.0542369722306359,0.0495858319229491,-0.0740426528381644,-0.0680107117411493,-0.0680107117411493,-0.0731871823293846,-0.0731871823293846,-0.107775683293176
"HA",0.103939387267263,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0680107117411493,0.0542369722306359,0.0495858319229491,-0.0740426528381644,-0.0680107117411493,-0.0680107117411493,-0.0731871823293846,-0.0731871823293846,-0.107775683293176
"CD44s",0.103939387267263,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0680107117411493,0.0542369722306359,0.0495858319229491,-0.0740426528381644,-0.0680107117411493,-0.0680107117411493,-0.0731871823293846,-0.0731871823293846,-0.107775683293176
"CD24",0.103939387267263,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0731871823293846,0.0680107117411493,0.0542369722306359,0.0495858319229491,-0.0740426528381644,-0.0680107117411493,-0.0680107117411493,-0.0731871823293846,-0.0731871823293846,-0.107775683293176
"ZEB1",-0.103939387267263,-0.0740426528381644,-0.0740426528381644,-0.0740426528381644,-0.0740426528381644,-0.0731871823293846,-0.0589988769925407,-0.0506803019690321,-0.0278999007065807,0.0731871823293846,0.0731871823293846,0.0740426528381644,0.0740426528381644,0.108672812479779
"GRHL2",-0.000695462554990052,-0.0120781285374414,-0.0120781285374414,-0.0120781285374414,-0.0120781285374414,-0.116327911711769,-0.0249843326436096,-0.0274863874677296,0.0128921956165687,0.0163279117117692,0.0163279117117692,0.0120781285374414,0.0120781285374414,-0.0781950252556259
"MIR200",0.010936753489983,-0.0611592788346551,-0.0611592788346551,-0.0611592788346551,-0.0611592788346551,-0.0571329846686732,-0.0550555215818349,-0.153542837138232,0.0625026090439647,0.0571329846686732,0.0571329846686732,0.0611592788346551,0.0611592788346551,-0.0269958979045652
"HAS2",-0.101730704860561,-0.0680107117411493,-0.0680107117411493,-0.0680107117411493,-0.0680107117411493,-0.069660876757651,-0.0565446645383282,-0.0450923056472446,0.0731871823293846,-0.0303391232423491,0.069660876757651,0.0680107117411493,0.0680107117411493,0.109294468265199
"ESRP1",-0.101730704860561,-0.0680107117411493,-0.0680107117411493,-0.0680107117411493,-0.0680107117411493,-0.069660876757651,-0.0565446645383282,-0.0450923056472446,0.0731871823293846,0.069660876757651,-0.0303391232423491,0.0680107117411493,0.0680107117411493,0.109294468265199
"SNAIL1",-0.131358122000028,-0.0860156358305728,-0.0860156358305728,-0.0860156358305728,-0.0860156358305728,-0.0837765466465121,0.0406733043787044,0.0470080034692061,0.0858029603733206,0.0837765466465121,0.0837765466465121,0.0860156358305728,0.0860156358305728,-0.0209961068258111
