"","MIR340","MIR190","HAS2","GRHL2","ESRP1","CD44s","CD24","SNAIL1","TGFB","ZEB1","MIR34","MIR200","HA","MIR1199"
"MIR340",0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.214844524154649,0.214844524154649,0.0966669567239101,0.00663867839912856,-0.217736279325875,-0.182220280705242,-0.182220280705242,-0.214844524154649,-0.215079818272296
"MIR1199",0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.214844524154649,0.214844524154649,0.0966669567239101,0.00663867839912856,-0.217736279325875,-0.182220280705242,-0.182220280705242,-0.214844524154649,-0.215079818272296
"CD44s",0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.214844524154649,0.214844524154649,0.0966669567239101,0.00663867839912856,-0.217736279325875,-0.182220280705242,-0.182220280705242,-0.214844524154649,-0.215079818272296
"CD24",0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.215079818272296,0.214844524154649,0.214844524154649,0.0966669567239101,0.00663867839912856,-0.217736279325875,-0.182220280705242,-0.182220280705242,-0.214844524154649,-0.215079818272296
"HAS2",0.214844524154649,0.214844524154649,0.214844524154649,0.214844524154649,0.214844524154649,0.213854425144748,0.213854425144748,0.0986653580028869,0.00715149891194907,-0.215079818272296,-0.180468567072341,-0.180468567072341,-0.313854425144748,-0.214844524154649
"ESRP1",0.214844524154649,0.214844524154649,0.214844524154649,0.214844524154649,0.214844524154649,0.313854425144748,0.213854425144748,0.0986653580028869,0.00715149891194907,-0.215079818272296,-0.180468567072341,-0.180468567072341,-0.213854425144748,-0.214844524154649
"SNAIL1",0.1357870948522,0.1357870948522,0.1357870948522,0.1357870948522,0.1357870948522,0.134762426920511,0.134762426920511,-0.0234890744260672,0.0940883627257336,-0.135971413581818,-0.159835153732945,-0.159835153732945,-0.134762426920511,-0.1357870948522
"MIR190",0.135170590185817,0.135170590185817,0.135170590185817,0.135170590185817,0.135170590185817,0.130538437597261,0.130538437597261,0.0784551378719226,-0.00484803928289074,-0.134762426920511,-0.157747297344751,-0.157747297344751,-0.130538437597261,-0.135170590185817
"GRHL2",-0.0403408660292282,-0.0403408660292282,-0.0403408660292282,-0.0403408660292282,-0.0403408660292282,-0.040427596298092,0.059572403701908,-0.0727582827885906,-0.00494730259340553,0.0421969389696385,0.0377405614600338,0.0377405614600338,0.040427596298092,0.0403408660292282
"ZEB1",-0.217736279325875,-0.217736279325875,-0.217736279325875,-0.217736279325875,-0.217736279325875,-0.215079818272296,-0.215079818272296,-0.098221980647355,-0.00760955218553633,0.117819294434625,0.183199543378053,0.183199543378053,0.215079818272296,0.217736279325875
"TGFB",-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.135170590185817,-0.135170590185817,-0.071553920009947,-0.0915426188912069,0.1357870948522,0.161658640239145,0.161658640239145,0.135170590185817,0.134762426920511
"MIR34",-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.134762426920511,-0.135170590185817,-0.135170590185817,-0.071553920009947,-0.0915426188912069,0.1357870948522,0.161658640239145,0.161658640239145,0.135170590185817,0.134762426920511
"MIR200",-0.147174994262495,-0.147174994262495,-0.147174994262495,-0.147174994262495,-0.147174994262495,-0.148407533292897,-0.148407533292897,0.0308420831173357,-0.00320248267495162,0.14914312922032,0.0338845357985087,0.0338845357985087,0.148407533292897,0.147174994262495
"HA",-0.215079818272296,-0.215079818272296,-0.215079818272296,-0.215079818272296,-0.215079818272296,-0.214844524154649,-0.214844524154649,-0.0966669567239101,-0.00663867839912856,0.217736279325875,0.182220280705242,0.182220280705242,0.214844524154649,0.215079818272296
