"","MIR34","MIR340","MIR1199","HAS2","ESRP1","CD24","TGFB","MIR200","ZEB1","HA","CD44s","MIR190","GRHL2","SNAIL1"
"GRHL2",0.307320033205448,0.21656825788805,0.21656825788805,0.21656825788805,0.21656825788805,0.115961146006003,0.157216778164191,-0.11478768217939,-0.216926447402866,-0.215961146006003,-0.215961146006003,-0.21656825788805,-0.21656825788805,-0.332182612449271
"TGFB",0.329541685865357,0.122475287420448,0.122475287420448,0.122475287420448,0.122475287420448,0.122271205787795,-0.123279428774284,0.202533145724288,-0.122892744725951,-0.122271205787795,-0.122271205787795,-0.122475287420448,-0.122475287420448,-0.470033049421084
"MIR34",0.329541685865357,0.122475287420448,0.122475287420448,0.122475287420448,0.122475287420448,0.122271205787795,-0.123279428774284,0.202533145724288,-0.122892744725951,-0.122271205787795,-0.122271205787795,-0.122475287420448,-0.122475287420448,-0.470033049421084
"MIR340",0.207051802044494,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,0.0542920041520382,-0.0138807776083191,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.306246480966925
"HA",0.207051802044494,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,0.0542920041520382,-0.0138807776083191,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.306246480966925
"ESRP1",0.204843119637792,0.114507038793209,0.114507038793209,0.114507038793209,0.114507038793209,0.114177005789909,0.05608687594691,-0.0151755224674204,-0.115212921146151,-0.114177005789909,-0.214177005789909,-0.114507038793209,-0.114507038793209,-0.303448719176358
"ZEB1",-0.208203875777213,-0.11543804496425,-0.11543804496425,-0.11543804496425,-0.11543804496425,-0.115212921146151,-0.0537834512163008,0.0130167223087799,0.0156206782035,0.115212921146151,0.115212921146151,0.11543804496425,0.11543804496425,0.30774169627793
"HAS2",-0.204843119637792,-0.114507038793209,-0.114507038793209,-0.114507038793209,-0.114507038793209,-0.114177005789909,-0.05608687594691,0.0151755224674204,0.115212921146151,0.014177005789909,0.114177005789909,0.114507038793209,0.114507038793209,0.303448719176358
"MIR1199",-0.207051802044494,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.114507038793209,-0.0542920041520382,0.0138807776083191,0.11543804496425,0.114507038793209,0.114507038793209,0.115212921146151,0.115212921146151,0.306246480966925
"CD44s",-0.207051802044494,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.114507038793209,-0.0542920041520382,0.0138807776083191,0.11543804496425,0.114507038793209,0.114507038793209,0.115212921146151,0.115212921146151,0.306246480966925
"CD24",-0.207051802044494,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.115212921146151,-0.114507038793209,-0.0542920041520382,0.0138807776083191,0.11543804496425,0.114507038793209,0.114507038793209,0.115212921146151,0.115212921146151,0.306246480966925
"MIR190",-0.32745563632168,-0.122271205787795,-0.122271205787795,-0.122271205787795,-0.122271205787795,-0.120908807967631,0.0224301718740717,-0.200707852373571,0.122475287420448,0.120908807967631,0.120908807967631,0.122271205787795,0.122271205787795,0.467191371477918
"SNAIL1",-0.330830282996405,-0.122892744725951,-0.122892744725951,-0.122892744725951,-0.122892744725951,-0.122475287420448,0.12431363720706,-0.203286853480184,0.122991993272669,0.122475287420448,0.122475287420448,0.122892744725951,0.122892744725951,0.371702245172223
"MIR200",-0.342739627256333,-0.137083122893361,-0.137083122893361,-0.137083122893361,-0.137083122893361,-0.136179260937732,-0.0586345468924381,-0.0915421923284678,0.137301804555342,0.136179260937732,0.136179260937732,0.137083122893361,0.137083122893361,0.42663289885755
