"","SNAIL1","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","ZEB1","ESRP1","HA","TGFB","MIR200"
"MIR340",0.234016036274599,0.106153027213391,0.106153027213391,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.031795060834522,-0.106633785748233,-0.106858909566333,-0.106153027213391,-0.149883561943804,-0.178510237602775
"MIR1199",0.234016036274599,0.106153027213391,0.106153027213391,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.031795060834522,-0.106633785748233,-0.106858909566333,-0.106153027213391,-0.149883561943804,-0.178510237602775
"HA",0.234016036274599,0.106153027213391,0.106153027213391,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.031795060834522,-0.106633785748233,-0.106858909566333,-0.106153027213391,-0.149883561943804,-0.178510237602775
"CD44s",0.234016036274599,0.106153027213391,0.106153027213391,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.106858909566333,0.031795060834522,-0.106633785748233,-0.106858909566333,-0.106153027213391,-0.149883561943804,-0.178510237602775
"MIR34",0.259330135089058,0.089493500094558,0.089493500094558,0.089697581727211,0.089697581727211,0.089697581727211,0.089697581727211,0.089697581727211,-0.12970013444626,-0.0901150390327139,-0.089697581727211,-0.089493500094558,-0.206848859842543,-0.218027921505925
"SNAIL1",0.158874899884202,0.089697581727211,0.089697581727211,0.0901150390327139,0.0901150390327139,0.0901150390327139,0.0901150390327139,0.0901150390327139,-0.129432689758684,-0.0900157904859962,-0.0901150390327139,-0.089697581727211,-0.207485295801175,-0.218295366193501
"MIR190",0.259330135089058,0.0908558979147215,0.0908558979147215,0.089493500094558,0.089493500094558,0.089493500094558,0.089493500094558,0.089493500094558,-0.129048243963861,-0.089697581727211,-0.089493500094558,-0.0908558979147215,-0.307698116742756,-0.217115274830567
"MIR200",-0.0391973713901623,0.0869562032936222,0.0869562032936222,0.0878600652492508,0.0878600652492508,0.0878600652492508,0.0878600652492508,0.0878600652492508,0.163761691940756,-0.0876413835872702,-0.0878600652492508,-0.0869562032936222,0.0932748399690713,-0.0185291240082705
"ZEB1",-0.23425527072436,-0.106858909566333,-0.106858909566333,-0.106633785748233,-0.106633785748233,-0.106633785748233,-0.106633785748233,-0.106633785748233,-0.0318526645211579,0.00648435855248291,0.106633785748233,0.106858909566333,0.150484579049676,0.178164615482959
"TGFB",-0.259330135089058,-0.089493500094558,-0.089493500094558,-0.089697581727211,-0.089697581727211,-0.089697581727211,-0.089697581727211,-0.089697581727211,0.12970013444626,0.0901150390327139,0.089697581727211,0.089493500094558,0.206848859842543,0.218027921505925
"CD24",-0.234016036274599,-0.106153027213391,-0.106153027213391,-0.106858909566333,-0.106858909566333,-0.106858909566333,-0.106858909566333,-0.106858909566333,-0.031795060834522,0.106633785748233,0.106858909566333,0.106153027213391,0.149883561943804,0.178510237602775
"HAS2",-0.234575588632712,-0.105822994210091,-0.105822994210091,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.0314142535230216,0.106858909566333,0.106153027213391,0.00582299421009099,0.148601510661753,0.177977107366675
"ESRP1",-0.234575588632712,-0.205822994210091,-0.105822994210091,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.106153027213391,-0.0314142535230216,0.106858909566333,0.106153027213391,0.105822994210091,0.148601510661753,0.177977107366675
"GRHL2",-0.260856986025972,-0.207953565752554,-0.107953565752554,-0.208560677634601,-0.208560677634601,-0.208560677634601,-0.208560677634601,-0.208560677634601,-0.132677376237099,0.208593240317766,0.208560677634601,0.207953565752554,0.249130554069826,0.279029915475026
