"","MIR34","ZEB1","MIR1199","HAS2","CD44s","CD24","MIR200","TGFB","HA","MIR340","MIR190","GRHL2","ESRP1","SNAIL1"
"SNAIL1",-0.180403135461287,-0.0825338745804357,0.0820943453021145,0.0820943453021145,0.0822840986227976,0.0822840986227976,-0.259806432900162,0.179256621724722,-0.0822840986227976,-0.0820943453021145,-0.0820943453021145,-0.0820943453021145,-0.0820943453021145,0.250792157858199
"ZEB1",-0.0843006035953384,-0.0698150699386083,-0.0294377940826436,-0.0294377940826436,-0.027321630192504,-0.027321630192504,0.018365165316093,0.0195631704912208,0.027321630192504,0.0294377940826436,0.0294377940826436,0.0294377940826436,0.0294377940826436,0.129757725594011
"MIR200",-0.038506140605685,-0.0628829120111133,0.0619144646509134,0.0619144646509134,0.0623253109943809,0.0623253109943809,-0.193416864559736,0.0101787165963315,-0.0623253109943809,-0.0619144646509134,-0.0619144646509134,-0.0619144646509134,-0.0619144646509134,0.139645755096459
"MIR340",0.0832637372358914,-0.0294377940826436,0.027321630192504,0.027321630192504,0.0277922184277981,0.0277922184277981,-0.0166946584036506,-0.0193320100658856,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.130236194493532
"MIR1199",0.0832637372358914,-0.0294377940826436,0.027321630192504,0.027321630192504,0.0277922184277981,0.0277922184277981,-0.0166946584036506,-0.0193320100658856,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.130236194493532
"HA",0.0832637372358914,-0.0294377940826436,0.027321630192504,0.027321630192504,0.0277922184277981,0.0277922184277981,-0.0166946584036506,-0.0193320100658856,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.130236194493532
"CD24",0.0832637372358914,-0.0294377940826436,0.027321630192504,0.027321630192504,0.0277922184277981,0.0277922184277981,-0.0166946584036506,-0.0193320100658856,-0.0277922184277981,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.027321630192504,-0.130236194493532
"ESRP1",0.0831875757735913,-0.027321630192504,0.0277922184277981,0.0277922184277981,-0.065277088502895,0.034722911497105,-0.0173801115643513,-0.0185627792966548,-0.034722911497105,-0.0277922184277981,-0.0277922184277981,-0.0277922184277981,-0.0277922184277981,-0.131115491056282
"HAS2",-0.0831875757735913,0.027321630192504,-0.0277922184277981,-0.0277922184277981,-0.034722911497105,-0.034722911497105,0.0173801115643513,0.0185627792966548,-0.065277088502895,0.0277922184277981,0.0277922184277981,0.0277922184277981,0.0277922184277981,0.131115491056282
"GRHL2",-0.00872875878244391,0.0275098737198543,-0.029170570561274,-0.029170570561274,-0.0306449851319592,-0.130644985131959,0.0424131609253639,-0.00926754991742796,0.0306449851319592,0.029170570561274,0.029170570561274,0.029170570561274,0.029170570561274,-0.0891265966264193
"CD44s",-0.0832637372358914,0.0294377940826436,-0.027321630192504,-0.027321630192504,-0.0277922184277981,-0.0277922184277981,0.0166946584036506,0.0193320100658856,0.0277922184277981,0.027321630192504,0.027321630192504,0.027321630192504,0.027321630192504,0.130236194493532
"TGFB",0.180330196001039,0.0820943453021145,-0.0822840986227976,-0.0822840986227976,-0.0839167516840221,-0.0839167516840221,0.259976624974074,-0.179256621724722,0.0839167516840221,0.0822840986227976,0.0822840986227976,0.0822840986227976,0.0822840986227976,-0.350488667721629
"MIR34",0.180330196001039,0.0820943453021145,-0.0822840986227976,-0.0822840986227976,-0.0839167516840221,-0.0839167516840221,0.259976624974074,-0.179256621724722,0.0839167516840221,0.0822840986227976,0.0822840986227976,0.0822840986227976,0.0822840986227976,-0.350488667721629
"MIR190",0.1792871712292,0.0822840986227976,-0.0839167516840221,-0.0839167516840221,-0.0841892312480548,-0.0841892312480548,0.261019649745913,-0.0790443074996687,0.0841892312480548,0.0839167516840221,0.0839167516840221,0.0839167516840221,0.0839167516840221,-0.350623985718922
