"","SNAIL1","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD24","ZEB1","MIR34","HA","CD44s","GRHL2","TGFB","MIR200"
"MIR200",-0.0024999125241658,0.103982719838182,0.103982719838182,0.103982719838182,0.103982719838182,0.103982719838182,0.105543935943359,-0.105076128148086,-0.167169677148981,-0.105543935943359,-0.105543935943359,-0.103982719838182,0.0811766058156719,-0.028994677316067
"MIR340",0.115887570614651,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0952034657560049,-0.0949928558028836,-0.0670023192266904,-0.0952034657560049,-0.0952034657560049,-0.0944975834030637,-0.113725624301092,-0.126418721356469
"HA",0.115887570614651,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0944975834030637,0.0952034657560049,-0.0949928558028836,-0.0670023192266904,-0.0952034657560049,-0.0952034657560049,-0.0944975834030637,-0.113725624301092,-0.126418721356469
"ESRP1",0.115168146154219,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0952034657560049,0.0955334987593052,-0.0944975834030637,-0.0679924182365914,-0.0955334987593052,-0.195533498759305,-0.0952034657560049,-0.115007675583144,-0.126342559894169
"SNAIL1",-0.0706292558748654,0.0176925539584834,0.0176925539584834,0.0176925539584834,0.0176925539584834,0.0176925539584834,0.017426899309527,-0.0183589370578737,0.0530714854205731,-0.017426899309527,-0.017426899309527,-0.0176925539584834,-0.0870235865888373,-0.0733934348102235
"MIR190",0.0273193451889243,0.0198758789013638,0.0198758789013638,0.0198758789013638,0.0198758789013638,0.0198758789013638,0.0163336445689387,-0.017426899309527,0.0509343687450148,-0.0163336445689387,-0.0163336445689387,-0.0198758789013638,-0.188189541318783,-0.0740450083023563
"ZEB1",-0.114930632815608,-0.0949928558028836,-0.0949928558028836,-0.0949928558028836,-0.0949928558028836,-0.0949928558028836,-0.0944975834030637,-0.00495733513186652,0.0670599229133263,0.0944975834030637,0.0944975834030637,0.0949928558028836,0.113494463875757,0.126994758222829
"GRHL2",-0.0827518532689122,0.0023948787667773,0.0023948787667773,0.0023948787667773,0.0023948787667773,0.0023948787667773,-0.0980387725775419,-0.00184131315297072,-0.0164357879180791,-0.00196122742245813,-0.00196122742245813,-0.0023948787667773,0.00609921023306348,0.0133776980104099
"TGFB",-0.030837613118559,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.0198758789013638,0.0176925539584834,-0.0519773935168532,0.0198758789013638,0.0198758789013638,0.017426899309527,0.0892511124440482,0.0719589587586796
"MIR34",-0.030837613118559,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.017426899309527,-0.0198758789013638,0.0176925539584834,-0.0519773935168532,0.0198758789013638,0.0198758789013638,0.017426899309527,0.0892511124440482,0.0719589587586796
"HAS2",-0.115168146154219,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0952034657560049,-0.0955334987593052,0.0944975834030637,0.0679924182365914,-0.00446650124069479,0.0955334987593052,0.0952034657560049,0.115007675583144,0.126342559894169
"MIR1199",-0.115887570614651,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0952034657560049,0.0949928558028836,0.0670023192266904,0.0952034657560049,0.0952034657560049,0.0944975834030637,0.113725624301092,0.126418721356469
"CD44s",-0.115887570614651,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0952034657560049,0.0949928558028836,0.0670023192266904,0.0952034657560049,0.0952034657560049,0.0944975834030637,0.113725624301092,0.126418721356469
"CD24",-0.115887570614651,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0944975834030637,-0.0952034657560049,0.0949928558028836,0.0670023192266904,0.0952034657560049,0.0952034657560049,0.0944975834030637,0.113725624301092,0.126418721356469
