"","MIR340","MIR190","MIR1199","ESRP1","MIR200","SNAIL1","TGFB","ZEB1","HAS2","GRHL2","HA","CD44s","CD24","MIR34"
"GRHL2",0.198944580447399,0.198944580447399,0.198944580447399,0.198944580447399,0.177786713481712,0.10397618140939,0.011557472084931,-0.198781767031573,-0.198944580447399,-0.198944580447399,-0.198684389640807,-0.198684389640807,-0.0986843896408073,-0.220849475031934
"TGFB",0.104965025671183,0.104965025671183,0.104965025671183,0.104965025671183,0.129742786510234,-0.0304268050656073,-0.0809550740352024,-0.106748706885604,-0.104965025671183,-0.104965025671183,-0.10741400526302,-0.10741400526302,-0.10741400526302,0.0241514370293402
"MIR34",0.104965025671183,0.104965025671183,0.104965025671183,0.104965025671183,0.129742786510234,-0.0304268050656073,-0.0809550740352024,-0.106748706885604,-0.104965025671183,-0.104965025671183,-0.10741400526302,-0.10741400526302,-0.10741400526302,0.0241514370293402
"MIR190",0.10741400526302,0.10741400526302,0.10741400526302,0.10741400526302,0.124006150265124,-0.0449058307760268,0.0128878134382583,-0.104965025671183,-0.10741400526302,-0.10741400526302,-0.103871770930594,-0.103871770930594,-0.103871770930594,0.0152857264687144
"ESRP1",0.0980587016518029,0.0980587016518029,0.0980587016518029,0.0980587016518029,0.0915370447778883,0.0838966675769387,0.00451610391793861,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0990488006617039,-0.199048800661704,-0.0990488006617039,-0.106169527845443
"MIR1199",0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0899376540695867,0.079819928967826,0.00272123212306681,-0.0982693116049242,-0.0987645840047441,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.108682856101346
"CD24",0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0899376540695867,0.079819928967826,0.00272123212306681,-0.0982693116049242,-0.0987645840047441,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.108682856101346
"MIR200",0.0778173108180579,0.0778173108180579,0.0778173108180579,0.0778173108180579,-0.0192275001644553,0.103835667459583,0.00354556226609266,-0.0782234339045933,-0.0778173108180579,-0.0778173108180579,-0.0783924956989124,-0.0783924956989124,-0.0783924956989124,-0.187476557549306
"ZEB1",-0.0982693116049242,-0.0982693116049242,-0.0982693116049242,-0.0982693116049242,-0.0910897278023056,-0.0827505509773953,-0.0039694984198768,-0.0013820249383267,0.0982693116049242,0.0982693116049242,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.106897141815632
"MIR340",-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0899376540695867,-0.079819928967826,-0.00272123212306681,0.0982693116049242,0.0987645840047441,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.0980587016518029,0.108682856101346
"HA",-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0899376540695867,-0.079819928967826,-0.00272123212306681,0.0982693116049242,0.0987645840047441,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.0980587016518029,0.108682856101346
"CD44s",-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0899376540695867,-0.079819928967826,-0.00272123212306681,0.0982693116049242,0.0987645840047441,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.0980587016518029,0.108682856101346
"HAS2",-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0915370447778883,-0.0838966675769387,-0.00451610391793861,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.199048800661704,0.0990488006617039,0.0990488006617039,0.106169527845443
"SNAIL1",-0.106748706885604,-0.106748706885604,-0.106748706885604,-0.106748706885604,-0.125682489889763,-0.0592545302909936,0.0854101257456241,0.105486832505907,0.106748706885604,0.106748706885604,0.104965025671183,0.104965025671183,0.104965025671183,-0.0178057039877647
