"","TGFB","ZEB1","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","ESRP1","HA","CD44s","CD24","MIR200","SNAIL1"
"SNAIL1",-0.0136989648558009,-0.0823948103310248,0.0824657021501089,0.0824657021501089,0.0824657021501089,0.0824657021501089,0.0824657021501089,0.0902085569078944,-0.0824657021501089,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,0.0109308935928201,-0.0988899162469236
"MIR200",-0.0942552117678573,-0.0796864914998366,0.0801550950612236,0.0801550950612236,0.0801550950612236,0.0801550950612236,0.0801550950612236,0.159368993606436,-0.0801550950612236,-0.079251233105595,-0.079251233105595,-0.079251233105595,-0.0236374727332429,-0.000642394757002812
"ZEB1",-0.0768109358358247,-0.0529569110292979,-0.0473253403404513,-0.0473253403404513,-0.0473253403404513,-0.0473253403404513,-0.0473253403404513,-0.0430046234367181,0.0473253403404513,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0949763630064573,0.104877749270436
"HAS2",0.07490688519391,-0.0479106622675112,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0439409794792703,-0.0474400740322171,-0.145789909015715,-0.0457899090157155,-0.0457899090157155,-0.0941795631917719,-0.104797813219277
"ESRP1",0.07490688519391,-0.0479106622675112,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.0439409794792703,-0.0474400740322171,-0.0457899090157155,0.0542100909842845,-0.0457899090157155,-0.0941795631917719,-0.104797813219277
"MIR1199",0.075932526219551,-0.0473253403404513,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0434078492431697,-0.0479106622675112,-0.0474400740322171,-0.0474400740322171,-0.0474400740322171,-0.095321985126273,-0.104877749270436
"CD44s",0.075932526219551,-0.0473253403404513,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0434078492431697,-0.0479106622675112,-0.0474400740322171,-0.0474400740322171,-0.0474400740322171,-0.095321985126273,-0.104877749270436
"CD24",0.075932526219551,-0.0473253403404513,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0479106622675112,0.0434078492431697,-0.0479106622675112,-0.0474400740322171,-0.0474400740322171,-0.0474400740322171,-0.095321985126273,-0.104877749270436
"GRHL2",-0.00763893198120854,0.0184808672849418,-0.0179273016711352,-0.0179273016711352,-0.0179273016711352,-0.0179273016711352,-0.0179273016711352,-0.0253784599013649,0.0179273016711352,0.0178405714022714,0.0178405714022714,-0.0821594285977286,-0.00122800613713988,-0.0774083235482425
"MIR340",-0.075932526219551,0.0473253403404513,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0434078492431697,0.0479106622675112,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.095321985126273,0.104877749270436
"HA",-0.075932526219551,0.0473253403404513,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0479106622675112,-0.0434078492431697,0.0479106622675112,0.0474400740322171,0.0474400740322171,0.0474400740322171,0.095321985126273,0.104877749270436
"MIR190",0.115318430877924,0.0822759488294258,-0.0824800304620789,-0.0824800304620789,-0.0824800304620789,-0.0824800304620789,-0.0824800304620789,-0.0895964804029277,0.0824800304620789,0.08057267351385,0.08057267351385,0.08057267351385,-0.0103011924290537,-0.0024783903205509
"TGFB",0.0129829744023403,0.0824657021501089,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0903787489818064,0.0822759488294258,0.0824800304620789,0.0824800304620789,0.0824800304620789,-0.0113442172008921,-0.00166648233678906
"MIR34",0.0129829744023403,0.0824657021501089,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0822759488294258,-0.0903787489818064,0.0822759488294258,0.0824800304620789,0.0824800304620789,0.0824800304620789,-0.0113442172008921,-0.00166648233678906
