"","MIR200","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD24","SNAIL1","TGFB","ZEB1","HA","CD44s","MIR340","MIR34"
"MIR200",0.231406943917719,0.126568308513304,0.126568308513304,0.126568308513304,0.126568308513304,0.126568308513304,0.126486139244611,0.131212612047736,0.207963517198288,-0.126662029225582,-0.126486139244611,-0.126486139244611,-0.126568308513304,-0.231406943917719
"SNAIL1",0.159609497001148,0.117501751201003,0.117501751201003,0.117501751201003,0.117501751201003,0.117501751201003,0.117463800536866,-0.000835336092397467,0.0994023559482723,-0.117544286292453,-0.117463800536866,-0.117463800536866,-0.117501751201003,-0.159609497001148
"TGFB",0.159487931234068,0.117463800536866,0.117463800536866,0.117463800536866,0.117463800536866,0.117463800536866,0.117259718904213,0.0991646639076025,0.0994023559482723,-0.117501751201003,-0.117259718904213,-0.117259718904213,-0.117463800536866,-0.159487931234068
"MIR340",0.112892960125738,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.0875138249208696,0.00493430434181333,-0.102939160331023,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.112892960125738
"HA",0.112892960125738,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.0875138249208696,0.00493430434181333,-0.102939160331023,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.112892960125738
"ESRP1",0.112664475738838,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102894135567403,0.102564102564103,0.0875937609720286,0.00519071459822358,-0.102894135567403,-0.102564102564103,-0.202564102564103,-0.102894135567403,-0.112664475738838
"GRHL2",0.00982911265665523,0.00122888009032884,0.00122888009032884,0.00122888009032884,0.00122888009032884,0.00122888009032884,0.101315610359193,0.0689617061958118,0.00428154881811145,-0.00126144277349394,-0.00131561035919268,-0.00131561035919268,-0.00122888009032884,-0.00982911265665523
"ZEB1",-0.112892960125738,-0.102939160331023,-0.102939160331023,-0.102939160331023,-0.102939160331023,-0.102939160331023,-0.102894135567403,-0.0875736335333098,-0.00507300059701443,0.00295576335277284,0.102894135567403,0.102894135567403,0.102939160331023,0.112892960125738
"HAS2",-0.112664475738838,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102564102564103,-0.0875937609720286,-0.00519071459822358,0.102894135567403,0.00256410256410256,0.102564102564103,0.102894135567403,0.112664475738838
"MIR1199",-0.112892960125738,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.0875138249208696,-0.00493430434181333,0.102939160331023,0.102894135567403,0.102894135567403,0.102894135567403,0.112892960125738
"CD44s",-0.112892960125738,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.0875138249208696,-0.00493430434181333,0.102939160331023,0.102894135567403,0.102894135567403,0.102894135567403,0.112892960125738
"CD24",-0.112892960125738,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.102894135567403,-0.0875138249208696,-0.00493430434181333,0.102939160331023,0.102894135567403,0.102894135567403,0.102894135567403,0.112892960125738
"MIR190",-0.159357553137588,-0.117259718904213,-0.117259718904213,-0.117259718904213,-0.117259718904213,-0.117259718904213,-0.11698723934018,-0.0988940279130152,-0.199190041723219,0.117463800536866,0.11698723934018,0.11698723934018,0.117259718904213,0.159357553137588
"MIR34",-0.159487931234068,-0.117463800536866,-0.117463800536866,-0.117463800536866,-0.117463800536866,-0.117463800536866,-0.117259718904213,-0.0991646639076025,-0.0994023559482723,0.117501751201003,0.117259718904213,0.117259718904213,0.117463800536866,0.159487931234068
