"","MIR1199","GRHL2","ESRP1","TGFB","MIR34","MIR200","ZEB1","MIR340","MIR190","HAS2","HA","CD44s","CD24","SNAIL1"
"GRHL2",0.19213316451631,0.19213316451631,0.19213316451631,0.175774035465657,0.163252832707218,0.163252832707218,-0.192100601833145,-0.19213316451631,-0.19213316451631,-0.19213316451631,-0.192046434247446,-0.192046434247446,-0.292046434247446,-0.134106026278527
"HAS2",0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0791998144868393,0.0686962217705836,0.0686962217705836,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087,-0.0938469727866087,0.00582299421009099,-0.094177005789909,-0.094177005789909,-0.107825945352943
"ESRP1",0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0791998144868393,0.0686962217705836,0.0686962217705836,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087,-0.0938469727866087,-0.094177005789909,-0.194177005789909,-0.094177005789909,-0.107825945352943
"MIR340",0.0940822669042557,0.0940822669042557,0.0940822669042557,0.078943404230429,0.0684677373836834,0.0684677373836834,-0.0939471926133958,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087,-0.0938469727866087,-0.107746009301784
"HA",0.0940822669042557,0.0940822669042557,0.0940822669042557,0.078943404230429,0.0684677373836834,0.0684677373836834,-0.0939471926133958,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087,-0.0938469727866087,-0.107746009301784
"MIR190",0.0853116808333991,0.0853116808333991,0.0853116808333991,0.018403458502991,0.0856763937172985,0.0856763937172985,-0.085107599200746,-0.0853116808333991,-0.0853116808333991,-0.0853116808333991,-0.084494242141301,-0.084494242141301,-0.084494242141301,-0.0130290490100617
"SNAIL1",0.0850696485366094,0.0850696485366094,0.0850696485366094,0.118668977963439,0.0854244498537387,0.0854244498537387,-0.0850554701727926,-0.0850696485366094,-0.0850696485366094,-0.0850696485366094,-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.113249103315221
"MIR200",0.0792261777022346,0.0792261777022346,0.0792261777022346,0.0809626494142007,-0.0172011037103506,-0.0172011037103506,-0.0791949374648088,-0.0792261777022346,-0.0792261777022346,-0.0792261777022346,-0.0793083469709281,-0.0793083469709281,-0.0793083469709281,-0.0987852948849442
"ZEB1",-0.0939471926133958,-0.0939471926133958,-0.0939471926133958,-0.078897172145362,-0.0684101336970474,-0.0684101336970474,-0.00613582249535402,0.0939471926133958,0.0939471926133958,0.0939471926133958,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.107626392076904
"TGFB",-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.118828086953097,-0.0855460156208187,-0.0855460156208187,0.0850696485366094,0.085107599200746,0.085107599200746,0.085107599200746,0.0853116808333991,0.0853116808333991,0.0853116808333991,0.0132996850046489
"MIR34",-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.118828086953097,-0.0855460156208187,-0.0855460156208187,0.0850696485366094,0.085107599200746,0.085107599200746,0.085107599200746,0.0853116808333991,0.0853116808333991,0.0853116808333991,0.0132996850046489
"MIR1199",-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.078943404230429,-0.0684677373836834,-0.0684677373836834,0.0939471926133958,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.107746009301784
"CD44s",-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.078943404230429,-0.0684677373836834,-0.0684677373836834,0.0939471926133958,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.107746009301784
"CD24",-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.078943404230429,-0.0684677373836834,-0.0684677373836834,0.0939471926133958,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.107746009301784
