"","SNAIL1","MIR190","HAS2","ESRP1","CD24","MIR200","ZEB1","MIR34","TGFB","HA","CD44s","MIR340","MIR1199","GRHL2"
"GRHL2",0.233517279873937,0.204766305318894,0.204766305318894,0.204766305318894,0.104853035587757,0.139804666218438,-0.205059369467379,-0.139804666218438,-0.166792665403612,-0.204853035587757,-0.204853035587757,-0.204766305318894,-0.204766305318894,-0.204766305318894
"MIR200",0.253353092755395,0.116059525891629,0.116059525891629,0.116059525891629,0.115813018085549,-0.0412130629016908,-0.116090766129055,0.0412130629016908,-0.0806873563111573,-0.115813018085549,-0.115813018085549,-0.116059525891629,-0.116059525891629,-0.116059525891629
"MIR1199",0.206805198363307,0.103030514203077,0.103030514203077,0.103030514203077,0.102559925967783,0.0390167945823378,-0.103255638021177,-0.0390167945823378,-0.0637925570321069,-0.102559925967783,-0.102559925967783,-0.103030514203077,-0.103030514203077,-0.103030514203077
"CD44s",0.206805198363307,0.103030514203077,0.103030514203077,0.103030514203077,0.102559925967783,0.0390167945823378,-0.103255638021177,-0.0390167945823378,-0.0637925570321069,-0.102559925967783,-0.102559925967783,-0.103030514203077,-0.103030514203077,-0.103030514203077
"HAS2",0.20736475072142,0.102559925967783,0.102559925967783,0.102559925967783,0.104210090984285,0.0386359872708374,-0.103030514203077,-0.0386359872708374,-0.0648181980577479,-0.204210090984285,-0.104210090984285,-0.102559925967783,-0.102559925967783,-0.102559925967783
"SNAIL1",0.0742474146945646,0.0768138101489851,0.0768138101489851,0.0768138101489851,0.076624056828302,-0.103075696629576,-0.0769697721509701,0.103075696629576,0.077208931152348,-0.076624056828302,-0.076624056828302,-0.0768138101489851,-0.0768138101489851,-0.0768138101489851
"MIR190",0.173317916260954,0.0770322200936081,0.0770322200936081,0.0770322200936081,0.0773046996576408,-0.102693374669536,-0.076624056828302,0.102693374669536,-0.0226846583768617,-0.0773046996576408,-0.0773046996576408,-0.0770322200936081,-0.0770322200936081,-0.0770322200936081
"ZEB1",-0.206506155301106,-0.103255638021177,-0.103255638021177,-0.103255638021177,-0.103030514203077,-0.0393624167021535,0.003239034999427,0.0393624167021535,0.0642086457977102,0.103030514203077,0.103030514203077,0.103255638021177,0.103255638021177,0.103255638021177
"TGFB",-0.173994506247422,-0.076624056828302,-0.076624056828302,-0.076624056828302,-0.0770322200936081,0.102954130862496,0.0768138101489851,-0.102954130862496,-0.0768907131730322,0.0770322200936081,0.0770322200936081,0.076624056828302,0.076624056828302,0.076624056828302
"MIR34",-0.173994506247422,-0.076624056828302,-0.076624056828302,-0.076624056828302,-0.0770322200936081,0.102954130862496,0.0768138101489851,-0.102954130862496,-0.0768907131730322,0.0770322200936081,0.0770322200936081,0.076624056828302,0.076624056828302,0.076624056828302
"ESRP1",-0.20736475072142,-0.102559925967783,-0.102559925967783,-0.102559925967783,-0.104210090984285,-0.0386359872708374,0.103030514203077,0.0386359872708374,0.0648181980577479,0.104210090984285,0.00421009098428453,0.102559925967783,0.102559925967783,0.102559925967783
"MIR340",-0.206805198363307,-0.103030514203077,-0.103030514203077,-0.103030514203077,-0.102559925967783,-0.0390167945823378,0.103255638021177,0.0390167945823378,0.0637925570321069,0.102559925967783,0.102559925967783,0.103030514203077,0.103030514203077,0.103030514203077
"HA",-0.206805198363307,-0.103030514203077,-0.103030514203077,-0.103030514203077,-0.102559925967783,-0.0390167945823378,0.103255638021177,0.0390167945823378,0.0637925570321069,0.102559925967783,0.102559925967783,0.103030514203077,0.103030514203077,0.103030514203077
"CD24",-0.206805198363307,-0.103030514203077,-0.103030514203077,-0.103030514203077,-0.102559925967783,-0.0390167945823378,0.103255638021177,0.0390167945823378,0.0637925570321069,0.102559925967783,0.102559925967783,0.103030514203077,0.103030514203077,0.103030514203077
