"","MIR1199","GRHL2","HA","CD44s","TGFB","MIR34","SNAIL1","ZEB1","MIR200","CD24","MIR340","MIR190","HAS2","ESRP1"
"GRHL2",0.2214348227285,0.2214348227285,0.221521552997363,0.221521552997363,0.221144447181639,0.205757071234166,0.0652313028352263,-0.221988388342306,-0.222969918842908,-0.321521552997363,-0.2214348227285,-0.2214348227285,-0.2214348227285,-0.2214348227285
"MIR200",0.140573263770668,0.140573263770668,0.13966940181504,0.13966940181504,0.131798870449618,0.0171822694487484,0.143813184918037,-0.141041867332056,-0.230777167142439,-0.13966940181504,-0.140573263770668,-0.140573263770668,-0.140573263770668,-0.140573263770668
"MIR340",0.139482127106303,0.139482127106303,0.139011538871009,0.139011538871009,0.124505130086273,0.123012521300672,0.0403500610761643,-0.140067449033363,-0.119460948887878,-0.139011538871009,-0.139482127106303,-0.139482127106303,-0.139482127106303,-0.139482127106303
"MIR1199",0.139482127106303,0.139482127106303,0.139011538871009,0.139011538871009,0.124505130086273,0.123012521300672,0.0403500610761643,-0.140067449033363,-0.119460948887878,-0.139011538871009,-0.139482127106303,-0.139482127106303,-0.139482127106303,-0.139482127106303
"CD44s",0.139482127106303,0.139482127106303,0.139011538871009,0.139011538871009,0.124505130086273,0.123012521300672,0.0403500610761643,-0.140067449033363,-0.119460948887878,-0.139011538871009,-0.139482127106303,-0.139482127106303,-0.139482127106303,-0.139482127106303
"HAS2",0.139011538871009,0.139011538871009,0.0406617038875103,0.14066170388751,0.125530771111914,0.123545651536773,0.0404299971273234,-0.139482127106303,-0.118318526953377,-0.14066170388751,-0.139011538871009,-0.139011538871009,-0.139011538871009,-0.139011538871009
"SNAIL1",0.0813923839339336,0.0813923839339336,0.0812026306132504,0.0812026306132504,0.171639415287032,-0.0884276313402058,0.0437595407462411,-0.0814632757530176,-0.166357648162695,-0.0812026306132504,-0.0813923839339336,-0.0813923839339336,-0.0813923839339336,-0.0813923839339336
"MIR34",0.0812026306132504,0.0812026306132504,0.0809985489805974,0.0809985489805974,0.170923424833572,-0.0882574392662938,0.144315939329954,-0.0813923839339336,-0.165944324554623,-0.0809985489805974,-0.0812026306132504,-0.0812026306132504,-0.0812026306132504,-0.0812026306132504
"MIR190",0.0809985489805974,0.0809985489805974,0.0790911920323685,0.0790911920323685,0.0685879683579879,-0.087475170687415,0.143504031346192,-0.0812026306132504,-0.164901299782784,-0.0790911920323685,-0.0809985489805974,-0.0809985489805974,-0.0809985489805974,-0.0809985489805974
"ZEB1",-0.140067449033363,-0.140067449033363,-0.139482127106303,-0.139482127106303,-0.125383539702546,-0.123415747107124,-0.0403500610761643,0.0397851976636134,0.119806571007694,0.139482127106303,0.140067449033363,0.140067449033363,0.140067449033363,0.140067449033363
"TGFB",-0.0812026306132504,-0.0812026306132504,-0.0809985489805974,-0.0809985489805974,-0.170923424833572,0.0882574392662938,-0.144315939329954,0.0813923839339336,0.165944324554623,0.0809985489805974,0.0812026306132504,0.0812026306132504,0.0812026306132504,0.0812026306132504
"ESRP1",-0.139011538871009,-0.139011538871009,-0.14066170388751,-0.24066170388751,-0.125530771111914,-0.123545651536773,-0.0404299971273234,0.139482127106303,0.118318526953377,0.14066170388751,0.139011538871009,0.139011538871009,0.139011538871009,0.139011538871009
"HA",-0.139482127106303,-0.139482127106303,-0.139011538871009,-0.139011538871009,-0.124505130086273,-0.123012521300672,-0.0403500610761643,0.140067449033363,0.119460948887878,0.139011538871009,0.139482127106303,0.139482127106303,0.139482127106303,0.139482127106303
"CD24",-0.139482127106303,-0.139482127106303,-0.139011538871009,-0.139011538871009,-0.124505130086273,-0.123012521300672,-0.0403500610761643,0.140067449033363,0.119460948887878,0.139011538871009,0.139482127106303,0.139482127106303,0.139482127106303,0.139482127106303
