"","MIR34","MIR200","HA","CD44s","MIR340","HAS2","GRHL2","TGFB","ZEB1","SNAIL1","MIR190","MIR1199","ESRP1","CD24"
"MIR340",0.115476463893294,0.115476463893294,0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.00285149842696655,-0.104133354943193,-0.0809370435537217,-0.106339568360573,-0.106339568360573,-0.106339568360573,-0.103516038948808
"MIR1199",0.115476463893294,0.115476463893294,0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.00285149842696655,-0.104133354943193,-0.0809370435537217,-0.106339568360573,-0.106339568360573,-0.106339568360573,-0.103516038948808
"CD44s",0.115476463893294,0.115476463893294,0.103516038948808,0.103516038948808,0.106339568360573,0.106339568360573,0.106339568360573,0.00285149842696655,-0.104133354943193,-0.0809370435537217,-0.106339568360573,-0.106339568360573,-0.106339568360573,-0.103516038948808
"MIR200",0.0171374560790003,0.0171374560790003,0.0915770552713595,0.0915770552713595,0.0980684274981467,0.0980684274981467,0.0980684274981467,0.00145444750276488,-0.0930387492725922,0.032831521087647,-0.0980684274981467,-0.0980684274981467,-0.0980684274981467,-0.0915770552713595
"TGFB",-0.0720414035171575,-0.0720414035171575,0.0300003816240393,0.0300003816240393,0.0185718101954678,0.0185718101954678,0.0185718101954678,-0.08219668225877,-0.0272625122827544,0.0354117493435281,-0.0185718101954678,-0.0185718101954678,-0.0185718101954678,-0.0300003816240393
"SNAIL1",-0.0579154613824626,-0.0579154613824626,0.0185718101954678,0.0185718101954678,0.0272625122827544,0.0272625122827544,0.0272625122827544,-0.0890383688140604,-0.0206128596526679,-0.0463788424622382,-0.0272625122827544,-0.0272625122827544,-0.0272625122827544,-0.0185718101954678
"MIR190",-0.0535277138170271,-0.0535277138170271,0.0150140056022409,0.0150140056022409,0.0300003816240393,0.0300003816240393,0.0300003816240393,0.0088861202890007,-0.0185718101954678,0.0592277168672087,-0.0300003816240393,-0.0300003816240393,-0.0300003816240393,-0.0150140056022409
"GRHL2",-0.012732562467933,-0.012732562467933,-0.00139896481778259,-0.00139896481778259,-0.00443452422801676,-0.00443452422801676,-0.00443452422801676,-0.00286876286450616,0.00205744835696498,0.0641726514612716,0.00443452422801676,0.00443452422801676,0.00443452422801676,-0.0986010351822174
"ZEB1",-0.111905035321866,-0.111905035321866,-0.106339568360573,-0.106339568360573,-0.104133354943193,-0.104133354943193,-0.104133354943193,-0.00456208557444691,0.00581026013993899,0.0855423067116164,0.104133354943193,0.104133354943193,0.104133354943193,0.106339568360573
"MIR34",0.0720414035171575,0.0720414035171575,-0.0300003816240393,-0.0300003816240393,-0.0185718101954678,-0.0185718101954678,-0.0185718101954678,0.08219668225877,0.0272625122827544,-0.0354117493435281,0.0185718101954678,0.0185718101954678,0.0185718101954678,0.0300003816240393
"HA",-0.115476463893294,-0.115476463893294,-0.103516038948808,-0.103516038948808,-0.106339568360573,-0.106339568360573,-0.106339568360573,-0.00285149842696655,0.104133354943193,0.0809370435537217,0.106339568360573,0.106339568360573,0.106339568360573,0.103516038948808
"CD24",-0.115476463893294,-0.115476463893294,-0.103516038948808,-0.103516038948808,-0.106339568360573,-0.106339568360573,-0.106339568360573,-0.00285149842696655,0.104133354943193,0.0809370435537217,0.106339568360573,0.106339568360573,0.106339568360573,0.103516038948808
"HAS2",-0.11083061469299,-0.11083061469299,-0.00714640198511166,-0.107146401985112,-0.103516038948808,-0.103516038948808,-0.103516038948808,-0.00515919073465886,0.106339568360573,0.0869322473906521,0.103516038948808,0.103516038948808,0.103516038948808,0.107146401985112
"ESRP1",-0.11083061469299,-0.11083061469299,-0.107146401985112,-0.207146401985112,-0.103516038948808,-0.103516038948808,-0.103516038948808,-0.00515919073465886,0.106339568360573,0.0869322473906521,0.103516038948808,0.103516038948808,0.103516038948808,0.107146401985112
