"","MIR34","MIR200","MIR340","MIR190","GRHL2","ESRP1","CD44s","ZEB1","HA","CD24","MIR1199","HAS2","TGFB","SNAIL1"
"MIR200",0.258278288613595,0.258278288613595,0.137083122893361,0.137083122893361,0.137083122893361,0.137083122893361,0.136179260937732,-0.137301804555342,-0.136179260937732,-0.136179260937732,-0.137083122893361,-0.137083122893361,-0.350647105406849,-0.174273440332778
"MIR34",0.16987098289385,0.16987098289385,0.122475287420448,0.122475287420448,0.122475287420448,0.122475287420448,0.122271205787795,-0.122892744725951,-0.122271205787795,-0.122271205787795,-0.122475287420448,-0.122475287420448,-0.186721514386857,-0.11695764551378
"MIR190",0.168827958122012,0.168827958122012,0.122271205787795,0.122271205787795,0.122271205787795,0.122271205787795,0.120908807967631,-0.122475287420448,-0.120908807967631,-0.120908807967631,-0.122271205787795,-0.122271205787795,-0.285872257486645,-0.117092963511073
"MIR340",0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.135090280230246,-0.147797523400169
"MIR1199",0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.135090280230246,-0.147797523400169
"HA",0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.135090280230246,-0.147797523400169
"CD44s",0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.135090280230246,-0.147797523400169
"CD24",0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,0.115212921146151,0.115212921146151,0.114507038793209,-0.11543804496425,-0.114507038793209,-0.114507038793209,-0.115212921146151,-0.115212921146151,-0.135090280230246,-0.147797523400169
"HAS2",0.149262259506433,0.149262259506433,0.114507038793209,0.114507038793209,0.114507038793209,0.114507038793209,0.114177005789909,-0.115212921146151,-0.014177005789909,-0.114177005789909,-0.114507038793209,-0.114507038793209,-0.134064639204605,-0.146918226837419
"ESRP1",0.149262259506433,0.149262259506433,0.114507038793209,0.114507038793209,0.114507038793209,0.114507038793209,0.214177005789909,-0.115212921146151,-0.114177005789909,-0.114177005789909,-0.114507038793209,-0.114507038793209,-0.134064639204605,-0.146918226837419
"ZEB1",-0.150256219235621,-0.150256219235621,-0.11543804496425,-0.11543804496425,-0.11543804496425,-0.11543804496425,-0.115212921146151,0.0156206782035,0.115212921146151,0.115212921146151,0.11543804496425,0.11543804496425,0.135691297336118,0.14791714062505
"TGFB",-0.16987098289385,-0.16987098289385,-0.122475287420448,-0.122475287420448,-0.122475287420448,-0.122475287420448,-0.122271205787795,0.122892744725951,0.122271205787795,0.122271205787795,0.122475287420448,0.122475287420448,0.186721514386857,0.11695764551378
"SNAIL1",-0.170089801274594,-0.170089801274594,-0.122892744725951,-0.122892744725951,-0.122892744725951,-0.122892744725951,-0.122475287420448,0.122991993272669,0.122475287420448,0.122475287420448,0.122892744725951,0.122892744725951,0.187437504840317,0.0176152074763494
"GRHL2",-0.255420747734014,-0.255420747734014,-0.21656825788805,-0.21656825788805,-0.21656825788805,-0.21656825788805,-0.215961146006003,0.216926447402866,0.215961146006003,0.115961146006003,0.21656825788805,0.21656825788805,0.238289764840465,0.173541789235884
