"","HA","CD44s","CD24","MIR340","MIR190","MIR34","MIR200","SNAIL1","TGFB","ZEB1","MIR1199","HAS2","GRHL2","ESRP1"
"MIR340",0.107105864432597,0.107105864432597,0.107105864432597,0.107811746785538,0.107811746785538,0.099246729895514,0.099246729895514,0.069265767524082,0.00247201173246189,-0.107586622967438,-0.107811746785538,-0.107811746785538,-0.107811746785538,-0.107811746785538
"MIR1199",0.107105864432597,0.107105864432597,0.107105864432597,0.107811746785538,0.107811746785538,0.099246729895514,0.099246729895514,0.069265767524082,0.00247201173246189,-0.107586622967438,-0.107811746785538,-0.107811746785538,-0.107811746785538,-0.107811746785538
"HA",0.107105864432597,0.107105864432597,0.107105864432597,0.107811746785538,0.107811746785538,0.099246729895514,0.099246729895514,0.069265767524082,0.00247201173246189,-0.107586622967438,-0.107811746785538,-0.107811746785538,-0.107811746785538,-0.107811746785538
"CD44s",0.107105864432597,0.107105864432597,0.107105864432597,0.107811746785538,0.107811746785538,0.099246729895514,0.099246729895514,0.069265767524082,0.00247201173246189,-0.107586622967438,-0.107811746785538,-0.107811746785538,-0.107811746785538,-0.107811746785538
"TGFB",0.0163452798618691,0.0163452798618691,0.0163452798618691,0.016141198229216,0.016141198229216,0.0602512087366988,0.0602512087366988,-0.000787277695658448,-0.0665684435761434,-0.0165586555347188,-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.016141198229216
"MIR190",0.0149828820417056,0.0149828820417056,0.0149828820417056,0.0163452798618691,0.0163452798618691,0.05946894015782,0.05946894015782,-0.00186982167400757,0.0330069279737505,-0.016141198229216,-0.0163452798618691,-0.0163452798618691,-0.0163452798618691,-0.0163452798618691
"GRHL2",-0.00362789246566608,-0.00362789246566608,-0.103627892465666,-0.00423500434771291,-0.00423500434771291,0.00355754747148703,0.00355754747148703,-0.0602538416970933,-0.00289080541826429,0.00387681483289689,0.00423500434771291,0.00423500434771291,0.00423500434771291,0.00423500434771291
"ZEB1",-0.107811746785538,-0.107811746785538,-0.107811746785538,-0.107586622967438,-0.107586622967438,-0.0991315225222421,-0.0991315225222421,-0.069564810586283,-0.00251824381752893,0.00760322598918829,0.107586622967438,0.107586622967438,0.107586622967438,0.107586622967438
"SNAIL1",-0.016141198229216,-0.016141198229216,-0.016141198229216,-0.0165586555347188,-0.0165586555347188,-0.0601296429696188,-0.0601296429696188,-0.0990103955466278,0.0671253250399461,0.0162041964392985,0.0165586555347188,0.0165586555347188,0.0165586555347188,0.0165586555347188
"MIR34",-0.0163452798618691,-0.0163452798618691,-0.0163452798618691,-0.016141198229216,-0.016141198229216,-0.0602512087366988,-0.0602512087366988,0.000787277695658448,0.0665684435761434,0.0165586555347188,0.016141198229216,0.016141198229216,0.016141198229216,0.016141198229216
"MIR200",-0.0959111935088864,-0.0959111935088864,-0.0959111935088864,-0.096815055464515,-0.096815055464515,-0.183240288970858,-0.183240288970858,0.0179540747312401,-0.0107474500161571,0.0965963738025343,0.096815055464515,0.096815055464515,0.096815055464515,0.096815055464515
"CD24",-0.107105864432597,-0.107105864432597,-0.107105864432597,-0.107811746785538,-0.107811746785538,-0.099246729895514,-0.099246729895514,-0.069265767524082,-0.00247201173246189,0.107586622967438,0.107811746785538,0.107811746785538,0.107811746785538,0.107811746785538
"HAS2",-0.207435897435897,-0.107435897435897,-0.107435897435897,-0.107105864432597,-0.107105864432597,-0.0988659225840136,-0.0988659225840136,-0.0693457035752411,-0.00298483224528241,0.107811746785538,0.107105864432597,0.107105864432597,0.107105864432597,0.107105864432597
"ESRP1",-0.107435897435897,-0.207435897435897,-0.107435897435897,-0.107105864432597,-0.107105864432597,-0.0988659225840136,-0.0988659225840136,-0.0693457035752411,-0.00298483224528241,0.107811746785538,0.107105864432597,0.107105864432597,0.107105864432597,0.107105864432597
