"","CD24","MIR340","MIR1199","HAS2","ESRP1","SNAIL1","MIR34","MIR200","TGFB","ZEB1","MIR190","GRHL2","HA","CD44s"
"MIR200",0.175428876605517,0.176661415635919,0.176661415635919,0.176661415635919,0.176661415635919,0.223804581450917,0.0157690465592834,0.0157690465592834,0.0228453832629982,-0.176192812074532,-0.176661415635919,-0.176661415635919,-0.175428876605517,-0.175428876605517
"ESRP1",0.172274607113317,0.170624442096815,0.170624442096815,0.170624442096815,0.170624442096815,0.159419157797425,0.113314707243675,0.113314707243675,0.024690230277047,-0.17180091268505,-0.170624442096815,-0.170624442096815,-0.172274607113317,-0.272274607113317
"MIR340",0.170624442096815,0.17180091268505,0.17180091268505,0.17180091268505,0.17180091268505,0.159339221746266,0.113847837479776,0.113847837479776,0.0244338200206367,-0.171305640285231,-0.17180091268505,-0.17180091268505,-0.170624442096815,-0.170624442096815
"HA",0.170624442096815,0.17180091268505,0.17180091268505,0.17180091268505,0.17180091268505,0.159339221746266,0.113847837479776,0.113847837479776,0.0244338200206367,-0.171305640285231,-0.17180091268505,-0.17180091268505,-0.170624442096815,-0.170624442096815
"MIR34",0.10427556308627,0.103867399820964,0.103867399820964,0.103867399820964,0.103867399820964,0.16652223304122,-0.0840547674600848,-0.0840547674600848,0.124614670173325,-0.104208955798193,-0.103867399820964,-0.103867399820964,-0.10427556308627,-0.10427556308627
"SNAIL1",0.103867399820964,0.104208955798193,0.104208955798193,0.104208955798193,0.104208955798193,0.0663199062835067,-0.0838359490793408,-0.0838359490793408,0.124614670173325,-0.104024637068575,-0.104208955798193,-0.104208955798193,-0.103867399820964,-0.103867399820964
"MIR190",0.102913165266106,0.10427556308627,0.10427556308627,0.10427556308627,0.10427556308627,0.16652223304122,-0.0837940112671252,-0.0837940112671252,0.0241900417232192,-0.103867399820964,-0.10427556308627,-0.10427556308627,-0.102913165266106,-0.102913165266106
"GRHL2",-0.13491045651091,-0.0362114105438671,-0.0362114105438671,-0.0362114105438671,-0.0362114105438671,-0.103276068721108,-0.0103618985488273,-0.0103618985488273,-0.0114398466973775,0.0355275941974001,0.0362114105438671,0.0362114105438671,0.0349104565109096,0.0349104565109096
"ZEB1",-0.17180091268505,-0.171305640285231,-0.171305640285231,-0.171305640285231,-0.171305640285231,-0.159578456196027,-0.113559819046596,-0.113559819046596,-0.0245725162758378,0.0716543037419796,0.171305640285231,0.171305640285231,0.17180091268505,0.17180091268505
"TGFB",-0.10427556308627,-0.103867399820964,-0.103867399820964,-0.103867399820964,-0.103867399820964,-0.16652223304122,0.0840547674600848,0.0840547674600848,-0.124614670173325,0.104208955798193,0.103867399820964,0.103867399820964,0.10427556308627,0.10427556308627
"MIR1199",-0.170624442096815,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.159339221746266,-0.113847837479776,-0.113847837479776,-0.0244338200206367,0.171305640285231,0.17180091268505,0.17180091268505,0.170624442096815,0.170624442096815
"CD44s",-0.170624442096815,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.159339221746266,-0.113847837479776,-0.113847837479776,-0.0244338200206367,0.171305640285231,0.17180091268505,0.17180091268505,0.170624442096815,0.170624442096815
"CD24",-0.170624442096815,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.17180091268505,-0.159339221746266,-0.113847837479776,-0.113847837479776,-0.0244338200206367,0.171305640285231,0.17180091268505,0.17180091268505,0.170624442096815,0.170624442096815
"HAS2",-0.172274607113317,-0.170624442096815,-0.170624442096815,-0.170624442096815,-0.170624442096815,-0.159419157797425,-0.113314707243675,-0.113314707243675,-0.024690230277047,0.17180091268505,0.170624442096815,0.170624442096815,0.0722746071133168,0.172274607113317
