"","MIR34","MIR200","TGFB","MIR190","ESRP1","HA","CD24","ZEB1","CD44s","MIR340","MIR1199","HAS2","GRHL2","SNAIL1"
"MIR1199",0.174246241421108,0.174246241421108,0.165337777830685,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,-0.15539222861791,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.155525618127039
"HA",0.174246241421108,0.174246241421108,0.165337777830685,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,-0.15539222861791,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.155525618127039
"CD24",0.174246241421108,0.174246241421108,0.165337777830685,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,-0.15539222861791,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.155525618127039
"ESRP1",0.173865434109607,0.173865434109607,0.164055726548634,0.15516710479981,0.15516710479981,0.154177005789909,0.154177005789909,-0.15516710479981,-0.254177005789909,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.154966065768926
"MIR200",0.246869091098766,0.246869091098766,0.344511145197705,0.141928932294981,0.141928932294981,0.141846763026287,0.141846763026287,-0.141960172532407,-0.141846763026287,-0.141928932294981,-0.141928932294981,-0.141928932294981,-0.141928932294981,-0.158883594692623
"SNAIL1",-0.0639799546534552,-0.0639799546534552,-0.0642544506087656,0.034317585852815,0.034317585852815,0.0345832405017714,0.0345832405017714,-0.0345302613100673,-0.0345832405017714,-0.034317585852815,-0.034317585852815,-0.034317585852815,-0.034317585852815,-0.0389953272933387
"GRHL2",0.0332804213847224,0.0332804213847224,0.0268526992313908,0.0189490800842985,0.0189490800842985,0.01920927089089,-0.08079072910911,-0.019111893500124,-0.01920927089089,-0.0189490800842985,-0.0189490800842985,-0.0189490800842985,-0.0189490800842985,-0.101500309817456
"TGFB",0.0635666310453832,0.0635666310453832,0.0648908865673973,-0.0345832405017714,-0.0345832405017714,-0.0341750772364653,-0.0341750772364653,0.034317585852815,0.0341750772364653,0.0345832405017714,0.0345832405017714,0.0345832405017714,0.0345832405017714,-0.0614599079115172
"MIR34",0.0635666310453832,0.0635666310453832,0.0648908865673973,-0.0345832405017714,-0.0345832405017714,-0.0341750772364653,-0.0341750772364653,0.034317585852815,0.0341750772364653,0.0345832405017714,0.0345832405017714,0.0345832405017714,0.0345832405017714,-0.0614599079115172
"MIR190",0.0643488996242619,0.0643488996242619,0.164466258117291,-0.0341750772364653,-0.0341750772364653,-0.034447556800498,-0.034447556800498,0.0345832405017714,0.034447556800498,0.0341750772364653,0.0341750772364653,0.0341750772364653,0.0341750772364653,-0.060783317925049
"ZEB1",-0.174591863540923,-0.174591863540923,-0.16556893825602,-0.15539222861791,-0.15539222861791,-0.15516710479981,-0.15516710479981,0.0555084497701597,0.15516710479981,0.15539222861791,0.15539222861791,0.15539222861791,0.15539222861791,0.1557648525768
"HAS2",-0.173865434109607,-0.173865434109607,-0.164055726548634,-0.15516710479981,-0.15516710479981,-0.254177005789909,-0.154177005789909,0.15516710479981,0.154177005789909,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.154966065768926
"MIR340",-0.174246241421108,-0.174246241421108,-0.165337777830685,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,0.15539222861791,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.155525618127039
"CD44s",-0.174246241421108,-0.174246241421108,-0.165337777830685,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.15516710479981,0.15539222861791,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.155525618127039
